MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_23,tone_count_23,goldstein_23,event_count_25,tone_count_25,goldstein_25,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_74,tone_count_74,goldstein_74,event_count_75,tone_count_75,goldstein_75,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_86,tone_count_86,goldstein_86,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_125,tone_count_125,goldstein_125,event_count_130,tone_count_130,goldstein_130,event_count_138,tone_count_138,goldstein_138,event_count_141,tone_count_141,goldstein_141,event_count_143,tone_count_143,goldstein_143,event_count_154,tone_count_154,goldstein_154,event_count_160,tone_count_160,goldstein_160,event_count_163,tone_count_163,goldstein_163,event_count_171,tone_count_171,goldstein_171,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_180,tone_count_180,goldstein_180,event_count_182,tone_count_182,goldstein_182,event_count_186,tone_count_186,goldstein_186,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,2.4419999999999997,31,183.24475852641532,10.0,55.54341639581531,-4.0,11,57.72436390766369,4.4,0.0,0.0,1.0,3.1141868512110698,2.0,9.14314928425358,-4.0,2.0,7.97101449275362,39,204.96079956976521,117.0,1.0,6.929133858267719,3.4,1.0,5.21978021978022,-0.3,3.0,13.825003149865761,12.0,7.0,53.1670985465168,28.0,0.0,0.0,0.0,3.0,12.349649375377329,15.6,0.0,0.0,31,175.19834776037158,124.0,109,529.7542012714321,109.0,69,377.6924499785955,131.10000000000014,58,345.31765965736406,162.40000000000003,0.0,0.0,0.0,66.0,379.64167895494967,462.0,3.0,19.30838726353548,10.5,27,151.90485045648444,91.80000000000004,12.0,68.96958440470252,96.0,13.0,53.27797811592059,78.0,1.0,5.432098765432099,6.4,8.0,36.52077335643483,56.0,7.0,37.104116356566045,51.8,15.0,76.62869302781331,124.5,6.0,26.43544894033106,44.4,25.0,121.63824431274513,212.5,0.0,0.0,0.0,16.0,43.06718095039177,80.0,1.0,3.03030303030303,5.0,0.0,0.0,0.0,24.0,141.33057847742003,168.0,9.0,45.776919534024174,81.0,9.0,49.22426674460904,84.0,25.0,114.07411537025119,-50.0,6.0,37.12332478372173,-30.0,9.0,33.189633403920716,-18.0,10.0,44.72614130751957,-20.0,20.0,79.13732582547144,-40.0,0.0,0.0,0.0,26.0,106.83237896151219,-104.0,9.0,43.65350075519692,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,70.44452865696555,-86.40000000000002,4.0,17.28791372038551,-16.0,1.0,3.38461538461538,-8.0,1.0,5.28,-9.2,2.0,10.84905660377358,-10.0,22,92.42931532375844,-110.0,7.0,11.320754716981142,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,67,267.54327302815466,-670.0,1.0,4.489795918367349,-9.5,8.0,30.914794585131375,-80.0
200802,2.4418333333333333,55,212.27685157454468,23.0,110.50671734514313,-9.200000000000003,6,46.4779080967478,2.4,5.0,33.8912738127607,0.0,0.0,0.0,0.0,0.0,2.0,14.53634085213032,21,141.82520569586646,63.0,1.0,5.92485549132948,3.4,0.0,0.0,0.0,5.0,31.227413111384358,20.0,21.0,130.49429706222998,84.0,2.0,0.0,10.4,10.0,47.188378335347366,52.00000000000001,0.0,0.0,36,137.75416253131098,144.0,46,279.1481298195519,46.0,40,238.6435947300449,76.00000000000001,42,235.69232164843646,117.59999999999992,3.0,21.89409950305593,15.0,16.0,83.28561829733606,112.0,1.0,4.2997542997543,3.5,21,154.1273241442223,71.39999999999998,6.0,44.87177641808818,48.0,7.0,45.03000025424658,42.0,2.0,6.68380462724936,12.8,5.0,32.9479060980303,35.0,4.0,17.2323794758353,29.6,10.0,48.28091455727017,82.99999999999999,12.0,71.87158563456525,88.80000000000003,0.0,0.0,0.0,3.0,12.23577235772358,21.0,5.0,24.339007163984927,25.0,3.0,11.7117117117117,15.0,0.0,0.0,0.0,17.0,112.78997036481512,119.0,0.0,0.0,0.0,1.0,3.39425587467363,10.0,21.0,100.94511557640443,-42.0,8.0,42.369293148202985,-40.0,7.0,36.84622410725243,-14.0,12.0,57.13380824926126,-24.0,30.0,149.64153276735982,-60.0,0.0,0.0,0.0,6.0,40.15564186846952,-24.0,1.0,4.70914127423823,-5.0,1.0,3.84615384615385,-4.4,5.0,16.44798766023309,-35.0,11.0,37.61498982469203,-71.5,5.0,9.1764324236649,-32.5,7.0,57.75238584790472,-50.40000000000001,1.0,7.0957095709571,-4.0,3.0,11.54152690202847,-24.0,3.0,20.29598308668075,-27.6,2.0,6.726008096371161,-10.0,40,216.98791546259963,-200.0,1.0,6.76532769556025,-9.0,19.0,79.911843119825,-182.0,11.0,32.70978120321729,-110.0,63,222.99841772392745,-630.0,2.0,16.744832377974642,-19.0,8.0,45.06410258990267,-80.0
200803,2.441666666666667,33,167.17543396139547,7.0,33.28334704605422,-2.8,5,27.954459432821704,2.0,1.0,2.8776978417266204,1.0,3.53359883799352,4.0,21.184784868010823,-8.0,0.0,0.0,27,124.15784394306358,81.0,20.0,115.47957042889477,68.0,1.0,5.83451601772079,-0.3,0.0,0.0,0.0,6.0,27.13373087766447,24.0,1.0,8.84194053208138,5.2,5.0,24.756922922718342,26.0,0.0,0.0,15,74.1455510044182,60.0,31,188.25040976257245,31.0,47,271.4309787772459,89.30000000000004,45,252.43657726075648,125.99999999999993,0.0,0.0,0.0,20.0,55.60954421740408,140.0,11.0,64.76073480645371,38.5,19,177.08420534160308,64.59999999999998,28.0,176.19061283151706,224.0,23.0,157.70716540740528,138.0,0.0,0.0,0.0,6.0,36.738576843841216,42.0,5.0,20.02583409482534,37.0,4.0,25.13883959192978,33.2,7.0,30.49365419138327,51.8,5.0,34.52947031184471,42.5,0.0,0.0,0.0,3.0,21.9821885698877,15.0,0.0,0.0,0.0,2.0,12.154696132596678,10.0,27.0,137.00729814778262,189.0,5.0,34.52947031184471,45.0,5.0,22.132457528551488,50.0,4.0,29.003763446407863,-8.0,8.0,56.723262103598564,-40.0,3.0,24.35616442242766,-6.0,4.0,16.42560313997199,-8.0,8.0,24.91633865494262,-16.0,0.0,0.0,0.0,13.0,61.37611960869909,-52.0,1.0,7.06713780918728,-5.0,1.0,6.94444444444444,-4.4,1.0,4.70588235294118,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.365484894525721,-14.4,0.0,0.0,0.0,4.0,16.476580490172893,-32.0,1.0,4.719101123595509,-9.2,3.0,12.00191570881226,-15.0,5,26.130958709906093,-25.0,2.0,2.7988794695829804,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,125,600.3774493274509,-1250.0,0.0,0.0,0.0,11.0,51.56713389610548,-110.0
200804,2.4415,51,214.7758833075357,8.0,40.53402637612183,-3.2,21,97.01543891251673,8.400000000000002,2.0,10.0763358778626,5.0,20.172596799671442,4.0,13.02915557362092,-8.0,3.0,24.70676777143506,67,371.20176769986,201.0,5.0,15.650199180635259,17.0,12.0,64.92290546502684,-3.5999999999999988,2.0,13.80755766986805,8.0,11.0,42.28501356058903,44.0,2.0,7.429420505200599,10.4,2.0,8.040764914691401,10.4,1.0,7.0,38,153.48283204229318,152.0,33,181.73227481553803,33.0,43,172.79751450630525,81.70000000000003,35,145.8928036864292,97.99999999999996,0.0,0.0,0.0,25.0,119.33138436563408,175.0,0.0,0.0,0.0,10,72.13599493569508,33.99999999999999,29.0,117.32508689229937,232.0,12.0,53.87973596316412,72.0,1.0,6.88448074679113,6.4,3.0,22.774689604568792,21.0,8.0,38.809455028740494,59.2,9.0,38.433712436030504,74.69999999999997,3.0,15.44063047941145,22.200000000000006,6.0,46.17913680706785,51.0,1.0,2.5547445255474504,7.0,9.0,33.68856907090933,45.0,0.0,0.0,0.0,2.0,11.20310524722682,10.0,22.0,129.8263567259654,154.0,6.0,46.17913680706785,54.0,4.0,24.68478022743782,37.0,5.0,30.50851207640366,-10.0,4.0,22.36682182959746,-20.0,8.0,32.43803276526611,-16.0,22.0,99.44672092795021,-44.0,33.0,97.94198433678528,-66.0,1.0,1.01522842639594,-2.0,14.0,43.707825543989,-56.0,2.0,5.76950477314824,-10.0,22.0,121.10864450145591,-96.80000000000004,1.0,4.03225806451613,-7.0,2.0,9.713496084753562,-13.0,0.0,0.0,0.0,4.0,16.045749845138133,-28.8,9.0,35.10499199145821,-36.0,1.0,5.0,-8.0,3.0,16.454880355647408,-27.6,2.0,15.34008683068018,-10.0,19,75.34103473333943,-95.0,15.0,36.85087000471351,-135.0,7.0,36.94978196506258,-63.5,10.0,33.43406414563729,-100.0,194,686.9515576414395,-1940.0,4.0,9.71677823502804,-38.0,30.0,110.96451928733177,-300.0
200805,2.4413333333333336,66,330.4658282089281,16.0,123.79112134189066,-6.4,35,238.68128940068127,14.000000000000007,3.0,14.51796745044318,2.0,14.09940128594384,1.0,4.19161676646707,-2.0,1.0,5.660377358490571,42,256.10249369342984,126.0,15.0,47.922451187951786,50.99999999999999,6.0,34.435204593819854,-1.8,1.0,5.775075987841951,4.0,7.0,52.502650766959114,28.0,0.0,0.0,0.0,8.0,42.4342270998292,48.0,9.0,63.0,30,156.2306888278658,120.0,66,346.97746589963754,66.0,143,781.9103875965906,271.7000000000004,142,779.8834720196895,397.6000000000008,4.0,17.92657954776191,20.0,34.0,175.55240571080685,238.0,11.0,43.328744455482095,38.5,46,333.3724487053978,156.4000000000001,57.0,361.40013811407084,456.0,32.0,160.62098570034053,192.0,1.0,3.82513661202186,6.4,1.0,4.76190476190476,7.0,10.0,74.09453705736047,74.0,4.0,23.85130057296485,33.2,8.0,49.463593265370385,59.2,8.0,47.23427072986053,68.0,4.0,13.025242223711778,28.0,22.0,117.41108161531223,110.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,155.00108830974003,168.0,4.0,24.196944110643784,36.0,27.0,158.93286901002668,243.0,11.0,67.49000273032199,-22.0,17.0,106.88896343942793,-85.0,7.0,41.34010657068353,-14.0,4.0,21.10318808838072,-8.0,31.0,156.10426650319874,-62.0,2.0,9.81132075471698,-4.0,24.0,132.43089535987676,-96.0,0.0,0.0,0.0,13.0,63.14181226181717,-57.19999999999999,15.0,61.572434732434175,-105.0,3.0,14.568280094852842,-19.5,1.0,4.14507772020725,-6.5,5.0,26.260429405407013,-36.0,4.0,12.87809775985554,-16.0,0.0,0.0,0.0,1.0,2.8391167192429,-9.2,6.0,23.251263875188016,-30.0,22,95.61180749531326,-110.0,11.0,41.22099126123175,-99.0,0.0,0.0,0.0,7.0,31.74813003232174,-70.0,164,688.3641466536478,-1640.0,4.0,14.875106474402203,-38.0,31.0,137.32244055968945,-310.0
200806,2.4411666666666667,49,344.96224522027114,5.0,39.338836335636465,-2.0,15,99.83645326102527,6.000000000000001,2.0,17.41284494466976,0.0,0.0,1.0,5.442176870748299,-2.0,0.0,0.0,37,227.5727581577695,111.0,2.0,8.425714938662809,6.8,2.0,7.43253910777099,-0.6,11.0,75.92148732642191,44.0,8.0,54.15918763346435,32.0,0.0,0.0,0.0,17.0,104.76643080291771,102.0,2.0,14.0,19,108.87854842547506,76.0,56,382.75666829545946,56.0,50,362.7239923779335,95.00000000000006,40,256.94531158684015,111.99999999999993,0.0,0.0,0.0,21.0,105.55950080975364,147.0,5.0,35.93446927874431,17.5,49,365.59732126811616,166.6000000000001,20.0,119.91687493664959,160.0,7.0,28.68068351144842,42.0,6.0,17.5910591471802,38.4,2.0,15.57777261102072,14.0,4.0,35.87384663730096,29.6,0.0,0.0,0.0,4.0,20.409218218137518,29.6,0.0,0.0,0.0,1.0,11.792452830188699,7.0,5.0,26.47777487630383,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,38.58808416494955,56.0,0.0,0.0,0.0,7.0,37.95967933915615,68.0,3.0,12.551116391492693,-6.0,3.0,15.40725734266867,-15.0,12.0,92.55668586104609,-24.0,10.0,60.62071945982515,-20.0,30.0,170.4170275057426,-60.0,1.0,4.375,-2.0,19.0,115.18386778085234,-76.0,0.0,0.0,0.0,2.0,12.42040818768869,-8.8,0.0,0.0,0.0,4.0,16.93121693121692,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.60630049121098,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,32.764644748323434,-30.0,23,114.23553179314072,-115.0,0.0,0.0,0.0,3.0,15.517029321339171,-27.5,3.0,16.00375694484897,-30.0,34,165.0755804355504,-340.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,2.441,28,137.18227689344508,5.0,28.77450832213112,-2.0,5,36.79093105019577,2.0,10.0,37.88470632097908,0.0,0.0,6.0,25.59393320364556,-12.0,4.0,60.6533459514491,22,137.0805691569544,66.0,5.0,27.753683864991213,17.0,1.0,2.80423280423281,-0.3,6.0,52.575747516616815,24.0,3.0,20.95363594938906,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,72.47321516551021,44.0,18,129.7285397920216,18.0,37,194.795790158862,70.3,37,188.24425287247317,103.59999999999994,2.0,11.056735745173562,10.0,6.0,41.18421968666209,42.0,1.0,6.61375661375661,3.5,19,141.07344190253784,64.59999999999998,29.0,202.5533872821616,232.0,6.0,32.745246956029284,36.0,6.0,46.44892840857273,38.4,9.0,49.87980177228795,63.0,3.0,14.389700682318768,22.200000000000006,2.0,5.20315091210614,16.6,7.0,33.27959124623761,51.8,3.0,18.011257035647287,25.5,4.0,14.46295639844028,28.0,4.0,13.248905790342253,20.0,1.0,8.34990059642147,5.0,0.0,0.0,0.0,21.0,130.87749061270898,147.0,3.0,18.011257035647287,27.0,0.0,0.0,0.0,6.0,43.036736506151726,-12.0,4.0,24.571428209440032,-20.0,1.0,2.96846011131725,-2.0,9.0,48.13744864785271,-18.0,19.0,86.38389532666851,-38.0,1.0,5.30179445350734,-2.0,5.0,23.995603659149925,-20.0,0.0,0.0,0.0,5.0,18.712361085242463,-22.0,0.0,0.0,0.0,2.0,7.766990291262139,-13.0,0.0,0.0,0.0,2.0,13.377926421404679,-14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.04263487573247,-10.0,17,38.114491017970735,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,87.41259241595019,-210.0,2.0,17.616187989556142,-19.0,7.0,25.00285952900972,-70.0
200808,2.4408333333333334,16,71.09249435917823,3.0,24.165338173132557,-1.2000000000000002,7,42.07767938334119,2.8,1.0,5.46218487394958,0.0,0.0,0.0,0.0,0.0,3.0,17.4232504001164,14,89.56023183317309,42.0,1.0,7.51708428246014,3.4,2.0,10.828025477707,-0.6,1.0,10.391061452514,4.0,1.0,7.428571428571429,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,112.7244781601057,80.0,36,180.70759066290574,36.0,51,278.1960698662093,96.90000000000008,49,268.7843397848127,137.19999999999996,2.0,15.3817471864628,10.0,7.0,66.79663473457812,49.0,0.0,0.0,0.0,15,100.95504084537428,50.99999999999999,7.0,56.32304659810486,56.0,11.0,68.71628677712566,66.0,0.0,0.0,0.0,2.0,10.45265128638724,14.0,6.0,28.377772096997237,44.4,1.0,2.52808808423215,8.3,0.0,0.0,0.0,3.0,25.0,25.5,0.0,0.0,0.0,2.0,8.45403420511404,10.0,0.0,0.0,0.0,1.0,6.71378091872792,5.0,4.0,27.808870270112664,28.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.292022449952572,-12.0,7.0,26.49704920135993,-35.0,3.0,13.953038940960484,-6.0,4.0,25.90685214150223,-8.0,7.0,36.864804868658965,-14.0,0.0,0.0,0.0,1.0,8.597285067873301,-4.0,0.0,0.0,0.0,3.0,26.846757655045643,-13.2,2.0,5.27458492975734,-14.0,1.0,9.34256055363322,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.903407516852887,-8.0,0.0,0.0,0.0,1.0,3.3073929961089505,-9.2,0.0,0.0,0.0,10,44.60331442894351,-50.0,4.0,19.599516000523142,-36.0,1.0,4.89510489510489,-9.5,0.0,0.0,0.0,11,40.4661204374479,-110.0,1.0,7.4824016563147,-9.5,2.0,10.324409448818901,-20.0
200809,2.4406666666666665,17,74.92263488700645,4.0,23.21394433007175,-1.6,10,18.0272180744765,4.0,0.0,0.0,0.0,0.0,2.0,7.142857142857139,-4.0,0.0,0.0,8,47.167353339087924,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,59.13640390844058,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,35.0,3,20.35938767234388,12.0,13,48.348120054395075,13.0,48,277.1568510961921,91.20000000000003,45,263.5659259800327,125.99999999999993,0.0,0.0,0.0,48.0,249.1279347367482,336.0,4.0,52.6610644257704,14.0,11,92.70110121460196,37.39999999999999,26.0,120.08220037299999,208.0,4.0,22.402647888575405,24.0,7.0,17.55908409185365,44.8,1.0,5.9245960502693,7.0,2.0,16.19918699186989,14.8,0.0,0.0,0.0,1.0,5.9245960502693,7.4,8.0,43.16295947975967,68.0,0.0,0.0,0.0,1.0,2.9810298102981,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,44.05237100241615,49.0,3.0,10.29199305182778,27.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,42.70869892484952,-40.0,9.0,39.54359148520318,-18.0,8.0,16.195788312367398,-16.0,13.0,50.03358123657665,-26.0,1.0,9.20679886685552,-2.0,6.0,37.65134080624285,-24.0,1.0,2.10084033613445,-5.0,3.0,24.751695786797953,-13.2,0.0,0.0,0.0,1.0,5.9245960502693,-6.5,1.0,6.66666666666667,-6.5,8.0,39.16494142721013,-57.60000000000001,2.0,12.551634498967312,-8.0,4.0,6.804262911703731,-32.0,0.0,0.0,0.0,9.0,37.39805791935057,-45.0,11,35.12822016162739,-55.0,0.0,0.0,0.0,2.0,1.834862385321102,-18.0,3.0,20.96505823627287,-30.0,21,63.65790820760727,-210.0,2.0,14.44261221692873,-19.0,2.0,3.8969988020651103,-20.0
200810,2.4405,48,235.7583298088184,6.0,27.243551080358728,-2.4,4,22.93101405556179,1.6,4.0,18.560960294322783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,136.85634170018298,84.0,3.0,25.449527155995185,10.2,0.0,0.0,0.0,4.0,24.00631283610007,16.0,6.0,41.15127488196582,24.0,2.0,13.10105275901084,10.4,5.0,22.99790987049357,26.8,2.0,14.0,9,36.69117708863539,36.0,76,441.2944974906532,76.0,89,526.7314315487564,169.10000000000022,77,469.5754141487707,215.60000000000016,5.0,40.526899385226066,25.0,19.0,110.62452503964643,133.0,19.0,94.31099515652616,66.5,11,76.0935667315315,37.39999999999999,21.0,179.41222312880058,168.0,36.0,168.72420202011682,216.0,12.0,63.28881839601612,76.8,12.0,119.93659456806287,84.0,5.0,63.596298219052144,37.0,9.0,34.17601276795429,74.69999999999997,6.0,32.172985561057786,44.4,2.0,9.358611789901431,17.0,3.0,18.659478115141717,21.0,1.0,9.84848484848485,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,29.662508600610767,42.0,2.0,7.2653994880453086,18.0,2.0,12.41721854304636,18.0,8.0,53.41459849434494,-16.0,4.0,51.63667606877756,-20.0,1.0,6.64451827242525,-2.0,6.0,22.983708062619787,-12.0,14.0,76.32652378629655,-28.0,0.0,0.0,0.0,3.0,25.441650548033532,-12.0,0.0,0.0,0.0,9.0,35.48025224318681,-39.6,1.0,7.9656862745098,-7.0,2.0,14.609945024677069,-13.0,0.0,0.0,0.0,5.0,26.41742171440121,-36.0,1.0,3.3690658499234303,-4.0,4.0,21.199442119944198,-32.0,4.0,3.8109064513202062,-36.8,7.0,35.771725525166225,-35.0,40,210.49095275634372,-200.0,0.0,0.0,0.0,3.0,12.74028246514074,-28.0,3.0,7.38193828255941,-30.0,40,179.95829101623463,-400.0,2.0,9.97442455242966,-19.0,3.0,6.87233032747982,-30.0
