MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_23,tone_count_23,goldstein_23,event_count_25,tone_count_25,goldstein_25,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_35,tone_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_62,tone_count_62,goldstein_62,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_80,tone_count_80,goldstein_80,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_130,tone_count_130,goldstein_130,event_count_138,tone_count_138,goldstein_138,event_count_141,tone_count_141,goldstein_141,event_count_150,tone_count_150,goldstein_150,event_count_154,tone_count_154,goldstein_154,event_count_160,tone_count_160,goldstein_160,event_count_161,goldstein_161,event_count_171,tone_count_171,goldstein_171,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_180,tone_count_180,goldstein_180,event_count_181,tone_count_181,goldstein_181,event_count_182,tone_count_182,goldstein_182,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193,event_count_194,tone_count_194,goldstein_194,event_count_195,tone_count_195,goldstein_195
200801,2.082,10,36.003389276233115,2.0,14.65762115198103,-0.8,6.0,36.86791585784209,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,25.032809020420043,15.0,0.0,0.0,0.0,1.0,3.9370078740157504,-0.3,0.0,0.0,0.0,8.0,52.78522500121993,32.0,6.0,37.802907915993536,31.2,2.0,16.483516483516482,10.4,0.0,0.0,0.0,15.0,94.09687328917471,60.0,49,299.72264162139976,49.0,39,229.034399980338,74.1,31.0,164.27881710759766,86.79999999999997,0.0,0.0,0.0,25,162.7458575156257,175.0,2.0,5.653705208823499,7.0,6.0,35.071101206041824,20.4,0.0,0.0,0.0,9.0,55.763147685380446,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.37458193979934,14.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.8898826922504,15.0,0.0,0.0,0.0,2.0,9.848727040223212,14.0,0.0,0.0,0.0,2.0,8.08720550247425,-4.0,3.0,12.4505928853755,-15.0,0.0,0.0,0.0,1.0,2.8169014084507,-2.0,5.0,12.915667878304491,-10.0,1.0,5.69852941176471,-2.0,3.0,13.79671997638478,-12.0,3.0,9.657947686116689,-13.2,0.0,0.0,0.0,3.0,17.46523339682707,-19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.4128256513026,-18.4,2.0,12.420098651658769,-10.0,3.0,14.839646031437841,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,43.397820742581224,-140.0,1.0,4.85021398002853,-9.5,1.0,3.1609195402298904,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
200802,2.081,23,91.16259755202108,3.0,16.077296058824572,-1.2000000000000002,11.0,63.81066939978509,4.4,5.0,34.28278111035066,3.0,6.608420657412009,0.0,0.0,0.0,1.0,10.495049504950499,15,72.41487466887719,45.0,0.0,0.0,0.0,1.0,2.56410256410256,-0.3,0.0,0.0,0.0,7.0,66.94389095704177,28.0,1.0,4.70347648261759,5.2,1.0,7.561436672967861,5.2,0.0,0.0,0.0,5.0,28.826118734768013,20.0,26,162.36817804270848,26.0,15,80.04511233579713,28.5,17.0,85.78609639786882,47.59999999999999,1.0,5.700712589073629,5.0,8,38.85501179339325,56.0,0.0,0.0,0.0,8.0,49.70413123478762,27.2,4.0,22.09636161184508,32.0,2.0,15.36009859020259,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.28541226215645,7.0,1.0,5.52409040296127,7.4,2.0,10.3175568301173,16.6,7.0,26.73770683614717,51.8,4.0,11.957996171002538,20.0,1.0,4.9180327868852505,5.0,1.0,6.09375,7.0,0.0,0.0,0.0,4.0,11.44990450206666,-8.0,2.0,13.285699274981608,-10.0,0.0,0.0,0.0,1.0,7.09677419354839,-2.0,3.0,15.26373528059671,-6.0,0.0,0.0,0.0,1.0,5.68493150684932,-4.0,7.0,41.4608513028586,-30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.552102435976952,-21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.63282336578581,-5.0,3.0,7.074621051555215,-15.0,0.0,0.0,0.0,1.0,4.36241610738255,-9.0,0.0,0.0,0.0,7,24.2218063996322,-70.0,0.0,0.0,0.0,2.0,3.3175355450237,-20.0,1.0,3.9440203562341,-10.0,0.0,0.0,0.0
200803,2.08,10,31.332124485769874,2.0,14.16615635844048,-0.8,4.0,28.168624634422606,1.6,1.0,11.231884057971001,0.0,0.0,0.0,0.0,0.0,2.0,5.363537551700389,6,52.076004405137006,18.0,0.0,0.0,0.0,1.0,5.26315789473684,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.079439398195829,10.4,1.0,11.231884057971001,5.2,1.0,4.61699895068206,7.0,7.0,38.78342149467903,28.0,8,61.879741210511526,8.0,9,59.45434248941322,17.1,12.0,57.56609684031557,33.6,0.0,0.0,0.0,10,82.65216054513519,70.0,3.0,27.43031616271049,10.5,4.0,25.27167562514606,13.6,2.0,15.384615384615381,16.0,3.0,26.3286538779893,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,40.470588235293995,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.10204081632654,14.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.82513661202186,7.0,0.0,0.0,0.0,2.0,12.294818152558738,-4.0,0.0,0.0,0.0,2.0,9.9290780141844,-4.0,1.0,7.64331210191083,-2.0,3.0,8.305299860467889,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.05405405405405,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.664518438954529,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,48.83753827707772,-90.0,5.0,16.0157909125246,-47.5,6.0,17.12642804414332,-60.0,1.0,4.36241610738255,-10.0,0.0,0.0,0.0
200804,2.079,45,195.74736135774282,4.0,18.74513587132758,-1.6,5.0,39.11024281118024,2.0,7.0,36.174606147361295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,92.44019610463164,57.0,0.0,0.0,0.0,1.0,7.07456978967495,-0.3,0.0,0.0,0.0,1.0,3.5326086956521703,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,164.09239119513686,132.0,24,137.86760713241432,24.0,61,244.7202602469125,115.90000000000006,64.0,259.20903846242095,179.20000000000005,0.0,0.0,0.0,92,416.0734072184839,644.0,0.0,0.0,0.0,10.0,65.7020582346736,34.0,1.0,2.6706231454005898,8.0,1.0,6.96969696969697,6.0,6.0,15.018538764392211,38.4,0.0,0.0,0.0,1.0,4.875,7.0,2.0,6.486486486486481,14.8,1.0,7.454545454545451,8.3,4.0,23.11103207201358,29.6,6.0,25.36326634190293,30.0,0.0,0.0,0.0,9.0,53.885801895876504,63.0,0.0,0.0,0.0,12.0,38.31054826464637,-24.0,0.0,0.0,0.0,7.0,20.27579929668548,-14.0,1.0,7.76439089692102,-2.0,15.0,63.989423750585566,-30.0,0.0,0.0,0.0,8.0,45.624732851461886,-32.0,2.0,11.90360515649853,-8.8,2.0,1.96078431372549,-14.0,0.0,0.0,0.0,1.0,4.984740590030519,-7.2,4.0,17.3063973063973,-28.8,3.0,12.426808349885109,-12.0,1.0,-4.0,0.0,0.0,0.0,1.0,5.35714285714286,-5.0,12.0,42.433534305611055,-60.0,4.0,17.31674816719531,-36.0,2.0,5.00170029471775,-18.0,0.0,0.0,0.0,18,91.2601754368248,-180.0,3.0,11.986997832972168,-28.5,5.0,24.60208613421718,-50.0,0.0,0.0,0.0,0.0,0.0,0.0
200805,2.0780000000000003,46,265.3335679617755,9.0,52.33796819733551,-3.6,23.0,116.28542836614271,9.200000000000003,5.0,39.80062444501525,1.0,7.64872521246459,6.0,19.52499293769136,-12.0,4.0,43.2,20,94.54161356761517,60.0,8.0,38.00003073458452,27.2,17.0,57.153521152909185,-5.099999999999999,3.0,24.78250780191923,12.0,7.0,52.32510526407042,28.0,3.0,15.536506640763562,15.6,6.0,67.8388091672415,31.2,0.0,0.0,0.0,101.0,638.6575035805051,404.0,64,360.6641667232204,64.0,63,291.3080370598996,119.70000000000013,56.0,275.8437300521869,156.79999999999995,7.0,57.673050207612846,35.0,119,597.8955950832785,833.0,7.0,37.91802813485119,24.5,30.0,181.5009637177373,102.00000000000004,2.0,9.090909090909099,16.0,12.0,76.50056482745404,72.0,2.0,12.54945875326614,12.8,0.0,0.0,0.0,7.0,27.9638968386245,49.0,1.0,7.91881074899943,7.4,4.0,15.5150360807797,33.2,0.0,0.0,0.0,8.0,60.3465563828867,40.0,0.0,0.0,0.0,4.0,25.736454326139445,28.0,1.0,14.1509433962264,10.0,0.0,0.0,0.0,2.0,13.46371882086167,-10.0,25.0,123.181703209191,-50.0,16.0,71.0385244224949,-32.0,45.0,176.6312953090044,-90.0,1.0,8.01733477789816,-2.0,18.0,85.73968574802262,-72.0,6.0,24.11366167433645,-26.4,0.0,0.0,0.0,1.0,6.749555950266429,-6.5,1.0,7.91881074899943,-7.2,2.0,13.314513617504339,-14.4,0.0,0.0,0.0,0.0,0.0,4.0,22.03817324097777,-36.8,2.0,3.77358490566038,-10.0,23.0,113.9331300586224,-115.0,8.0,11.260480472763364,-72.0,6.0,25.775100515057648,-54.0,1.0,0.408163265306122,-9.0,62,235.82569268429538,-620.0,7.0,37.45022280540964,-66.5,1.0,5.579868708971549,-10.0,1.0,5.572755417956659,-10.0,0.0,0.0,0.0
200806,2.077,87,413.3190647945214,30.0,158.33000412788044,-12.000000000000007,34.0,201.9190290957574,13.600000000000007,10.0,37.08687015776977,0.0,0.0,1.0,2.7322404371584703,-2.0,2.0,16.741879961294448,59,339.3422311587946,177.0,7.0,40.97122374946334,23.8,5.0,19.51023875392961,-1.5,2.0,13.757778022273571,8.0,38.0,273.7866936695258,152.0,2.0,12.06030150753768,10.4,6.0,23.81273339241905,36.0,17.0,138.68807887956243,119.0,149.0,804.2978957864368,596.0,233,1306.780909325911,233.0,235,1373.110651791132,446.4999999999996,235.0,1358.9029579425567,658.0000000000006,8.0,42.527256677448385,40.0,155,919.7123379913677,1085.0,13.0,62.64069981121229,45.5,77.0,552.4499804389566,261.8000000000002,71.0,467.26146683033767,568.0,24.0,133.87659906676257,144.0,1.0,11.894273127753301,6.4,0.0,0.0,0.0,22.0,176.47318456556854,154.0,14.0,76.8882374187534,103.60000000000002,5.0,21.21990803105355,41.5,1.0,3.65111561866126,7.4,10.0,40.23172184256956,50.0,0.0,0.0,0.0,9.0,39.92791980906368,63.0,16.0,78.74495638909562,154.0,17.0,74.84748512602175,-34.0,17.0,79.59373387931876,-85.0,23.0,94.02199779796963,-46.0,40.0,208.85766726083682,-80.0,72.0,225.76067328994458,-144.0,2.0,12.6178390137781,-4.0,33.0,189.43529202377042,-132.0,11.0,57.733285798703776,-48.39999999999999,8.0,27.311813465732193,-56.0,0.0,0.0,0.0,4.0,14.81886961927324,-28.8,7.0,31.185834101874146,-50.40000000000001,4.0,22.28038703027871,-16.0,0.0,0.0,0.0,0.0,0.0,3.0,10.927152317880779,-15.0,10.0,52.51996315218833,-50.0,1.0,8.1267217630854,-9.0,2.0,9.087515456942212,-18.0,4.0,20.05264646268671,-37.5,136,522.3236808207329,-1360.0,2.0,11.38888888888888,-19.0,23.0,100.80165219376455,-230.0,3.0,15.54651905471577,-30.0,7.0,34.63325491529295,-70.0
200807,2.076,58,352.88147134920814,9.0,39.064949161822675,-3.6,16.0,89.53545907264147,6.400000000000001,8.0,55.56438216252637,2.0,19.851576994434183,3.0,9.975247524752461,-6.0,6.0,42.23357495585329,41,237.2880577964158,123.0,3.0,18.617173376047102,10.2,7.0,50.50224183663796,-2.1,15.0,78.28466429688767,60.0,12.0,98.62134979877173,48.0,6.0,37.10870896720688,31.2,2.0,6.9519469322400695,10.4,1.0,6.23100303951368,7.0,25.0,132.5637241742552,100.0,166,1101.4694495780277,166.0,63,382.9250719928461,119.70000000000007,51.0,343.1970691649765,142.79999999999995,3.0,24.081674315395432,15.0,38,244.1196504186665,266.0,2.0,12.300621046347151,7.0,34.0,222.03221719126708,115.60000000000008,58.0,359.60565101185034,464.0,9.0,61.64539686879456,54.0,3.0,16.677785190126748,19.200000000000006,0.0,0.0,0.0,10.0,53.81064410463161,70.0,10.0,63.270818423889104,74.0,2.0,12.48875151372386,16.6,13.0,55.439719426922686,96.20000000000002,7.0,28.78106017243401,35.0,1.0,3.3816425120772897,5.0,1.0,4.615384615384619,7.0,4.0,24.89172910403791,40.0,1.0,4.67836257309941,-2.0,8.0,41.065530705548454,-40.0,30.0,178.03000595801572,-60.0,11.0,55.479461007023566,-22.0,9.0,46.51132468805086,-18.0,1.0,4.615384615384619,-2.0,17.0,110.65802098920382,-68.0,5.0,26.6585221005447,-22.0,10.0,40.719423680335346,-70.0,1.0,2.02020202020202,-6.5,1.0,7.996585088218549,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,39.94691389781784,-30.0,6.0,22.490106965253048,-30.0,1.0,4.37710437710438,-9.0,0.0,0.0,0.0,3.0,15.630371287426241,-28.5,42,227.85948581009083,-420.0,0.0,0.0,0.0,6.0,22.91566809664652,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
200808,2.075,29,149.2944643571759,10.0,65.87149927949014,-4.0,2.0,4.53901622456863,0.8,0.0,0.0,1.0,6.07594936708861,3.0,13.19648093841642,-6.0,0.0,0.0,22,133.01534638331233,66.0,5.0,36.35228046516096,17.0,1.0,2.3554603854389704,-0.3,0.0,0.0,0.0,13.0,89.69362159852805,52.0,3.0,16.75011177200788,15.6,0.0,0.0,0.0,0.0,0.0,0.0,11.0,61.727670675979795,44.0,20,128.71884163834395,20.0,24,109.63872553248993,45.59999999999998,15.0,59.723880330325116,41.99999999999999,1.0,5.71428571428571,5.0,31,166.33517699154706,217.0,0.0,0.0,0.0,15.0,118.75656391224163,50.99999999999999,35.0,217.8235089264444,280.0,29.0,147.6487007988381,174.0,1.0,4.90287710151886,6.4,0.0,0.0,0.0,3.0,14.633777239709449,21.0,3.0,22.87242451556188,22.200000000000006,0.0,0.0,0.0,1.0,5.35019455252918,7.4,2.0,5.540701128936419,10.0,2.0,9.5945887163426,10.0,6.0,32.13341819167131,42.0,8.0,27.89102362654452,78.0,0.0,0.0,0.0,4.0,25.19013720444708,-20.0,5.0,33.621689807514194,-10.0,7.0,28.83417100046418,-14.0,8.0,30.131368307779326,-16.0,0.0,0.0,0.0,12.0,67.8366239210892,-48.0,11.0,42.354692314449785,-48.39999999999999,1.0,3.34928229665072,-7.0,2.0,12.05927688485828,-13.0,0.0,0.0,0.0,1.0,5.86666666666667,-7.2,5.0,35.14301998457634,-20.0,0.0,0.0,1.0,3.3073929961089505,-9.2,1.0,5.857740585774059,-5.0,0.0,0.0,0.0,1.0,3.6144578313252995,-9.0,4.0,9.39081064993934,-36.0,2.0,4.710920770877941,-19.0,18,60.80332481171591,-180.0,6.0,29.29038914690302,-57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,2.074,50,232.1530829874874,4.0,20.031214912035185,-1.6,5.0,21.43787089083596,2.0,1.0,6.8935041979672995,1.0,5.1759834368529996,3.0,18.17164179104478,-6.0,1.0,3.3073929961089505,14,63.67628201543998,42.0,0.0,0.0,0.0,7.0,41.95166324466544,-2.1,1.0,4.41883574507209,4.0,11.0,84.7603637784346,44.0,2.0,9.45954692556634,10.4,1.0,13.7789768185451,5.2,5.0,25.34965888307736,35.0,4.0,12.63424638791208,16.0,27,188.44797467687556,27.0,36,175.8363933757267,68.39999999999998,38.0,178.61819901727768,106.39999999999992,0.0,0.0,0.0,28,186.34188145053716,196.0,5.0,21.29220433177262,17.5,5.0,39.88379017905932,17.0,29.0,215.7292030040624,232.0,8.0,57.964992973214166,48.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.402738216278735,28.0,1.0,5.82329317269076,7.4,0.0,0.0,0.0,3.0,10.705472077445659,22.200000000000006,10.0,31.47431085646678,50.0,0.0,0.0,0.0,25.0,95.12764636563335,175.0,2.0,8.57142857142856,18.0,0.0,0.0,0.0,2.0,8.55830472209783,-10.0,7.0,39.65366125214607,-14.0,8.0,39.78256473154783,-16.0,10.0,25.864565722916282,-20.0,0.0,0.0,0.0,4.0,20.836499851779973,-16.0,12.0,56.23814835551207,-52.79999999999999,1.0,4.2889390519187405,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.84615384615385,-7.2,2.0,7.0576981444789695,-8.0,0.0,0.0,3.0,12.74407591960763,-27.6,1.0,2.65111346765642,-5.0,10.0,48.8832342864402,-50.0,0.0,0.0,0.0,8.0,26.646047591173282,-72.0,4.0,20.58319039451116,-38.0,30,118.85798927875095,-300.0,1.0,2.28426395939086,-9.5,6.0,25.643016944309053,-60.0,0.0,0.0,0.0,3.0,6.5418946156060995,-30.0
200810,2.073,37,181.6949907699633,5.0,31.72721674608131,-2.0,14.0,55.54944881364874,5.6000000000000005,2.0,7.6404907349842786,1.0,7.10955710955711,2.0,14.36078863665071,-4.0,2.0,14.36078863665071,48,376.1766919131737,144.0,5.0,36.774065619619584,17.0,4.0,26.45624920856021,-1.2,0.0,0.0,0.0,16.0,113.45775726639452,64.0,1.0,4.878048780487799,5.2,0.0,0.0,0.0,8.0,33.40464755634096,56.0,73.0,400.42004282237093,292.0,52,259.41104134100874,52.0,58,285.44928977445636,110.20000000000007,58.0,297.8678886018018,162.40000000000003,6.0,32.50000000000002,30.0,27,158.73184389117506,189.0,0.0,0.0,0.0,21.0,161.07794175470147,71.39999999999998,44.0,254.135973013637,352.0,15.0,124.98365207876621,90.0,10.0,86.3095238095238,63.99999999999999,0.0,0.0,0.0,2.0,15.16381032594112,14.0,2.0,13.24875132159393,14.8,0.0,0.0,0.0,5.0,32.4400178611224,37.0,3.0,13.67009116556793,15.0,0.0,0.0,0.0,17.0,72.21994046683413,119.0,10.0,54.04360534284297,94.0,0.0,0.0,0.0,4.0,22.94922595349471,-20.0,12.0,64.80164786801484,-24.0,14.0,74.4813368793377,-28.0,2.0,12.474747474747481,-4.0,0.0,0.0,0.0,14.0,72.43735733985936,-56.0,6.0,36.99079902494281,-26.4,1.0,3.9735099337748303,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.582072302732241,-14.4,2.0,9.67102380446241,-8.0,4.0,-16.0,0.0,0.0,0.0,6.0,20.64930703555883,-30.0,10.0,18.996342574423657,-50.0,2.0,7.849877771957389,-18.0,4.0,19.59677419354839,-36.0,6.0,25.97515790654699,-57.0,36,186.98346507995342,-360.0,7.0,34.99554059700333,-66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
