MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_80,tone_count_80,goldstein_80,event_count_84,tone_count_84,goldstein_84,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_120,tone_count_120,goldstein_120,event_count_130,tone_count_130,goldstein_130,event_count_141,tone_count_141,goldstein_141,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_190,tone_count_190,goldstein_190,event_count_193,tone_count_193,goldstein_193
200801,1.986,20,88.09281618047892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,29.8549359015381,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.186721991701253,12.0,20.0,95.35739295203858,20.0,64,273.26261688330743,121.60000000000014,70.0,304.96128137010965,196.00000000000009,31.0,136.37838242548463,217.0,0.0,0.0,0.0,12.0,51.89113447867996,40.79999999999999,6.0,25.380430419552752,48.0,2.0,14.06190708516294,12.0,0.0,0.0,0.0,1.0,7.3015873015873005,7.0,5.0,21.812968788819944,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.57135553607946,-5.0,0.0,0.0,0.0,3.0,15.51479803730433,-6.0,1.0,1.72413793103448,-2.0,0.0,0.0,0.0,4.0,9.96385460001365,-17.6,0.0,0.0,0.0,3.0,10.215318834533608,-15.0,1.0,5.2252252252252305,-5.0,2.0,0.0,-20.0,0.0,0.0,0.0
200802,1.9863333333333333,30,62.71828634747038,8.0,37.93162535884819,-3.2,6.0,37.990952381467814,2.4,1.0,6.50793650793651,0.0,0.0,9,22.21946416402875,27.0,5.0,21.219493576588302,20.0,0.0,0.0,0.0,11.0,49.69285131766003,44.0,21.0,100.46055189117506,21.0,51,154.70563783859382,96.90000000000002,55.0,174.3468184862735,154.00000000000003,9.0,21.61392185493558,63.0,2.0,13.09753483386924,7.0,6.0,46.72729810837228,20.4,0.0,0.0,0.0,18.0,62.23800751323726,108.0,0.0,0.0,0.0,1.0,6.017699115044251,7.0,0.0,0.0,0.0,4.0,10.65272812268745,20.0,1.0,2.52100840336134,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,78.58034297734119,-18.0,3.0,12.192142976380902,-6.0,10.0,21.752323939023107,-20.0,3.0,11.84986469821385,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0433035875454504,-5.0,12.0,51.04479470422728,-120.0,0.0,0.0,0.0
200803,1.9866666666666664,37,131.15625666667412,6.0,22.185034842085045,-2.4,2.0,10.26647194932292,0.8,2.0,8.05388339985605,0.0,0.0,15,47.26316803573533,45.0,1.0,5.97014925373134,4.0,0.0,0.0,0.0,5.0,33.14102169046908,20.0,22.0,77.81315005734182,22.0,23,86.50567837058429,43.69999999999998,20.0,79.03228302752872,55.99999999999998,0.0,0.0,0.0,1.0,3.77358490566038,3.5,4.0,16.08055771524424,13.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.53482587064677,6.4,1.0,4.9180327868852505,7.0,1.0,1.65289256198347,7.4,0.0,0.0,0.0,5.0,24.80925968811952,35.0,2.0,5.92920835145715,-4.0,1.0,1.9138755980861202,-5.0,3.0,4.95867768595041,-6.0,6.0,17.64854412190911,-12.0,12.0,52.29342943192514,-24.0,1.0,4.375,-4.0,8.0,40.611220744123564,-35.2,0.0,0.0,0.0,6.0,28.74181061903347,-30.0,2.0,10.990311094670838,-10.0,2.0,8.05388339985605,-20.0,1.0,2.45161290322581,-10.0
200804,1.9869999999999999,14,36.6420923073799,1.0,7.17703349282297,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,31.759254723459872,21.0,5.0,14.204977203647411,20.0,0.0,0.0,0.0,7.0,50.99846390168968,28.0,5.0,35.50855184935247,5.0,7,47.641768509777094,13.3,7.0,47.641768509777094,19.6,7.0,49.55787993548268,49.0,0.0,0.0,0.0,3.0,16.38919199247816,10.2,1.0,5.35714285714286,8.0,1.0,7.17703349282297,6.0,2.0,17.41605278388229,12.8,0.0,0.0,0.0,1.0,5.08474576271187,7.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.13742164730306,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.97504648204324,-8.0,7.0,11.348774380538835,-14.0,0.0,0.0,0.0,1.0,3.2786885245901605,-4.4,7.0,42.823483719298245,-45.5,2.0,4.08163265306122,-10.0,1.0,4.30570505920344,-5.0,10.0,28.367851711182066,-100.0,0.0,0.0,0.0
200805,1.9873333333333332,14,53.45295100230896,0.0,0.0,0.0,4.0,28.086492085790372,1.6,0.0,0.0,0.0,0.0,7,36.772988576865735,21.0,1.0,3.9080459770114904,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,45.589615612488565,6.0,11,63.53056889176886,20.9,5.0,21.065573678245908,14.0,4.0,32.391974451541245,28.0,1.0,6.11246943765281,3.5,6.0,40.52309385642693,20.4,9.0,58.2960179333779,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.76619273301738,7.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.34862385321101,-2.0,1.0,3.8980081876869797,-5.0,0.0,0.0,0.0,1.0,7.676969092721831,-2.0,1.0,5.18962075848303,-2.0,0.0,0.0,0.0,1.0,5.25328330206379,-4.4,0.0,0.0,0.0,3.0,0.417246175243395,-15.0,2.0,10.37924151696606,-10.0,2.0,6.4530892448512605,-20.0,0.0,0.0,0.0
200806,1.9876666666666667,2,13.202880826199221,2.0,7.49506903353058,-0.8,3.0,17.59453211066113,1.2000000000000002,0.0,0.0,0.0,0.0,6,24.87694831309742,18.0,1.0,13.294797687861301,4.0,0.0,0.0,0.0,6.0,48.13132140675972,24.0,11.0,70.28188839668383,11.0,13,69.84085610308964,24.7,11.0,62.96879873675775,30.800000000000004,14.0,100.1059213542712,98.0,0.0,0.0,0.0,6.0,24.180098101911803,20.4,16.0,117.20870108800682,128.0,0.0,0.0,0.0,1.0,9.07754010695187,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6363636363636402,5.0,0.0,0.0,0.0,3.0,25.3097897731215,-6.0,3.0,16.7889906900352,-15.0,0.0,0.0,0.0,4.0,18.121298294960702,-8.0,4.0,12.88863704242554,-8.0,1.0,3.79918588873813,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.133034379671162,-10.0,0.0,0.0,0.0,8.0,8.753170554028152,-80.0,4.0,14.99013806706116,-40.0
200807,1.9880000000000002,19,84.56749123949308,1.0,5.5793991416309,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,52.75396804519768,30.0,1.0,10.218978102189801,4.0,0.0,0.0,0.0,5.0,21.712416834032922,20.0,0.0,0.0,0.0,7,43.62823815553115,13.3,3.0,10.06814745258332,8.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.0,44.35671824650186,20.4,10.0,57.88335284238382,80.0,2.0,12.1961939423848,12.0,0.0,0.0,0.0,1.0,5.42635658914729,7.0,3.0,13.70060190388675,22.200000000000006,1.0,5.66959921798631,5.0,2.0,13.043478260869561,14.0,3.0,8.70967741935483,-6.0,0.0,0.0,0.0,3.0,30.0,-6.0,1.0,5.51431601272534,-2.0,3.0,21.67507568113017,-6.0,4.0,18.66351939956072,-16.0,1.0,6.918238993710691,-4.4,0.0,0.0,0.0,2.0,6.711409395973161,-10.0,2.0,5.64241486068112,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
200808,1.9883333333333333,5,35.84492730534653,8.0,41.740286397459016,-3.2,0.0,0.0,0.0,2.0,10.1823708206687,1.0,6.38297872340426,2,6.33848797250859,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.51181155055879,8.0,6.0,48.31028217465018,6.0,17,91.9657214118722,32.29999999999999,5.0,40.35113194116517,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.360165118679,6.8,10.0,55.65892131458589,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.40742808296844,14.8,0.0,0.0,0.0,1.0,7.986111111111111,7.0,3.0,19.432624113475192,-6.0,0.0,0.0,0.0,4.0,21.93090748211982,-8.0,2.0,17.299651567944252,-4.0,1.0,1.6,-2.0,1.0,4.19354838709677,-4.0,2.0,10.1823708206687,-8.8,2.0,7.89506141117221,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.823529411764712,-10.0,0.0,0.0,0.0
200809,1.9886666666666664,7,48.00674417369415,1.0,4.00801603206413,-0.4,3.0,22.20144129533475,1.2000000000000002,0.0,0.0,0.0,0.0,1,8.388157894736839,3.0,1.0,8.10810810810811,4.0,0.0,0.0,0.0,4.0,26.875096257508087,16.0,8.0,43.75196333714203,8.0,5,46.593832250278474,9.5,4.0,28.72757860596368,11.2,6.0,42.89119628745447,42.0,5.0,34.73655913978495,17.5,3.0,10.755110554860249,10.2,1.0,8.388157894736839,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,53.84615384615383,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.13953488372093,-2.0,0.0,0.0,0.0,1.0,5.9405940594059405,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.08222044562748,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200810,1.989,12,55.967197547767256,2.0,12.195250105086169,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11.2,6.0,1.0,0.97071129707113,4.0,1.0,12.9655172413793,5.2,6.0,44.47367527779978,24.0,9.0,62.51471457578328,9.0,6,3.2258064516129,11.4,6.0,8.155383916401629,16.8,9.0,31.236874827300376,63.0,4.0,23.492805101054106,14.0,6.0,10.938151932471358,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.08333333333333,7.4,0.0,0.0,0.0,1.0,6.4388961892247,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,48.700746113119614,-16.0,4.0,7.98358093731759,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.08333333333333,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.258842668552262,-30.0,7.0,20.52791183763744,-70.0,2.0,-3.0888030888030804,-20.0
200811,1.9893333333333332,3,3.2846715328467297,1.0,4.15282392026578,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.245901639344302,3.0,17.0,77.04144147934358,68.0,0.0,0.0,0.0,14.0,119.36706941716344,56.0,23.0,204.67795255099148,23.0,20,158.07899944673417,37.99999999999999,11.0,53.67697355623199,30.800000000000004,10.0,86.70230042264399,70.0,0.0,0.0,0.0,6.0,5.928500999601996,20.4,0.0,0.0,0.0,2.0,10.08952408820388,12.0,0.0,0.0,0.0,2.0,11.15437294276184,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,-5.0,1.0,5.6886227544910195,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.08952408820388,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.5427135678392,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
200812,1.9896666666666667,20,85.56460310520335,0.0,0.0,0.0,8.0,45.064955751985025,3.2,5.0,32.55087441776586,1.0,8.39642119752237,23,77.72837942892421,69.0,5.0,25.503218565095825,20.0,3.0,15.48913043478261,15.6,15.0,78.09520772221687,60.0,6.0,21.63336499009952,6.0,20,74.72823100379306,37.99999999999999,15.0,53.17227073042657,41.99999999999999,6.0,28.95363636390477,42.0,0.0,0.0,0.0,24.0,89.18226075289145,81.60000000000002,11.0,56.63583448608366,88.0,6.0,14.542085867505193,36.0,0.0,0.0,0.0,1.0,4.26008968609865,7.0,2.0,6.55772798629942,14.8,4.0,16.602317070567988,20.0,1.0,4.75578406169666,7.0,2.0,6.85773243176596,-4.0,0.0,0.0,0.0,3.0,17.07474684353297,-6.0,7.0,35.58262911896675,-14.0,12.0,58.34185901850844,-24.0,3.0,22.10680768648512,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.75578406169666,-5.0,2.0,13.47517730496454,-20.0,0.0,0.0,0.0
200901,1.99,144,385.58802258984355,1.0,3.7037037037037,-0.4,21.0,64.41570367774568,8.400000000000002,1.0,2.88613691090471,0.0,0.0,59,215.22445408401344,177.0,29.0,107.56118085964536,116.0,6.0,15.290956671664604,31.2,35.0,121.18696580096756,140.0,34.0,155.56898464330638,34.0,74,299.8731908278816,140.60000000000014,62.0,240.5895393370681,173.60000000000005,21.0,84.02028934042055,147.0,1.0,7.06106870229008,3.5,51.0,162.19808990269522,173.40000000000015,42.0,146.3254566707052,336.0,15.0,60.82193260590199,90.0,0.0,0.0,0.0,23.0,161.64389762435698,161.0,4.0,18.24264691058938,29.6,2.0,14.60848169054856,10.0,21.0,93.70844186544286,147.0,25.0,91.36585729392606,-50.0,7.0,50.982912067403475,-35.0,12.0,39.17817879913164,-24.0,8.0,29.566196369780158,-16.0,68.0,177.75656193824778,-136.0,8.0,25.068545518958608,-32.0,8.0,10.448938308970813,-35.2,3.0,7.47168225960217,-19.5,7.0,27.48812875717309,-35.0,51.0,182.45790992327454,-255.0,14.0,28.761955855516618,-140.0,0.0,0.0,0.0
200902,1.9974166666666664,83,207.1456036570021,5.0,26.55457633678643,-2.0,5.0,20.214271711474304,2.0,2.0,11.864406779661019,0.0,0.0,47,143.19466123018503,141.0,15.0,22.523721469146327,60.0,0.0,0.0,0.0,9.0,66.01726901156813,36.0,16.0,72.07280927345774,16.0,27,145.19106057545432,51.29999999999998,26.0,134.56978756042628,72.79999999999997,2.0,13.53373921867073,14.0,2.0,18.85582693116232,7.0,24.0,90.27586738819437,81.60000000000002,18.0,98.47138333913256,144.0,14.0,65.7864174100642,84.0,0.0,0.0,0.0,9.0,58.28673109556715,63.0,4.0,22.508730303362746,29.6,1.0,7.63546798029557,5.0,7.0,36.32109049503853,49.0,7.0,30.738159675774412,-14.0,1.0,5.12223515715949,-5.0,2.0,1.219512195121952,-4.0,9.0,48.44065402426181,-18.0,37.0,64.50560279993694,-74.0,6.0,34.23448343934449,-24.0,2.0,5.991009640977111,-8.8,0.0,0.0,0.0,4.0,16.712234441136562,-20.0,13.0,35.39541551380082,-65.0,13.0,50.724222835458605,-130.0,0.0,0.0,0.0
200903,2.004833333333333,66,127.276193368473,2.0,13.32777680175303,-0.8,3.0,16.56954156954158,1.2000000000000002,0.0,0.0,12.0,60.17486202664174,43,59.14520332194371,129.0,11.0,53.87198011004074,44.0,0.0,0.0,0.0,6.0,20.16229712858926,24.0,12.0,39.01570609384277,12.0,38,84.26558174019641,72.19999999999997,43.0,105.88642904306356,120.39999999999992,11.0,58.18412436684864,77.0,0.0,0.0,0.0,22.0,68.36380078877328,74.79999999999998,1.0,8.21205821205821,8.0,19.0,48.6508986669499,114.0,2.0,14.627200673353439,12.8,0.0,0.0,0.0,1.0,1.7334777898158202,7.4,1.0,5.952380952380951,5.0,4.0,17.278756871342672,28.0,5.0,22.7040021683743,-10.0,5.0,23.056679175398422,-25.0,3.0,9.8740965602659,-6.0,5.0,9.93366500829187,-10.0,14.0,46.03902358706546,-28.0,2.0,8.13837825604486,-8.0,2.0,1.96078431372549,-8.8,2.0,9.542210961460288,-13.0,0.0,0.0,0.0,3.0,6.25,-15.0,9.0,20.28480196965436,-90.0,0.0,0.0,0.0
