MonthYear,GPI,event_count_10,tone_count_10,event_count_11,tone_count_11,goldstein_11,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_18,tone_count_18,goldstein_18,event_count_20,tone_count_20,goldstein_20,event_count_21,tone_count_21,goldstein_21,event_count_22,tone_count_22,goldstein_22,event_count_23,tone_count_23,goldstein_23,event_count_25,tone_count_25,goldstein_25,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_32,tone_count_32,goldstein_32,event_count_33,tone_count_33,goldstein_33,event_count_35,tone_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_44,tone_count_44,goldstein_44,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_52,tone_count_52,goldstein_52,event_count_54,tone_count_54,goldstein_54,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_62,tone_count_62,goldstein_62,event_count_63,goldstein_63,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_75,tone_count_75,goldstein_75,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_104,tone_count_104,goldstein_104,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_124,tone_count_124,goldstein_124,event_count_125,tone_count_125,goldstein_125,event_count_128,tone_count_128,goldstein_128,event_count_130,tone_count_130,goldstein_130,event_count_138,tone_count_138,goldstein_138,event_count_141,tone_count_141,goldstein_141,event_count_150,tone_count_150,goldstein_150,event_count_154,tone_count_154,goldstein_154,event_count_160,tone_count_160,goldstein_160,event_count_161,tone_count_161,goldstein_161,event_count_163,tone_count_163,goldstein_163,event_count_171,tone_count_171,goldstein_171,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_174,tone_count_174,goldstein_174,event_count_180,tone_count_180,goldstein_180,event_count_182,tone_count_182,goldstein_182,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,1.8619999999999999,26,105.5110354317965,0.0,0.0,0.0,2,12.068753264194589,-0.8,6,22.58641923883798,2.4,2.0,9.00475057504881,1.0,1.90930787589499,1.0,3.7131882202304705,-2.0,5.0,36.613908001604706,0.0,0.0,0.0,12,51.33044785084514,36.0,4.0,12.075643654591019,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,84.08050429637994,135.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,161.75945731484023,100.0,28,131.32121672623023,28.0,45,257.91835629157896,85.5,41,227.56430003898103,114.79999999999993,0.0,0.0,0.0,0.0,0.0,0.0,11,79.92004770798899,77.0,7,28.846723512060667,24.5,30,208.75844977204318,102.00000000000004,2.0,6.46153846153846,7.0,0.0,0.0,0.0,8,58.319353015987424,64.0,0.0,0.0,0.0,1.0,3.18840579710145,6.4,0.0,0.0,0.0,1.0,7.4,7.0,67.42680144278918,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.656546489563567,15.0,0.0,0.0,0.0,7.0,42.859823531760284,35.0,2.0,9.90664758734145,14.0,0.0,0.0,0.0,7,27.906506283450323,-14.0,5.0,21.356690847352997,-25.0,0.0,0.0,0.0,3.0,27.8248217025505,-6.0,8.0,43.57477757802272,-16.0,10.0,47.56756535162746,-20.0,3.0,13.613288540500191,-6.0,1,7.1490845684394095,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.02919708029197,-5.0,0.0,0.0,0.0,1.0,6.346153846153849,-7.0,1.0,5.37190082644628,-6.5,0.0,0.0,0.0,3.0,12.04188481675392,-21.6,1.0,7.1490845684394095,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.98171786356718,-30.0,25,77.26447395254496,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.95652173913043,-10.0,0.0,0.0,0.0,2.0,5.24691358024692,-20.0
200802,1.8615833333333331,61,300.4914085867465,0.0,0.0,0.0,9,40.62652768930996,-3.6,18,103.36041391785132,7.200000000000002,8.0,42.93771003789136,0.0,0.0,1.0,7.38916256157635,-2.0,7.0,63.254569534358254,2.0,6.0,6.8,32,163.43262362717562,96.0,6.0,32.32143902373786,20.4,1.0,3.5714285714285694,3.2,2.0,8.10457516339869,6.8,8.0,34.981637183602516,-2.4,10.0,47.487691323605965,40.0,22.0,171.02872939441625,88.0,38.0,174.32798382862651,197.59999999999997,0.0,0.0,0.0,5.0,32.38009948758699,26.0,0.0,0.0,0.0,107,514.2112440782286,428.0,265,1450.6201003031101,265.0,78,373.6708943700758,148.20000000000013,92,443.4538272402524,257.60000000000025,7.0,25.10650399396949,17.5,1.0,3.6144578313252995,5.0,91,484.9877466511074,637.0,14,134.43292942721675,49.0,23,121.19860036557846,78.2,4.0,23.62258615251361,14.0,0.0,0.0,0.0,15,78.45262350802801,120.0,2.0,7.2817569804657305,12.0,2.0,11.96581196581196,12.8,0.0,0.0,0.0,0.0,0.0,14.0,69.78651601530457,98.0,1.0,4.68497576736672,7.4,9.0,51.81241477452121,74.69999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.746987951807231,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.045691921888256,70.0,8.0,49.72402941231901,80.0,6,28.899580750552513,-12.0,16.0,80.7177959086773,-80.0,1.0,4.68497576736672,-5.0,13.0,72.0509924843129,-26.0,8.0,51.14754098360657,-16.0,8.0,30.43896792442266,-16.0,13.0,41.16176470588232,-26.0,9,43.37053355952012,-36.0,2.0,8.8435721397809,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.835257381557607,-30.8,2.0,4.2671289604049605,-14.0,1.0,5.53435114503817,-6.5,2.0,10.7361963190184,-14.4,11.0,45.69962067835698,-79.20000000000002,3.0,11.399711399711402,-12.0,0.0,0.0,0.0,2.0,11.96581196581196,-16.0,0.0,0.0,0.0,4.0,17.73557389546254,-20.0,3,12.296547414688371,-15.0,3.0,5.139094235857581,-15.0,1.0,3.4858387799564303,-9.0,0.0,0.0,0.0,31,135.90690484303758,-310.0,3.0,10.61946902654868,-28.5,0.0,0.0,0.0
200803,1.8611666666666664,31,144.08735979297944,0.0,0.0,0.0,18,98.36663482711671,-7.200000000000002,19,92.18473277749331,7.600000000000002,6.0,30.81997775359869,6.0,23.116503955297947,0.0,0.0,0.0,2.0,9.900990099009901,0.0,0.0,0.0,17,97.79745840927141,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,55.84261523841744,44.0,9.0,47.781813921755095,46.8,0.0,0.0,0.0,1.0,7.89473684210526,5.2,0.0,0.0,0.0,18,106.3697381641897,72.0,29,154.63513010606357,29.0,20,102.93658149135707,37.99999999999999,16,89.18975949671842,44.79999999999999,4.0,8.83977900552488,10.0,0.0,0.0,0.0,29,138.98646238796624,203.0,5,20.97419416857897,17.5,16,103.24836653734042,54.399999999999984,1.0,6.55367231638418,3.5,0.0,0.0,0.0,87,516.3035277108655,696.0,9.0,47.50827526317109,54.0,2.0,6.622516556291401,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.049723756906099,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.606279472601344,30.0,1.0,4.731861198738169,5.0,3.0,13.374352741590391,15.0,2.0,8.29766802953854,14.0,0.0,0.0,0.0,4,19.827056770285708,-8.0,7.0,36.78972591793238,-35.0,4.0,20.89222175059084,-20.0,1.0,3.3003300330033,-2.0,7.0,26.718309203490172,-14.0,3.0,20.99730104203087,-6.0,4.0,18.570971712707404,-8.0,25,154.65037040336225,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.840895822723482,-25.0,4.0,18.88521891744173,-17.6,0.0,0.0,0.0,4.0,26.180545985562173,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.020268735259013,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.86518425831791,-18.4,11.0,43.51845238867112,-55.0,16,73.94491443970243,-80.0,0.0,0.0,0.0,1.0,4.9504950495049505,-9.0,1.0,7.91826309067688,-9.0,11,39.474524042151636,-110.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,1.86075,23,119.52704137806869,1.0,4.82758620689655,-0.1,10,50.88578779807361,-4.0,5,29.066665894319414,2.0,2.0,9.171359613837481,2.0,6.528189910979219,2.0,6.88144329896907,-4.0,1.0,4.7270955165692,0.0,0.0,0.0,32,150.29391781321948,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1958041958042,3.4,0.0,0.0,0.0,2.0,15.21604938271606,8.0,7.0,43.60085961961785,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.03015075376884,7.0,30,190.4266433794862,120.0,27,175.30840274203743,27.0,16,110.09764142479685,30.399999999999995,23,136.76401274660807,64.39999999999998,0.0,0.0,0.0,0.0,0.0,0.0,51,340.53107765764497,357.0,12,74.15613763753444,42.0,25,178.06157413633025,85.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,64,374.11708463875124,512.0,2.0,14.20959147424512,12.0,6.0,36.69421487603304,38.4,2.0,12.0,14.8,0.0,0.0,29.0,184.5054411866639,203.0,2.0,10.793650793650801,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.9646017699115,5.0,0.0,0.0,0.0,11.0,60.54032476046702,55.0,8.0,51.06256978845013,56.0,1.0,6.03015075376884,10.0,13,62.49790858324407,-26.0,5.0,19.6498212492625,-25.0,0.0,0.0,0.0,2.0,9.171359613837481,-4.0,0.0,0.0,0.0,9.0,51.10595302682536,-18.0,0.0,0.0,0.0,9,56.181553287768935,-36.0,1.0,4.38939591481964,-4.0,1.0,6.5217391304347805,-5.0,0.0,0.0,0.0,3.0,14.48127815315315,-13.2,1.0,6.06219548206112,-7.0,4.0,20.9052186650102,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.796875,-8.0,3.0,18.09045226130652,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,16,114.59382188235568,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8037383177570097,-10.0,8,35.27284471869295,-80.0,1.0,5.405405405405411,-9.5,0.0,0.0,0.0
200805,1.8603333333333332,65,351.3383261402919,9.0,77.0131314501679,-0.8999999999999999,11,69.46526977226577,-4.4,35,181.22097149327976,14.000000000000007,4.0,26.903184658071442,1.0,5.11363636363636,2.0,4.63917525773196,-4.0,4.0,18.138877817603422,3.0,6.31764324192851,10.2,35,225.3665585649119,105.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.222218043884784,17.0,1.0,5.54016620498615,-0.3,2.0,13.030211336560951,8.0,24.0,148.54648153188853,96.0,9.0,55.565646348295466,46.8,7.0,42.08895020455122,31.5,2.0,12.164325519946999,11.2,4.0,22.95970843414818,28.0,76,437.5097854537934,304.0,110,658.9367708132039,110.0,53,281.87605008872555,100.70000000000006,53,281.6730774280537,148.4,0.0,0.0,0.0,0.0,0.0,0.0,53,297.48231468550387,371.0,49,325.64887948827266,171.5,59,403.00539750588297,200.6000000000002,0.0,0.0,0.0,8.0,67.29159943918368,48.0,63,246.28737067953602,504.0,9.0,37.37564632145893,54.0,4.0,16.59132388654745,25.6,3.0,17.48845042478213,22.200000000000006,0.0,0.0,2.0,13.029649406888248,14.0,5.0,26.287892671441302,37.0,7.0,36.17667825693085,58.1,2.0,8.641975308641982,14.8,0.0,0.0,0.0,20.0,134.13513491562176,100.0,1.0,5.80645161290323,5.0,0.0,0.0,0.0,15.0,78.97420726250732,105.0,7.0,43.17462180628835,68.0,10,61.310542689953614,-20.0,13.0,88.85509248652382,-65.0,0.0,0.0,0.0,12.0,69.46839500500718,-24.0,8.0,39.68211326276864,-16.0,8.0,34.120047484315826,-16.0,9.0,49.005398624441824,-18.0,42,302.1447024654335,-168.0,2.0,11.593560773888653,-8.0,4.0,30.63903560698524,-20.0,0.0,0.0,0.0,4.0,22.145554672215876,-17.6,2.0,8.1591077014723,-14.0,1.0,4.53689097051257,-6.5,0.0,0.0,0.0,1.0,6.6981142272439005,-7.2,1.0,5.47169811320755,-4.0,0.0,0.0,0.0,1.0,4.12735849056604,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,10,51.155122442332534,-50.0,4.0,22.80286792593774,-20.0,4.0,22.584490980717398,-36.0,1.0,5.76923076923077,-10.0,63,158.81623729554545,-630.0,3.0,18.54389592005886,-28.5,14.0,27.18060783874177,-140.0
200806,1.8599166666666669,47,227.67294787436276,3.0,14.2887536700566,-0.30000000000000004,8,43.46550708051073,-3.2,14,94.53728880638019,5.6000000000000005,3.0,10.87389828397022,0.0,0.0,2.0,8.14130696889317,-4.0,9.0,48.314696185810064,0.0,0.0,0.0,30,158.9783374889692,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.86068763156216,6.8,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1047.0086686742843,588.0,2.0,8.98876404494382,10.4,0.0,0.0,0.0,1.0,7.65027322404372,5.2,0.0,0.0,0.0,10,55.763257905292434,40.0,52,249.8143881775326,52.0,51,245.1225246937966,96.90000000000006,58,279.72035486823785,162.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,123,561.9487250184699,861.0,30,185.5470594516666,105.0,23,133.0374727619296,78.2,0.0,0.0,0.0,3.0,29.220779220779217,18.0,66,470.58274104598985,528.0,9.0,48.58528943603464,54.0,3.0,7.72499163599867,19.200000000000006,0.0,0.0,0.0,0.0,0.0,2.0,14.367446592880121,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.63687549601079,15.0,1.0,3.0503978779840804,5.0,2.0,10.758926015686118,10.0,8.0,26.28423781828622,56.0,4.0,21.979783798557957,38.0,2,11.86643834494275,-4.0,4.0,17.64093260767318,-20.0,3.0,17.7398133138593,-15.0,1.0,4.575163398692809,-2.0,9.0,46.137584387503615,-18.0,7.0,37.80182718107836,-14.0,3.0,18.47876090631696,-6.0,8,44.437096081611564,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.91735537190082,-15.0,4.0,18.693472123154148,-17.6,1.0,5.02183406113537,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.2951739618406295,-7.2,6.0,36.1936872603493,-24.0,0.0,0.0,0.0,1.0,6.3752276867031,-8.0,3.0,16.90140845070423,-27.6,14.0,80.67831043852408,-70.0,15,57.38508001743828,-75.0,0.0,0.0,0.0,1.0,3.2258064516129,-9.0,1.0,7.72357723577236,-10.0,5,25.46946296310829,-50.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,1.8595,14,74.88720839644577,5.0,20.8105147864184,-0.5,11,54.36570091942107,-4.4,14,82.3808790703553,5.6000000000000005,5.0,17.770888437230962,2.0,13.2608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,83.28753577700272,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.6551724137931,6.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,47.664246229986155,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,118.5405238234084,104.0,82,400.12239402263486,82.0,58,320.36022951270314,110.20000000000006,52,290.76191317478583,145.59999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64,316.8486476916314,448.0,14,69.70173031868032,49.0,6,31.579754228132092,20.4,1.0,7.392197125256669,3.5,1.0,4.29184549356223,6.0,10,56.552562498916686,80.0,13.0,47.1313596636181,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,32.919694031241626,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.52201257861635,7.0,3.0,16.58457229435662,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,72.66047014732845,140.0,3.0,12.197817242997962,30.0,3,12.58191349934469,-6.0,2.0,7.91397374284188,-10.0,0.0,0.0,0.0,1.0,4.0748183331303505,-2.0,15.0,61.16952742995637,-30.0,3.0,9.76400648531796,-6.0,0.0,0.0,0.0,25,108.4706163562502,-100.0,0.0,0.0,0.0,15.0,85.98860777548548,-75.0,0.0,0.0,0.0,13.0,71.05923354881006,-57.19999999999999,3.0,11.861283571269901,-21.0,6.0,41.40661353055164,-39.0,0.0,0.0,0.0,11.0,54.61373531923167,-79.20000000000002,2.0,7.91397374284188,-8.0,1.0,1.9853916071628201,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,73.10308016848934,-75.0,6,20.6598591987207,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.39813374805598,-19.0,7,30.078256056530318,-70.0,1.0,4.7819971870604805,-9.5,3.0,14.044372222695,-30.0
200808,1.8590833333333332,43,214.43811178057854,0.0,0.0,0.0,16,48.66828773770482,-6.400000000000002,10,70.20602227060171,4.0,0.0,0.0,0.0,0.0,1.0,4.743390357698289,-2.0,4.0,17.944398326709372,3.0,12.28070175438597,10.2,30,151.93110630247884,90.0,0.0,0.0,0.0,2.0,9.70873786407766,6.4,2.0,11.38040042149632,6.8,0.0,0.0,0.0,3.0,7.1297989031078695,12.0,6.0,51.70495643041961,24.0,1.0,5.49038010323792,5.2,0.0,0.0,0.0,2.0,11.37230253509324,11.2,0.0,0.0,0.0,35,155.69331372245654,140.0,20,110.14903605672673,20.0,47,259.8763489536328,89.30000000000004,44,250.28232810034328,123.19999999999992,60.0,331.7599460552933,150.0,2.0,14.070642733063119,10.0,96,475.33313886634687,672.0,8,40.31972861045025,28.0,18,116.35152505667769,61.19999999999998,0.0,0.0,0.0,0.0,0.0,0.0,15,76.94329373690077,120.0,7.0,30.506000464638586,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4,5.0,29.320061357876448,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.57552753973217,14.8,0.0,0.0,0.0,2.0,12.91512915129152,10.0,0.0,0.0,0.0,1.0,4.743390357698289,5.0,11.0,70.43413041012894,77.0,1.0,8.53658536585366,9.0,8,39.71412108377057,-16.0,5.0,22.43829453037683,-25.0,0.0,0.0,0.0,7.0,46.8998216974932,-14.0,49.0,238.57145049367514,-98.0,0.0,0.0,0.0,0.0,0.0,0.0,6,32.113213677416546,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.98554913294798,-4.4,0.0,0.0,0.0,7.0,30.2765362368562,-45.5,1.0,5.42635658914729,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.262626262626259,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,10,53.9184781843613,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,23.8080895008606,-40.0,1.0,3.76068376068376,-9.5,2.0,9.60794173902892,-20.0
200809,1.8586666666666667,27,114.7780366968474,0.0,0.0,0.0,7,42.90238529697771,-2.8,15,106.24781827758349,6.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,15.051704143759627,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.08611232486177,3.4,0.0,0.0,0.0,4.0,13.969417806889588,16.0,15.0,62.17708218090907,60.0,2.0,10.9375,10.4,0.0,0.0,0.0,2.0,15.516732613506806,10.4,0.0,0.0,0.0,19,93.69685602662751,76.0,34,236.41380556033081,34.0,27,159.6723003957781,51.29999999999998,26,153.76320948668723,72.79999999999997,0.0,0.0,0.0,0.0,0.0,0.0,44,344.95728155300765,308.0,10,41.68855374014488,35.0,21,123.92137037508144,71.39999999999998,0.0,0.0,0.0,1.0,7.09677419354839,6.0,2,16.83991683991684,16.0,0.0,0.0,0.0,3.0,16.934660686466508,19.200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.140192198982481,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.716981132075469,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.32395332875772,10.0,6,29.52977406174943,-12.0,7.0,49.035263681384905,-35.0,5.0,46.26963932417826,-25.0,6.0,46.933904897652006,-12.0,1.0,5.91715976331361,-2.0,8.0,38.313191651889,-16.0,1.0,8.41995841995842,-2.0,7,31.131204662856533,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,32.75916633433591,-22.0,0.0,0.0,0.0,2.0,9.19713531850734,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.39789553169835,-4.0,0.0,0.0,0.0,2.0,12.258719945817822,-16.0,0.0,0.0,0.0,1.0,5.56030795551754,-5.0,5,25.28309268211057,-25.0,0.0,0.0,0.0,2.0,3.71338658920358,-18.0,0.0,0.0,0.0,4,15.8614050950368,-40.0,0.0,0.0,0.0,0.0,0.0,0.0
200810,1.85825,69,366.97463410352066,0.0,0.0,0.0,11,67.73800532661494,-4.4,16,95.49057109231194,6.400000000000001,10.0,62.0690831008135,11.0,45.42243690261983,3.0,12.0139266222902,-6.0,2.0,22.2222222222222,0.0,0.0,0.0,34,196.43789246844443,102.0,0.0,0.0,0.0,1.0,10.7913669064748,3.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.2847004651196,20.0,4.0,18.97906888351514,16.0,18.0,103.71218039503073,93.60000000000002,0.0,0.0,0.0,4.0,13.777304053416929,20.8,0.0,0.0,0.0,36,236.3358559277424,144.0,19,111.77023165465653,19.0,38,227.5647127536137,72.2,34,216.2136104510369,95.19999999999996,0.0,0.0,0.0,0.0,0.0,0.0,64,368.9370490874115,448.0,4,33.87388322914353,14.0,16,131.13755015820706,54.399999999999984,1.0,5.74971815107103,3.5,0.0,0.0,0.0,4,32.08658008658008,32.0,10.0,77.01321995620727,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.8,4.0,26.77301793356387,28.0,2.0,8.90052356020942,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,39.905226556499436,35.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.97156923553846,42.0,2.0,12.6027397260274,20.0,8,35.99939137784926,-16.0,8.0,69.6234859596656,-40.0,0.0,0.0,0.0,8.0,63.65674689058414,-16.0,4.0,24.074111146926263,-8.0,6.0,27.964428624079343,-12.0,8.0,40.106249888752,-16.0,19,121.40123916625616,-76.0,1.0,5.930470347648259,-4.0,1.0,4.59418070444104,-5.0,4.0,20.02492729538844,-20.0,10.0,63.42150757774611,-43.99999999999999,1.0,2.56410256410256,-7.0,2.0,11.26489811610919,-13.0,2.0,12.775481407702527,-14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,35.06411603421383,-25.0,30,121.41434094229471,-150.0,0.0,0.0,0.0,12.0,46.96213991438297,-108.0,7.0,33.25621814575037,-63.5,22,96.99572978495956,-220.0,2.0,11.550464055880731,-19.0,1.0,5.54870530209618,-10.0
