MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_23,tone_count_23,goldstein_23,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_35,tone_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_44,tone_count_44,goldstein_44,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_54,tone_count_54,goldstein_54,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_62,goldstein_62,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_125,tone_count_125,goldstein_125,event_count_130,tone_count_130,goldstein_130,event_count_141,tone_count_141,goldstein_141,event_count_150,tone_count_150,goldstein_150,event_count_160,tone_count_160,goldstein_160,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_180,tone_count_180,goldstein_180,event_count_182,tone_count_182,goldstein_182,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,2.043,16,109.69458368577982,2.0,12.153539381854438,-0.8,4.0,24.27138628011432,1.6,2.0,14.90763366239862,0.0,0.0,0.0,0.0,0.0,5.0,31.954842580249228,9,61.41168274966181,27.0,2.0,20.279696132596694,6.8,0.0,0.0,0.0,8,72.6580668358794,32.0,4.0,40.1156939065764,20.8,3.0,30.432426063391066,18.0,0.0,0.0,0.0,12,76.50039560884198,48.0,31,179.10862198520184,31.0,18,151.87544487128568,34.2,16,139.47659023402966,44.79999999999999,0.0,0.0,0.0,0.0,0.0,0.0,15,102.75760033830255,105.0,18.0,148.78419958419968,63.0,9,83.37283226932907,30.599999999999994,0.0,0.0,0.0,7.0,66.63736072139744,56.0,2,13.29113924050632,12.0,2.0,4.72558139534884,12.8,0.0,0.0,0.0,0.0,0.0,5.0,41.187250914902975,37.0,0.0,0.0,0.0,3.0,29.06155398587286,22.200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.38223974467287,21.0,3.0,16.35236373030224,30.0,7.0,33.910535111316534,-14.0,1.0,2.94117647058824,-5.0,4.0,23.39561332250204,-8.0,0.0,0.0,0.0,3.0,13.49123891981035,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.27118644067797,-5.0,2.0,4.558404558404559,-8.8,1.0,3.1339031339031296,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.675074925074924,-15.0,8.0,36.7453802794272,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,5,24.61449219887805,-50.0,0.0,0.0,0.0,0.0,0.0,0.0
200802,2.0435833333333333,3,26.549636897703518,2.0,12.438853948287887,-0.8,1.0,5.90717299578059,0.4,2.0,10.961671669360433,1.0,6.27928772258669,0.0,0.0,0.0,7.0,40.11648638182096,4,19.221285855851182,12.0,0.0,0.0,0.0,6.0,69.31589655340125,24.0,6,51.476862459049215,24.0,17.0,86.04679784547804,88.40000000000002,0.0,0.0,0.0,0.0,0.0,0.0,8,37.73340061999858,32.0,9,41.64389088044312,9.0,16,126.8688424981676,30.39999999999999,12,60.77015211897223,33.6,0.0,0.0,0.0,0.0,0.0,0.0,11,69.7991070472921,77.0,3.0,14.87148913619503,10.5,22,147.5776858270421,74.8,1.0,5.26315789473684,6.0,0.0,0.0,0.0,13,46.47063504322711,78.0,2.0,4.5454545454545405,12.8,0.0,0.0,2.0,21.505939902166293,14.0,2.0,1.418439716312056,14.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.32409972299169,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,34.962913557749715,-14.0,1.0,2.5,-5.0,1.0,6.102117061021169,-2.0,0.0,0.0,0.0,3.0,5.97683170973073,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.508604206500959,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.710911136107981,-8.0,0.0,0.0,0.0,5.0,23.26349229784004,-25.0,1.0,5.90717299578059,-9.0,0.0,0.0,0.0,9,24.75832781662345,-90.0,0.0,0.0,0.0,5.0,36.362356890619886,-50.0
200803,2.044166666666667,25,126.91037529174385,2.0,10.297859893725931,-0.8,2.0,14.72868217054264,0.8,0.0,0.0,0.0,0.0,1.0,6.13207547169811,-2.0,0.0,0.0,10,69.30173522753738,30.0,6.0,40.314796358398,20.4,2.0,15.343915343915342,8.0,13,77.65732646926557,52.0,4.0,22.71178721507414,20.8,1.0,9.459459459459461,5.2,0.0,0.0,0.0,9,52.63668701733407,36.0,22,182.05530305869357,22.0,29,198.83333005992938,55.09999999999997,25,163.7809729312266,69.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,6,56.006036907456895,42.0,1.0,7.20720720720721,3.5,15,88.33208665220155,50.99999999999999,0.0,0.0,0.0,6.0,39.7896161522714,48.0,8,73.2611832611833,48.0,1.0,6.99300699300699,6.4,0.0,0.0,6.0,36.61698036242701,42.0,8.0,45.01835045637867,59.2,0.0,0.0,0.0,1.0,5.49450549450549,7.4,1.0,5.022156573116691,5.0,0.0,0.0,0.0,2.0,13.283208020050118,10.0,5.0,30.99558922700469,35.0,0.0,0.0,0.0,3.0,11.756430262885079,-6.0,5.0,37.675256300292354,-25.0,2.0,10.946526440527329,-4.0,3.0,19.531685438952373,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.50978124043139,-8.0,1.0,1.55038759689922,-5.0,14.0,69.3462603024559,-61.59999999999999,2.0,8.592132505175979,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.60251046025105,-5.0,8.0,24.140367568364557,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,5,24.24429903089737,-50.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,2.04475,16,75.74258682961116,1.0,5.99201065246338,-0.4,10.0,61.10951646440989,4.0,1.0,6.750496360026469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,115.86368082521238,54.0,0.0,0.0,0.0,7.0,41.81736594670125,28.0,5,33.650793650793645,20.0,1.0,8.982035928143711,5.2,1.0,10.4895104895105,5.2,0.0,0.0,0.0,13,77.08524618658231,52.0,34,218.4806000790384,34.0,22,160.9270809102541,41.79999999999999,26,172.26362391743714,72.79999999999997,0.0,0.0,0.0,0.0,0.0,0.0,14,63.07874182277746,98.0,1.0,8.55614973262032,3.5,7,31.832205205538546,23.8,0.0,0.0,0.0,40.0,389.76823625186574,320.0,6,42.5958713926248,36.0,3.0,16.12903225806453,19.200000000000006,0.0,0.0,1.0,5.99201065246338,7.0,0.0,0.0,0.0,2.0,13.57142857142858,16.6,0.0,0.0,0.0,1.0,9.47368421052632,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.52609673976524,-6.0,3.0,13.250067150147732,-15.0,2.0,12.5984251968504,-4.0,2.0,8.24885708606638,-4.0,7.0,34.02324543903736,-14.0,1.0,3.79008746355685,-2.0,6.0,31.7903717452045,-24.0,0.0,0.0,0.0,1.0,4.48807854137447,-4.4,4.0,16.36897765597152,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.71694806388684,-30.0,9.0,46.73031316509576,-45.0,3.0,15.458721617010118,-27.0,0.0,0.0,0.0,14,27.658856094845124,-140.0,0.0,0.0,0.0,0.0,0.0,0.0
200805,2.045333333333333,20,97.34571497030899,4.0,17.973033349729302,-1.6,3.0,10.468509183384839,1.2000000000000002,4.0,29.589041095890398,0.0,0.0,21.0,71.01160100046528,-42.0,0.0,0.0,9,46.90723894723032,27.0,1.0,1.31004366812227,3.4,1.0,8.10810810810811,4.0,1,13.6054421768707,4.0,1.0,6.9129965316406,5.2,0.0,0.0,0.0,0.0,0.0,0.0,16,88.21909257990956,64.0,29,140.28044852816558,29.0,30,107.2188742152142,56.99999999999997,31,117.3560669328016,86.79999999999997,1.0,4.6875,2.5,0.0,0.0,0.0,25,156.8770671217709,175.0,43.0,302.3392147446833,150.5,18,111.01998115725145,61.19999999999998,0.0,0.0,0.0,2.0,19.27504139485701,16.0,10,48.95140934193813,60.0,5.0,24.265400276396715,32.0,2.0,14.8,4.0,21.112262806386852,28.0,1.0,10.852713178294598,7.4,1.0,20.6666666666667,8.3,0.0,0.0,0.0,2.0,11.2280701754386,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.327299058653152,7.0,0.0,0.0,0.0,7.0,43.79903680296111,-14.0,5.0,20.02621471806415,-25.0,1.0,20.6666666666667,-2.0,10.0,44.62872026653355,-20.0,15.0,47.85021172779169,-30.0,1.0,3.77697841726619,-2.0,4.0,18.458458921993447,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.54773869346734,-7.2,3.0,10.76233183856502,-12.0,0.0,0.0,0.0,22.0,85.1300655323179,-110.0,0.0,0.0,0.0,0.0,0.0,0.0,11,40.62985798175903,-110.0,0.0,0.0,0.0,0.0,0.0,0.0
200806,2.045916666666667,23,119.50554470331959,6.0,19.02560569408945,-2.4,9.0,67.99376297771296,3.6,9.0,67.91009728140997,0.0,0.0,8.0,24.1802650253651,-16.0,5.0,38.7202387595997,16,79.86042140879134,48.0,0.0,0.0,0.0,2.0,8.64935064935065,8.0,5,52.05381593046786,20.0,4.0,34.5459984700385,20.8,23.0,197.57566028166127,122.80000000000004,0.0,0.0,0.0,112,833.0526884495487,448.0,38,227.8257531868989,38.0,98,675.0549293513537,186.20000000000027,55,427.95064418213923,154.0,0.0,0.0,0.0,0.0,0.0,0.0,25,180.4426618512713,175.0,5.0,48.5327692224244,17.5,26,221.39771654369676,88.40000000000002,0.0,0.0,0.0,5.0,49.46946946946943,40.0,15,130.17213085481018,90.0,0.0,0.0,0.0,0.0,0.0,4.0,21.06701556462326,28.0,19.0,164.04551146885441,140.60000000000005,0.0,0.0,0.0,3.0,16.46579002444812,22.200000000000006,7.0,58.56886516463464,35.0,0.0,0.0,0.0,8.0,62.587620906766546,40.0,7.0,54.44660970412591,49.0,0.0,0.0,0.0,15.0,74.80654094715287,-30.0,4.0,9.84540449804253,-20.0,1.0,5.5913978494623695,-2.0,5.0,17.31004868032928,-10.0,8.0,26.20854841282864,-16.0,0.0,0.0,0.0,8.0,28.298374316765642,-32.0,0.0,0.0,0.0,3.0,20.652544056301263,-13.2,6.0,21.902030265589946,-39.0,7.0,41.93114204491453,-50.40000000000001,0.0,0.0,0.0,1.0,5.51684088269454,-5.0,11.0,30.689125492479878,-55.0,2.0,4.37956204379562,-18.0,1.0,4.69135802469136,-9.0,10,27.629658746184067,-100.0,0.0,0.0,0.0,3.0,1.2048192771084332,-30.0
200807,2.0465,132,621.8400740951247,21.0,103.23299113891414,-8.400000000000002,24.0,141.6081294280828,9.600000000000003,15.0,94.01683328032507,15.0,81.9002360513912,23.0,93.34220193319351,-46.0,5.0,31.073155471102552,117,587.2614911606677,351.0,2.0,9.12133659737494,6.8,1.0,3.1872509960159396,4.0,13,58.73847895499592,52.0,3.0,14.187547487073688,15.6,2.0,7.06020180054137,10.4,4.0,30.511537874529,28.0,35,242.113692172492,140.0,68,390.73290667202536,68.0,51,272.073825265406,96.90000000000006,49,241.84537867927932,137.19999999999996,0.0,0.0,0.0,2.0,1.418439716312056,10.0,48,284.42788859811316,336.0,4.0,32.230383898286064,14.0,124,707.716866877168,421.5999999999996,0.0,0.0,0.0,3.0,13.613671274961591,24.0,19,96.97763317974186,114.0,1.0,2.63157894736842,6.4,1.0,7.4,7.0,41.67016158062194,49.0,14.0,74.12215351367931,103.60000000000002,0.0,0.0,0.0,4.0,20.965026245782358,29.6,25.0,121.1894983386482,125.0,7.0,36.91896700777641,35.0,14.0,95.57182887773024,70.0,19.0,81.84173247620646,133.0,16.0,100.32980343232633,159.0,20.0,97.34045781800027,-40.0,13.0,60.872842481298335,-65.0,21.0,99.42002325663977,-42.0,23.0,82.2612216507173,-46.0,97.0,493.4931416552225,-194.0,12.0,68.09752866391881,-24.0,48.0,246.4973456379987,-192.0,2.0,14.760348583878,-10.0,8.0,37.17758975660405,-35.2,38.0,176.2010868720119,-247.0,4.0,11.281729637033989,-28.8,6.0,36.98693783969478,-24.0,56.0,234.9448021726104,-280.0,55.0,204.62342132242497,-275.0,26.0,123.78301759404471,-234.0,15.0,71.15406041056751,-143.0,80,338.5738523363005,-800.0,25.0,115.90872497016828,-237.5,13.0,41.521802963412256,-130.0
200808,2.047083333333333,20,80.63203874095916,0.0,0.0,0.0,3.0,30.644103224882755,1.2000000000000002,0.0,0.0,0.0,0.0,3.0,16.40640640640641,-6.0,0.0,0.0,9,56.511308044630134,27.0,2.0,13.43739890685277,6.8,0.0,0.0,0.0,10,85.0292497454702,40.0,3.0,21.09292020430941,15.6,3.0,19.014084507042238,15.6,0.0,0.0,0.0,28,149.22558533675237,112.0,59,494.9425677619794,59.0,78,446.0259886778248,148.20000000000016,58,356.78612572329735,162.40000000000006,0.0,0.0,0.0,0.0,0.0,0.0,22,115.03764836117884,154.0,2.0,20.35857716580604,7.0,6,60.55333291879125,20.4,1.0,5.17241379310345,6.0,8.0,71.82540416379497,64.0,4,36.38720142000379,24.0,2.0,19.642857142857142,12.8,7.0,51.8,3.0,19.26456502052082,21.0,4.0,27.325082206795763,29.6,1.0,8.79120879120879,8.3,0.0,0.0,0.0,2.0,6.211180124223599,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.49056603773584,14.0,3.0,15.02683363148478,30.0,1.0,5.0607287449392695,-2.0,2.0,3.53356890459364,-10.0,3.0,13.00550068125258,-6.0,3.0,18.259432281563,-6.0,8.0,36.8595051317229,-16.0,0.0,0.0,0.0,4.0,33.44743566013055,-16.0,1.0,10.7913669064748,-5.0,2.0,6.6465256797583,-8.8,2.0,10.017889087656519,-13.0,1.0,3.2786885245901605,-7.2,0.0,0.0,0.0,5.0,20.66097842095153,-25.0,6.0,15.847104861022967,-30.0,1.0,5.51242236024845,-9.0,1.0,7.758620689655171,-9.5,11,46.42218208292275,-110.0,0.0,0.0,0.0,3.0,13.8629244455582,-30.0
200809,2.0476666666666667,17,79.84191668681164,6.0,35.389420549929376,-2.4,2.0,5.36379647046138,0.8,1.0,5.3613053613053605,0.0,0.0,0.0,0.0,0.0,3.0,33.35018963337557,19,126.15544459264986,57.0,1.0,7.57695343330703,3.4,1.0,7.70404271548436,4.0,8,58.09274595506476,32.0,4.0,20.346357035906998,20.8,2.0,12.712408819628651,10.4,2.0,11.224489795918359,14.0,16,90.21703500352949,64.0,32,196.8875170623412,32.0,95,624.6329211203861,180.50000000000026,89,596.4641148686436,249.2000000000003,2.0,11.42857142857142,5.0,2.0,8.81170894928476,10.0,13,61.27822372083386,91.0,5.0,29.80095742000506,17.5,23,164.43585366432578,78.2,6.0,67.29431460013407,36.0,5.0,32.39912990423634,40.0,17,122.5990264588655,102.0,2.0,12.541254125412538,12.8,0.0,0.0,2.0,9.127769919849127,14.0,3.0,20.445969125214397,22.200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.09251056373307,30.0,1.0,4.447375294833151,5.0,2.0,11.94879089615932,10.0,11.0,49.392267191360474,77.0,0.0,0.0,0.0,9.0,45.904841446159715,-18.0,2.0,13.974669778190632,-10.0,3.0,15.68310706566537,-6.0,4.0,18.24986202740796,-8.0,11.0,56.66067429769804,-22.0,1.0,5.11363636363636,-2.0,9.0,47.192517026225936,-36.0,1.0,5.6122448979591795,-5.0,3.0,17.00333079309227,-13.2,0.0,0.0,0.0,7.0,67.39431009129223,-50.40000000000001,0.0,0.0,0.0,4.0,18.100410157955967,-20.0,65.0,287.9268735993685,-325.0,0.0,0.0,0.0,0.0,0.0,0.0,41,179.8708628176705,-410.0,1.0,4.88997555012225,-9.5,0.0,0.0,0.0
200810,2.04825,48,240.66626724067402,6.0,37.953141832030674,-2.4,14.0,96.97530018326651,5.6000000000000005,7.0,33.1940520471994,2.0,8.63636363636364,10.0,39.93558377122318,-20.0,6.0,65.61466557997241,31,170.1787362087417,93.0,0.0,0.0,0.0,2.0,12.578616352201259,8.0,16,132.30922101922854,64.0,3.0,16.41110847377167,15.6,1.0,7.284768211920531,5.2,0.0,0.0,0.0,61,338.98915370498867,244.0,80,486.0487639745828,80.0,75,471.16830279565255,142.50000000000014,68,446.6616724264716,190.40000000000003,0.0,0.0,0.0,1.0,2.35294117647059,5.0,42,235.43984084645803,294.0,18.0,148.5919535532978,63.0,23,176.7097759141734,78.19999999999997,1.0,12.927801218940498,6.0,4.0,16.75548589341694,32.0,8,38.68120606090578,48.0,4.0,29.89427416536233,25.6,9.0,66.6,4.0,16.511952584474358,28.0,2.0,15.5923344947735,14.8,0.0,0.0,0.0,0.0,0.0,0.0,9.0,49.57469020213312,45.0,19.0,74.94949298871916,95.0,2.0,7.541109969167531,10.0,18.0,95.40450069173815,126.0,0.0,0.0,0.0,12.0,55.11127958586061,-24.0,2.0,13.75,-10.0,7.0,43.83001510222597,-14.0,1.0,3.6231884057971,-2.0,19.0,69.72692126980718,-38.0,1.0,5.395683453237409,-2.0,2.0,8.72235387045814,-8.0,0.0,0.0,0.0,1.0,3.83480825958702,-4.4,2.0,11.510791366906481,-13.0,4.0,23.93799532301965,-28.8,6.0,22.57183908045977,-24.0,0.0,0.0,0.0,39.0,154.32552711586703,-195.0,0.0,0.0,0.0,0.0,0.0,0.0,31,104.08012758987348,-310.0,1.0,3.6835085639105,-9.5,8.0,31.103942667847782,-80.0
