MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_23,tone_count_23,goldstein_23,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_73,tone_count_73,goldstein_73,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_128,tone_count_128,goldstein_128,event_count_130,tone_count_130,goldstein_130,event_count_141,tone_count_141,goldstein_141,event_count_160,tone_count_160,goldstein_160,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,1.61,16,88.66391663181301,7.0,38.970388383325684,-2.8,2.0,6.02409638554216,0.8,2.0,12.066599716119931,2.0,14.527945314164398,31,216.02174940009252,93.0,4.0,18.913533204931397,13.6,0.0,0.0,0.0,1.0,4.47193149381541,4.0,5.0,49.11500832216941,26.0,0.0,0.0,0.0,15,109.80637879897984,60.0,26,186.13461925989338,26.0,23,153.4114596170565,43.69999999999998,21,146.95460390016217,58.79999999999998,0.0,0.0,0.0,5.0,39.755113292300436,35.0,0.0,0.0,0.0,21,151.202589186181,71.39999999999998,7.0,60.696680906999674,56.0,5.0,33.87255699948552,30.0,3.0,14.643340301807001,19.200000000000006,4.0,27.37381492384884,28.0,3.0,34.19635871025,22.200000000000006,0.0,0.0,0.0,7.0,68.37783805036688,35.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.57297743608993,42.0,0.0,0.0,0.0,2.0,13.660670754514987,-4.0,4.0,25.59335495996071,-20.0,2.0,12.760155079742711,-4.0,3.0,16.68556036935556,-6.0,8.0,35.06043082094144,-16.0,2.0,10.96312696709857,-4.0,7.0,42.14782476941407,-28.0,0.0,0.0,0.0,5.0,32.54751151311927,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.329326678601078,-15.0,4.0,17.39502278819233,-20.0,10.0,49.242946286405704,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
200802,1.61225,61,346.9884195946804,0.0,0.0,0.0,3.0,16.16658716884603,1.2000000000000002,5.0,28.90805120665513,8.0,45.7815384439328,48,277.2328430231339,144.0,0.0,0.0,0.0,2.0,8.20234530938123,8.0,4.0,22.50675227093205,16.0,1.0,5.50049554013875,5.2,1.0,7.831325301204821,5.2,39,199.31840992588982,156.0,50,341.94451015476113,50.0,47,279.0150697328965,89.30000000000004,49,277.4916303085394,137.19999999999993,0.0,0.0,0.0,8.0,52.8294700152595,56.0,7.0,44.28653717420747,24.5,33,212.52240660507238,112.20000000000006,8.0,50.27850624354495,64.0,5.0,27.03390772442038,30.0,2.0,9.20061852897673,12.8,5.0,39.64909031347554,35.0,2.0,13.7925068221733,14.8,2.0,12.52927400468384,14.8,8.0,59.4339023102728,40.0,1.0,4.8689138576779,5.0,1.0,6.13496932515337,5.0,2.0,14.823145035276301,14.0,0.0,0.0,0.0,6.0,35.92732547015648,-12.0,3.0,18.16944986163951,-15.0,3.0,17.58295274057685,-6.0,5.0,29.05337729972539,-10.0,10.0,59.79705500042381,-20.0,1.0,7.50605326876513,-2.0,16.0,75.11414793998321,-64.0,0.0,0.0,0.0,1.0,7.70833333333333,-4.4,0.0,0.0,0.0,4.0,23.27945378679005,-16.0,5.0,33.24541307854098,-25.0,27.0,121.79060805609804,-135.0,19.0,105.31884758116514,-190.0,0.0,0.0,0.0,1.0,6.62650602409639,-10.0
200803,1.6145,24,112.84164835625471,3.0,23.602674044468678,-1.2000000000000002,2.0,10.43474561851285,0.8,4.0,30.51846970543952,6.0,49.655047219515794,19,111.31795533776042,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,211.19825614371123,100.0,36,224.81549459048577,36.0,35,207.47952083342042,66.49999999999997,31,192.07855572903165,86.79999999999997,0.0,0.0,0.0,31.0,129.53733088424016,217.0,0.0,0.0,0.0,18,141.70065483042558,61.19999999999998,2.0,12.12503195750362,16.0,8.0,32.82096794036222,48.0,0.0,0.0,0.0,4.0,28.98406172498407,28.0,7.0,47.972997205556965,51.8,0.0,0.0,0.0,1.0,6.33137685215188,5.0,0.0,0.0,0.0,1.0,3.3719704952581697,5.0,1.0,11.392405063291099,7.0,0.0,0.0,0.0,11.0,45.78088336249486,-22.0,2.0,14.668410829666632,-10.0,7.0,45.886623460824566,-14.0,4.0,18.591286755633647,-8.0,7.0,30.54365117741829,-14.0,1.0,6.52866242038217,-2.0,8.0,44.70968632303807,-32.0,0.0,0.0,0.0,6.0,32.711357420728696,-26.4,1.0,6.255212677231031,-6.5,1.0,6.42626281409256,-4.0,0.0,0.0,0.0,10.0,38.579449575772244,-50.0,14.0,60.70559996451192,-140.0,1.0,8.22122571001495,-9.5,2.0,19.198097179748558,-20.0
200804,1.61675,31,195.8179388670248,10.0,81.8427654059807,-4.0,5.0,30.629301451993488,2.0,0.0,0.0,1.0,12.4555160142349,11,62.47913048460346,33.0,0.0,0.0,0.0,1.0,7.17781402936378,4.0,1.0,4.03846153846154,4.0,1.0,5.62546262028127,5.2,0.0,0.0,0.0,8,45.80812168814144,32.0,32,189.17519663972425,32.0,16,93.17390621526998,30.39999999999999,24,119.92577213964209,67.19999999999997,0.0,0.0,0.0,2.0,16.01731601731602,14.0,6.0,39.97111391948006,21.0,15,107.70878182968264,50.99999999999999,1.0,12.5773730571711,8.0,2.0,9.197192680918109,12.0,1.0,4.11392405063291,6.4,1.0,12.4555160142349,7.0,7.0,54.50042749202033,51.8,0.0,0.0,0.0,3.0,17.541767903213692,15.0,0.0,0.0,0.0,1.0,5.37249283667622,5.0,2.0,16.86518884496036,14.0,0.0,0.0,0.0,1.0,8.17518248175183,-2.0,1.0,4.34782608695652,-5.0,5.0,28.83249173481161,-10.0,4.0,24.204562414370827,-8.0,1.0,2.23214285714286,-2.0,0.0,0.0,0.0,6.0,35.93655854430389,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.4967320261438,-8.0,7.0,33.057927193522595,-35.0,6.0,26.479906961003753,-30.0,1.0,7.46268656716418,-10.0,0.0,0.0,0.0,1.0,4.81283422459893,-10.0
200805,1.619,25,167.8535521181781,7.0,39.59598880701993,-2.8,10.0,50.86186290946499,4.0,0.0,0.0,0.0,0.0,29,177.68761321344869,87.0,0.0,0.0,0.0,1.0,5.79943616592831,4.0,6.0,41.679144405922905,24.0,1.0,4.545454545454549,5.2,3.0,24.12775027786385,15.6,14,84.36461655080348,56.0,14,80.5253439939802,14.0,27,160.20751796541168,51.29999999999998,30,180.72846072411056,83.99999999999996,0.0,0.0,0.0,8.0,40.89358616818521,56.0,0.0,0.0,0.0,11,85.17689974613639,37.39999999999999,0.0,0.0,0.0,1.0,5.15873015873016,6.0,1.0,5.12820512820513,6.4,3.0,17.06386607423365,21.0,2.0,15.979381443298962,14.8,0.0,0.0,0.0,9.0,51.534635504761795,45.0,0.0,0.0,0.0,1.0,5.25618374558304,5.0,1.0,4.23775570834395,7.0,1.0,7.308584686774941,10.0,10.0,49.27216985199691,-20.0,0.0,0.0,0.0,9.0,47.321355385284384,-18.0,3.0,17.38126118067978,-6.0,4.0,17.8197177725317,-8.0,2.0,11.6245831348261,-4.0,19.0,90.16569047920211,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.10204081632653,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,34.13051087290537,-35.0,18.0,80.94186009684577,-180.0,0.0,0.0,0.0,1.0,3.77358490566038,-10.0
200806,1.62125,28,178.45763631875624,4.0,32.19334779658597,-1.6,3.0,17.664165831147763,1.2000000000000002,1.0,9.39457202505219,0.0,0.0,23,131.88432630902759,69.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.677284785276484,16.0,3.0,22.483986980351986,15.6,0.0,0.0,0.0,11,75.89166996522769,44.0,22,128.56029647894644,22.0,19,147.61363423007603,36.09999999999999,15,121.23930820074423,41.99999999999999,0.0,0.0,0.0,20.0,91.902980644199,140.0,0.0,0.0,0.0,7,49.267933656504105,23.8,0.0,0.0,0.0,1.0,3.40965568786329,6.0,3.0,9.5519864750634,19.200000000000006,1.0,9.39457202505219,7.0,3.0,27.131731027703037,22.200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.828958078958077,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.92189166582888,-8.0,4.0,23.377301178376797,-8.0,3.0,13.692946058091296,-6.0,2.0,14.154900728004119,-4.0,7.0,27.726440475748852,-28.0,1.0,4.7425474254742594,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.846021032804899,-16.0,3.0,15.288210772444868,-15.0,11.0,41.649381858718314,-55.0,9.0,38.794809404402926,-90.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,1.6235,38,197.5885788932196,12.0,58.03149292126939,-4.8,0.0,0.0,0.0,3.0,14.551960753873393,1.0,8.252161079485559,21,129.63039571162292,63.0,0.0,0.0,0.0,2.0,7.30897009966778,8.0,4.0,29.24624488449055,16.0,3.0,27.63142112207472,15.6,0.0,0.0,0.0,21,91.3727682495453,84.0,19,108.1189894663354,19.0,54,289.8570785079859,102.60000000000004,53,280.7225957505654,148.4,0.0,0.0,0.0,6.0,38.39419593738073,42.0,4.0,28.13571327383481,14.0,19,114.87179939287373,64.59999999999998,1.0,10.0,8.0,8.0,50.416060428632356,48.0,1.0,3.25868278345821,6.4,1.0,2.9222595078299802,7.0,4.0,26.730139233902683,29.6,0.0,0.0,0.0,3.0,16.23464409569153,15.0,1.0,6.153846153846151,5.0,0.0,0.0,0.0,3.0,18.71463920900165,21.0,1.0,4.00340715502555,10.0,11.0,61.93874013925666,-22.0,1.0,5.11006289308176,-5.0,11.0,67.23352532442544,-22.0,1.0,6.415094339622639,-2.0,9.0,42.98358562162919,-18.0,2.0,10.99048638473392,-4.0,6.0,31.467295496725697,-24.0,1.0,4.87032467581169,-5.0,2.0,17.977427977427983,-8.8,0.0,0.0,0.0,8.0,44.02576124246303,-32.0,2.0,12.2705459641347,-10.0,12.0,59.71259132808203,-60.0,11.0,63.13509929459882,-110.0,0.0,0.0,0.0,0.0,0.0,0.0
200808,1.62575,20,121.92175413155566,8.0,48.71438982478761,-3.2,1.0,4.05797101449275,0.4,1.0,2.03389830508475,0.0,0.0,19,104.75509601771392,57.0,1.0,6.423611111111111,3.4,0.0,0.0,0.0,5.0,32.21734724478497,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5,22.61147579565166,20.0,15,97.16075462840715,15.0,11,46.99248343366622,20.9,9,46.15068986598981,25.200000000000006,0.0,0.0,0.0,3.0,25.994024712908512,21.0,4.0,22.646573424241897,14.0,11,88.60874406482637,37.39999999999999,6.0,39.478967339750476,48.0,2.0,7.123671997542091,12.0,4.0,28.2527881040892,25.6,0.0,0.0,0.0,3.0,14.304318134896052,22.200000000000006,1.0,4.8022598870056505,7.4,3.0,16.48936170212767,15.0,0.0,0.0,0.0,2.0,7.4468085106383,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,44.00410599319767,-16.0,1.0,5.44444444444444,-5.0,5.0,25.24259246526238,-10.0,0.0,0.0,0.0,3.0,10.96730766670856,-6.0,1.0,4.628501827040191,-2.0,10.0,44.41146412924509,-40.0,0.0,0.0,0.0,1.0,4.628501827040191,-4.4,2.0,11.46068096449776,-13.0,3.0,11.170212765957453,-12.0,0.0,0.0,0.0,8.0,18.91595738111535,-40.0,6.0,26.240737741774865,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,1.6280000000000001,8,45.06174816328095,6.0,38.88350613994113,-2.4,1.0,3.84615384615385,0.4,1.0,5.994787141615991,1.0,6.85279187817259,12,70.92061643066428,36.0,1.0,4.67289719626168,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.1176256703936,10.4,0.0,0.0,0.0,6,38.57143861120797,24.0,5,35.86810076655003,5.0,14,78.52188878196766,26.599999999999994,8,55.637711155693324,22.4,0.0,0.0,0.0,4.0,21.439060205580038,28.0,5.0,24.750178165331203,17.5,7,41.474142426500784,23.8,0.0,0.0,0.0,1.0,4.78170478170478,6.0,0.0,0.0,0.0,1.0,6.9908814589665695,7.0,5.0,36.97773279352227,37.0,0.0,0.0,0.0,1.0,5.994787141615991,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.56578947368421,7.0,0.0,0.0,0.0,1.0,5.36988358993616,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.2500532613103,-4.0,4.0,19.93391615397308,-8.0,1.0,5.0682961897915195,-2.0,4.0,17.76899113347712,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.643918090995378,-19.5,0.0,0.0,0.0,1.0,5.70125427594071,-5.0,9.0,33.27148724420863,-45.0,2.0,13.09892758756395,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
200810,1.6302499999999998,24,144.60855819513137,0.0,0.0,0.0,5.0,27.31481457804399,2.0,0.0,0.0,1.0,7.42268041237113,16,104.24465182150215,48.0,3.0,17.17098067808967,10.2,0.0,0.0,0.0,5.0,38.91189486506003,20.0,2.0,8.06045340050378,10.4,1.0,9.748427672955971,5.2,9,52.61117710270362,36.0,7,46.606830632940905,7.0,34,175.0726972912693,64.59999999999998,26,143.59879522083304,72.79999999999997,0.0,0.0,0.0,2.0,22.7272727272728,14.0,3.0,32.299691833590195,10.5,9,58.85380652468378,30.599999999999994,7.0,57.13325430961841,56.0,9.0,54.00292485797984,54.0,0.0,0.0,0.0,2.0,11.08488171387958,14.0,0.0,0.0,0.0,1.0,4.98290418471782,7.4,4.0,22.36586464616724,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.944726125838391,14.0,0.0,0.0,0.0,4.0,22.58317791308428,-8.0,0.0,0.0,0.0,6.0,31.652099223687312,-12.0,2.0,13.03172942817294,-4.0,5.0,30.010704180572173,-10.0,0.0,0.0,0.0,3.0,17.781793256263352,-12.0,0.0,0.0,0.0,2.0,12.337486001427418,-8.8,0.0,0.0,0.0,1.0,6.13222612583839,-4.0,0.0,0.0,0.0,1.0,6.547619047619049,-5.0,5.0,24.86375944992724,-50.0,0.0,0.0,0.0,0.0,0.0,0.0
