MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_25,tone_count_25,goldstein_25,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_80,tone_count_80,goldstein_80,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_130,tone_count_130,goldstein_130,event_count_138,tone_count_138,goldstein_138,event_count_141,tone_count_141,goldstein_141,event_count_160,tone_count_160,goldstein_160,event_count_161,tone_count_161,goldstein_161,event_count_163,goldstein_163,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_174,tone_count_174,goldstein_174,event_count_180,tone_count_180,goldstein_180,event_count_181,tone_count_181,goldstein_181,event_count_182,tone_count_182,goldstein_182,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,2.378,53,146.79644089384053,6.0,33.08106297494175,-2.4,10.0,27.741629004080572,4.0,1.0,7.44143316490583,8.0,31.102961770509392,0.0,0.0,0.0,0.0,0.0,19,84.00028633789756,57.0,2.0,18.055555555555557,-0.6,0.0,0.0,0.0,32.0,137.81173783147355,128.0,1.0,2.77777777777778,5.2,0.0,0.0,0.0,37,138.52398804627086,148.0,52,311.87781190884175,52.0,127,644.9444221317971,241.3000000000003,125,622.9055203031276,350.0000000000005,18.0,50.50262029576715,126.0,2.0,11.448719139404918,7.0,28,144.96470209716958,95.20000000000002,35.0,160.69397173412096,280.0,15.0,64.86229833753683,90.0,0.0,0.0,0.0,5.0,19.26220157819279,35.0,6.0,30.69299709304762,44.4,2.0,7.57825370675452,16.6,2.0,8.029197080291981,14.8,7.0,27.58447488584476,35.0,0.0,0.0,0.0,20.0,86.10439239388364,140.0,4.0,21.99589334130086,40.0,11.0,31.212807276367375,-22.0,2.0,6.3953488372092995,-10.0,8.0,19.461522742254072,-16.0,6.0,18.85834295188323,-12.0,20.0,75.5867222583314,-40.0,4.0,12.60321102944757,-8.0,3.0,13.180663280755489,-12.0,7.0,27.58198010332478,-30.8,2.0,2.8795811518324603,-14.0,5.0,38.89107426414819,-32.5,9.0,38.61761947034719,-36.0,2.0,12.21640488656196,-8.0,0.0,0.0,7.0,33.855502105816605,-35.0,49,120.5170519758214,-245.0,18.0,44.10801361279822,-90.0,8.0,30.54261280936356,-72.0,0.0,0.0,0.0,1.0,4.85436893203883,-9.5,63,192.95368372028855,-630.0,0.0,0.0,0.0,16.0,54.3115488554466,-160.0
200802,2.389,62,194.43465758769713,0.0,0.0,0.0,19.0,70.51830426876245,7.600000000000002,0.0,0.0,19.0,82.09231042079178,4.0,8.66101319273524,-8.0,1.0,5.14096185737977,35,135.74991469845855,105.0,0.0,0.0,0.0,4.0,24.19236417033774,16.0,3.0,18.80668793613946,12.0,2.0,5.493640440705381,10.4,0.0,0.0,0.0,16,81.31915122477744,64.0,39,141.40769324674014,39.0,42,119.48405355623548,79.80000000000003,35,100.77979517133042,97.99999999999994,10.0,37.937280523058426,70.0,4.0,15.30054644808744,14.0,17,58.82550449842654,57.79999999999998,38.0,139.61844819601168,304.0,9.0,42.34465368325739,54.0,2.0,15.0375939849624,12.8,12.0,40.80120456198885,84.0,6.0,23.61110203065083,44.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.840453209147439,10.0,0.0,0.0,0.0,34.0,139.34102885405576,238.0,2.0,8.789569278671511,20.0,14.0,46.95636848748038,-28.0,1.0,4.33070866141732,-5.0,7.0,19.85900886488116,-14.0,23.0,77.44692660760805,-46.0,52.0,160.42065631674058,-104.0,2.0,6.708012336662231,-4.0,0.0,0.0,0.0,8.0,27.824141907889963,-35.2,1.0,6.629834254143651,-7.0,18.0,50.04719232355829,-117.0,2.0,7.673695482222182,-8.0,41.0,122.58516481083973,-164.0,0.0,0.0,5.0,14.97764690157238,-25.0,48,116.8241201331183,-240.0,11.0,24.5849681633747,-55.0,3.0,6.89804511794041,-27.0,0.0,0.0,0.0,14.0,31.676622672666067,-133.0,102,312.45125175400386,-1020.0,21.0,56.01331491549698,-199.5,34.0,108.33156227562651,-340.0
200803,2.4,19,106.29690524556896,4.0,23.59870541679416,-1.6,5.0,23.018334936295947,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.49651972157773,12,74.49074608274559,36.0,5.0,31.22499049476412,-1.5,0.0,0.0,0.0,9.0,98.7000867752231,36.0,0.0,0.0,0.0,0.0,0.0,0.0,26,177.06415239558552,104.0,17,59.371118985242674,17.0,27,173.2990907382234,51.29999999999998,22,148.18218948625622,61.59999999999997,35.0,217.65599997439938,245.0,5.0,40.593846444503285,17.5,15,107.19971363746548,50.99999999999999,27.0,257.0252239372184,216.0,4.0,21.384013602156998,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.833896920318642,14.8,0.0,0.0,0.0,1.0,4.3165467625899305,7.4,4.0,21.2025316455696,20.0,0.0,0.0,0.0,6.0,32.04609960777925,42.0,5.0,28.007310695031986,50.0,6.0,32.685764764722,-12.0,4.0,24.606635814573696,-20.0,4.0,21.785748173451,-8.0,1.0,6.55737704918033,-2.0,10.0,49.26774152954781,-20.0,5.0,13.464181648248939,-10.0,0.0,0.0,0.0,3.0,21.21148853923562,-13.2,0.0,0.0,0.0,7.0,22.614213750385428,-45.5,1.0,3.84087791495199,-4.0,6.0,19.37984496124032,-24.0,0.0,0.0,1.0,6.55737704918033,-5.0,8,40.13813409791504,-40.0,1.0,4.53514739229025,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.655009488829371,-46.5,8,29.944603598390763,-80.0,2.0,7.058823529411759,-19.0,2.0,8.45010717488197,-20.0
200804,2.411,32,85.78577317810226,4.0,15.912424686975116,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.86274509803922,-2.0,0.0,0.0,8,42.432936731884716,24.0,0.0,0.0,0.0,2.0,15.494278421226252,8.0,0.0,0.0,0.0,2.0,2.23048327137546,10.4,0.0,0.0,0.0,4,23.056585118689217,16.0,2,12.062634585942073,2.0,11,40.51010919786923,20.9,10,32.853545979839375,28.000000000000004,8.0,20.689655172413822,56.0,2.0,8.79888268156424,7.0,11,65.41355445541139,37.39999999999999,0.0,0.0,0.0,11.0,36.665215273054244,66.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.55603900591233,29.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.07142857142857,5.0,0.0,0.0,0.0,5.0,22.73223566104059,35.0,0.0,0.0,0.0,23.0,59.516277976805725,-46.0,2.0,8.62794272308066,-10.0,2.0,12.59645626990174,-4.0,6.0,25.149126616957712,-12.0,20.0,56.425924387572095,-40.0,0.0,0.0,0.0,11.0,44.03411853074629,-44.0,4.0,11.228451316037788,-17.6,2.0,6.4836496059211495,-14.0,10.0,54.52445134669893,-65.0,0.0,0.0,0.0,3.0,12.465092680235689,-12.0,0.0,0.0,0.0,0.0,0.0,50,122.44823627642063,-250.0,4.0,8.01237606708327,-20.0,14.0,15.169416163973775,-126.0,0.0,0.0,0.0,4.0,19.52486273641444,-37.0,109,223.8550009138097,-1090.0,7.0,12.869748997891294,-66.5,57.0,123.3122563872763,-570.0
200805,2.4219999999999997,18,69.17996345183596,12.0,51.54713923524354,-4.8,5.0,26.81950503763069,2.0,0.0,0.0,1.0,3.0418250950570296,1.0,1.55555555555556,-2.0,2.0,11.5,34,145.87609941351812,102.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.49450549450549,4.0,0.0,0.0,0.0,0.0,0.0,0.0,52,264.93845849240444,208.0,53,227.2054625996049,53.0,53,320.0143777422291,100.70000000000007,56,330.1193963528342,156.8,16.0,64.2897559362381,112.0,4.0,20.422535211267604,14.0,5,29.708222750681518,17.0,0.0,0.0,0.0,6.0,20.127410581555672,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.4692737430167595,10.0,12.0,35.56331307920697,60.0,7.0,25.548480916904587,49.0,10.0,47.79305053319421,100.0,1.0,3.0405405405405403,-2.0,3.0,17.3083975064173,-15.0,27.0,148.22919066916887,-54.0,8.0,26.24967318284861,-16.0,1.0,3.5842293906809997,-2.0,0.0,0.0,0.0,1.0,7.27612867939539,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.49217236225003,-39.0,0.0,0.0,0.0,4.0,24.26025074528545,-16.0,0.0,0.0,4.0,17.25089111749444,-20.0,28,90.2791328272448,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.76215176854625,-18.0,11,52.92390929552153,-110.0,0.0,0.0,0.0,3.0,16.25771488785187,-30.0
200806,2.4330000000000003,16,75.9544911777612,7.0,44.31898619862981,-2.8,0.0,0.0,0.0,1.0,4.9469964664310995,1.0,5.9449866903283,0.0,0.0,0.0,3.0,9.266554692682199,21,119.38382848629534,63.0,1.0,4.22077922077922,-0.3,0.0,0.0,0.0,3.0,24.18656612204999,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8,37.18266406450211,32.0,31,161.39995308148104,31.0,29,113.63976192872795,55.09999999999997,26,101.26508719790905,72.79999999999997,0.0,0.0,0.0,5.0,18.41783325021774,17.5,7,50.774761821409825,23.8,5.0,32.34152652005175,40.0,1.0,3.66197183098592,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.99139908256879,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.12844874840125,15.0,2.0,8.51063829787234,10.0,8.0,28.91228155315444,56.0,3.0,15.677715924426453,30.0,2.0,12.7216394697334,-4.0,7.0,27.17214799117492,-35.0,6.0,42.63706069654259,-12.0,11.0,59.545016982147814,-22.0,12.0,44.419533861551564,-24.0,0.0,0.0,0.0,1.0,6.923076923076921,-4.0,3.0,16.22778754876355,-13.2,3.0,18.727901312170967,-21.0,3.0,15.071392695702093,-19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,36.36084237634374,-55.0,0.0,0.0,0.0,2.0,10.909090909090901,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,11,39.30818716707357,-110.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,2.444,25,78.78017827529858,5.0,33.124357091817096,-2.0,4.0,21.928546217029492,1.6,2.0,11.65917296064143,0.0,0.0,2.0,5.86261948384802,-4.0,1.0,16.923076923076902,16,59.203800501353314,48.0,2.0,7.674694251387319,-0.6,0.0,0.0,0.0,3.0,20.69486359384913,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10,52.033617601599985,40.0,3,18.086343732895447,3.0,15,85.13806929667504,28.499999999999996,13,65.84504988121908,36.4,7.0,31.96272537912632,49.0,4.0,16.77704194260484,14.0,16,113.42610931894,54.399999999999984,8.0,58.42383737120578,64.0,5.0,31.8794892788723,30.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,68.6314336401418,103.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,51.2254324354987,60.0,5.0,37.702047671285314,35.0,1.0,16.923076923076902,10.0,2.0,6.15384615384616,-4.0,4.0,23.496990000154508,-20.0,7.0,27.919192100538588,-14.0,30.0,83.49651700428748,-60.0,19.0,88.71511349632921,-38.0,2.0,8.78866317169069,-4.0,6.0,26.830875484922252,-24.0,3.0,17.14236349364927,-13.2,0.0,0.0,0.0,1.0,2.41935483870968,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-24.0,1.0,4.9180327868852505,-5.0,26,87.49315730143768,-130.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.953271028037381,-18.0,0.0,0.0,0.0,4,15.43276007059186,-40.0,0.0,0.0,0.0,1.0,4.88002156915611,-10.0
200808,2.455,169,901.2873110584887,42.0,257.64562335502285,-16.800000000000008,40.0,227.29256920905559,16.000000000000007,15.0,82.42813683374499,1.0,5.5366269165247,1.0,6.224066390041491,-2.0,3.0,18.48162773763513,110,596.2782931924735,330.0,32.0,186.92260582838023,-9.6,5.0,24.356189851335806,20.0,37.0,224.20028765242282,148.0,0.0,0.0,0.0,9.0,60.406751420833395,46.8,48,284.68841051274944,192.0,82,474.52673116553683,82.0,114,645.3654532955724,216.6000000000003,110,621.7175904854884,308.0000000000004,122.0,785.2390177801215,854.0,57.0,361.4627185564525,199.5,160,1038.355446898255,543.9999999999993,22.0,135.8643661331662,176.0,37.0,197.0658054746835,222.0,2.0,11.542792792792781,12.8,16.0,94.0754159101235,112.0,47.0,274.9183725202247,347.79999999999984,6.0,34.29195680477001,49.8,2.0,11.80752411716879,14.8,15.0,81.71684522454862,75.0,12.0,70.73874398709141,60.0,99.0,597.1438310244846,693.0,8.0,44.49693802622485,80.0,15.0,91.19343849480335,-30.0,43.0,240.20776186393098,-215.0,62.0,322.88998133336,-124.0,192.0,1081.5188702933985,-384.0,85.0,457.2987417923477,-170.0,3.0,22.011734900443575,-6.0,63.0,372.39831510649935,-252.0,34.0,174.65402645265368,-149.6000000000001,3.0,25.44794188861985,-21.0,45.0,255.5179400740929,-292.5,46.0,227.86732678328892,-184.0,0.0,0.0,0.0,6.0,-48.0,6.0,30.44616343865674,-30.0,138,685.6032295573782,-690.0,2.0,11.450972087306011,-10.0,13.0,63.92609243278293,-117.0,6.0,25.375813114705682,-54.0,3.0,15.92058321700015,-27.5,61,308.85032898394087,-610.0,10.0,35.78603795975144,-95.0,4.0,20.28373326942346,-40.0
200809,2.466,36,127.42661476040425,6.0,24.81441775980024,-2.4,18.0,84.19344954155207,7.200000000000002,0.0,0.0,2.0,1.7699115044247782,0.0,0.0,0.0,2.0,3.27498588368154,37,166.64229904100685,111.0,11.0,44.35887528960409,-3.2999999999999994,0.0,0.0,0.0,5.0,29.87760923972859,20.0,0.0,0.0,0.0,1.0,9.38628158844765,5.2,36,141.35031218658924,144.0,40,220.44907117757595,40.0,42,202.1564931575547,79.8,36,172.22609604125947,100.79999999999997,14.0,91.48114295901244,98.0,11.0,54.77566994549752,38.5,24,135.2999130617741,81.60000000000002,0.0,0.0,0.0,16.0,62.53670434825721,96.0,0.0,0.0,0.0,2.0,8.595334685598381,14.0,18.0,94.81236673468824,133.20000000000005,4.0,16.703212042195087,33.2,2.0,8.69954807542466,14.8,2.0,8.57385996005289,10.0,0.0,0.0,0.0,23.0,144.12618806926312,161.0,0.0,0.0,0.0,9.0,36.8191326969745,-18.0,15.0,69.201852633397,-75.0,7.0,15.77563634746811,-14.0,26.0,152.96453933964443,-52.0,30.0,130.31526382609897,-60.0,0.0,0.0,0.0,29.0,158.91253242662995,-116.0,12.0,62.50916051713526,-52.79999999999999,6.0,23.218608137588767,-42.0,3.0,18.923325425679792,-19.5,8.0,40.27507210424461,-32.0,1.0,5.660377358490571,-4.0,3.0,-24.0,11.0,54.547213115683185,-55.0,39,155.87683726389432,-195.0,1.0,2.5547445255474504,-5.0,42.0,124.91198045336802,-378.0,7.0,25.27505119212981,-63.0,5.0,16.75824175824176,-49.0,94,282.36126212632587,-940.0,3.0,15.0857239411801,-28.5,19.0,42.517083508169925,-190.0
200810,2.477,48,225.93311062235625,17.0,108.21403766781343,-6.8000000000000025,11.0,47.931820850527856,4.4,2.0,12.459016393442619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,81.72447934377138,60.0,0.0,0.0,0.0,3.0,13.78037179755898,12.0,6.0,28.38122940871496,24.0,0.0,0.0,0.0,1.0,9.8159509202454,5.2,29,136.1624618691328,116.0,43,224.6986996404214,43.0,34,131.28139902990586,64.59999999999998,32,119.66282194246516,89.59999999999997,16.0,70.04406878769984,112.0,35.0,194.4973782215533,122.5,36,166.86194154740224,122.40000000000008,1.0,4.21455938697318,8.0,25.0,124.04618683411199,150.0,2.0,5.8413251961639,12.8,2.0,10.998466568295578,14.0,21.0,92.70429223445312,155.40000000000006,0.0,0.0,0.0,4.0,20.279523693111987,29.6,4.0,16.54015542275615,20.0,0.0,0.0,0.0,22.0,116.04261395829155,154.0,0.0,0.0,0.0,3.0,18.416801292407104,-6.0,4.0,20.77173241241491,-20.0,21.0,92.34740019890535,-42.0,16.0,61.073832709837504,-32.0,24.0,86.7695965102322,-48.0,3.0,14.07577643209028,-6.0,13.0,66.82926731337079,-52.0,14.0,68.5974931474356,-61.6,0.0,0.0,0.0,22.0,88.42555051783823,-143.0,18.0,67.12729769471451,-72.0,0.0,0.0,0.0,12.0,-96.0,18.0,85.29553941500951,-90.0,35,188.96772922959443,-175.0,0.0,0.0,0.0,3.0,6.62440414762396,-27.0,0.0,0.0,0.0,6.0,52.7245077769386,-54.5,6,27.482776773446396,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
