MonthYear,GPI,event_count_10,tone_count_10,event_count_11,tone_count_11,goldstein_11,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_18,tone_count_18,goldstein_18,event_count_20,tone_count_20,goldstein_20,event_count_21,tone_count_21,goldstein_21,event_count_22,tone_count_22,goldstein_22,event_count_23,tone_count_23,goldstein_23,event_count_25,tone_count_25,goldstein_25,event_count_26,tone_count_26,goldstein_26,event_count_27,tone_count_27,goldstein_27,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_32,tone_count_32,goldstein_32,event_count_33,tone_count_33,goldstein_33,event_count_35,tone_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_41,tone_count_41,goldstein_41,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_62,tone_count_62,goldstein_62,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_75,tone_count_75,goldstein_75,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_105,tone_count_105,goldstein_105,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_125,tone_count_125,goldstein_125,event_count_128,tone_count_128,goldstein_128,event_count_130,tone_count_130,goldstein_130,event_count_138,tone_count_138,goldstein_138,event_count_141,tone_count_141,goldstein_141,event_count_145,tone_count_145,goldstein_145,event_count_150,tone_count_150,goldstein_150,event_count_154,tone_count_154,goldstein_154,event_count_160,tone_count_160,goldstein_160,event_count_171,tone_count_171,goldstein_171,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_174,tone_count_174,goldstein_174,event_count_180,tone_count_180,goldstein_180,event_count_181,tone_count_181,goldstein_181,event_count_182,tone_count_182,goldstein_182,event_count_183,tone_count_183,goldstein_183,event_count_186,tone_count_186,goldstein_186,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193,event_count_194,tone_count_194,goldstein_194,event_count_195,tone_count_195,goldstein_195
200801,2.168,42,172.54397015825714,0.0,0.0,0.0,2,13.125578921303392,-0.8,9.0,34.557023906046574,3.6,3.0,9.29892618204307,5.0,25.33877511043787,2.0,10.810891236423162,-4.0,0.0,0.0,0.0,0.0,0.0,26,137.73537175199502,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.68046862461885,-0.6,0.0,0.0,0.0,2.0,22.368421052631604,8.0,4.0,17.4612531425351,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.40671332881764,14.0,2,6.4516129032258,8.0,15,74.76719834745016,15.0,2.0,5.442176870748299,2.0,57,280.26261950250847,108.30000000000004,44,213.0467910615894,123.19999999999992,0.0,0.0,0.0,27.0,106.18902062905023,189.0,5.0,19.95839658177321,17.5,14,91.24188461207054,47.6,10.0,60.268790030115326,80.0,7,26.33720625694498,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.10948905109489,7.0,1,2.15384615384615,7.4,2.0,12.578616352201259,16.6,3.0,17.04545454545454,22.200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,211.67011128638146,308.0,1.0,5.27777777777778,10.0,5.0,18.13320219948775,-10.0,0.0,0.0,0.0,1.0,5.0314465408805,-5.0,10.0,50.10849729540831,-20.0,7,32.27565106878583,-14.0,25,92.73571668643923,-50.0,1.0,4.15561450044209,-2.0,10.0,96.16572431578207,-40.0,1.0,3.26530612244898,-5.0,2.0,9.06148867313916,-10.0,12.0,23.27554331579956,-52.79999999999999,2.0,9.011911881977671,-14.0,1.0,6.66666666666667,-6.5,0.0,0.0,0.0,2.0,9.90712074303406,-14.4,1.0,2.87539936102236,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,21.0,98.1928190800778,-105.0,55,242.18335622535045,-275.0,2.0,15.615615615615619,-10.0,1.0,3.85674931129477,-9.0,16.0,58.024591306008894,-144.0,1.0,3.49469393262425,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,25,103.11438885475538,-250.0,3.0,12.96846063922876,-28.5,1.0,3.2258064516129,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
200802,2.167666666666667,20,120.70623669896706,0.0,0.0,0.0,7,32.01137091416285,-2.8,0.0,0.0,0.0,1.0,-1.37931034482759,1.0,2.77777777777778,0.0,0.0,0.0,1.0,8.016877637130799,0.0,0.0,0.0,21,115.85487291774072,63.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.577535595906586,13.6,0.0,0.0,0.0,6.0,32.0021742975631,24.0,0.0,0.0,0.0,4.0,32.82103938259745,16.0,1.0,7.81758957654723,5.2,0.0,0.0,0.0,3.0,34.4172875823318,15.6,0.0,0.0,0.0,4,21.68496543519135,16.0,22,123.35821379810548,22.0,4.0,6.18323374977368,4.0,17,99.72824269259199,32.3,13,78.7582891019401,36.4,1.0,5.98146588037068,5.0,7.0,35.619416249738705,49.0,8.0,45.94980273650635,28.0,14,105.0289134760822,47.59999999999999,0.0,0.0,0.0,4,17.11886304909562,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,54.57761505973246,59.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.88262717674482,15.0,4.0,16.095901612533922,20.0,0.0,0.0,0.0,29,154.8858391514316,203.0,0.0,0.0,0.0,8.0,15.96635366915464,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,94.49706273613577,-36.0,5,28.49054290543653,-10.0,10,39.01681578403577,-20.0,0.0,0.0,0.0,16.0,86.23871959098398,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6153846153846105,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.412377096587612,-12.0,0.0,0.0,0.0,3.0,17.62652339775046,-15.0,40,180.43082194123286,-200.0,1.0,4.061895551257249,-5.0,0.0,0.0,0.0,1.0,5.18638573743922,-9.0,0.0,0.0,0.0,3.0,9.430150593943699,-30.0,0.0,0.0,0.0,30,144.10402124360675,-300.0,0.0,0.0,0.0,3.0,8.42377024834928,-30.0,0.0,0.0,0.0,1.0,6.65634674922601,-10.0
200803,2.1673333333333336,36,149.78754388712494,0.0,0.0,0.0,5,21.173448699179442,-2.0,3.0,10.807461644891948,1.2000000000000002,0.0,0.0,2.0,11.169705969705971,2.0,11.36970596970597,-4.0,1.0,6.19469026548673,0.0,0.0,0.0,4,22.50499450308559,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.53058450113295,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.900473933649302,4.0,1.0,4.013377926421399,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,37.908394478298696,28.0,5,22.15467706797185,5.0,2.0,9.120521172638439,2.0,26,135.8087538963336,49.399999999999984,23,122.53627676469871,64.39999999999998,1.0,5.83333333333333,5.0,7.0,38.671317829457344,49.0,10.0,65.75910725803739,35.0,8,47.795964994069564,27.2,10.0,81.98043608851656,80.0,10,61.45547313423209,60.0,2.0,12.960235640648019,12.8,0.0,0.0,0.0,1.0,4.26966292134831,7.0,7,37.18761232261558,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,103.4638089081891,154.0,0.0,0.0,0.0,2.0,10.8,-4.0,4.0,23.52767732962448,-20.0,1.0,4.68227424749164,-5.0,6.0,26.27758880813346,-12.0,8,28.060955294610576,-16.0,7,38.053971648464795,-14.0,6.0,20.49406229598417,-12.0,10.0,57.64444990701629,-40.0,0.0,0.0,0.0,2.0,9.014084507042261,-10.0,2.0,12.71960226593685,-8.8,1.0,6.75675675675676,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.597964376590331,-7.2,1.0,4.560260586319219,-4.0,2.0,8.31560472290182,-18.4,4.0,12.293066803347099,-20.0,27,114.14989774434194,-135.0,0.0,0.0,0.0,1.0,5.242966751918161,-9.0,7.0,40.08787327973857,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,105.2878831536582,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,2.1670000000000003,26,160.8530996725329,0.0,0.0,0.0,5,20.74118897970606,-2.0,2.0,9.32736618220489,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23.529861973078575,0.0,0.0,0.0,10,47.42272672559533,30.0,1.0,5.4561459667093395,3.4,0.0,0.0,0.0,1.0,8.72162485065711,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.265024262784617,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,28.03162422974072,24.0,9,48.27219849999543,9.0,0.0,0.0,0.0,49,201.96577881888783,93.10000000000008,50,210.7770720354426,139.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,41.474214690035964,33.99999999999999,4.0,29.551498760423694,32.0,13,57.7590950375854,78.0,4.0,11.76470588235296,25.6,2.0,10.300429184549358,14.8,5.0,28.43334245987944,35.0,6,30.975697838481988,44.4,0.0,0.0,0.0,3.0,16.2711919124213,22.200000000000006,0.0,0.0,0.0,2.0,13.89074310395603,10.0,1.0,0.5964214711729621,5.0,0.0,0.0,0.0,6,31.468401391146088,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.958922192887076,-8.0,5,31.793478260869566,-10.0,16,55.47951021309615,-32.0,4.0,10.501650868037052,-8.0,3.0,11.60643337014066,-12.0,1.0,4.6948356807511695,-5.0,0.0,0.0,0.0,2.0,10.682465325617711,-8.8,2.0,10.18427064938693,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25391849529781,-7.2,0.0,0.0,0.0,8.0,41.217294312764956,-73.60000000000002,5.0,16.99109824109824,-25.0,24,100.91536229719273,-120.0,0.0,0.0,0.0,2.0,3.5006378176822697,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,-20.0,27,74.55415234642562,-270.0,1.0,2.67016583445058,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200805,2.166666666666667,20,89.89230530157438,0.0,0.0,0.0,6,29.777509451109108,-2.4,3.0,13.51753801074171,1.2000000000000002,1.0,5.621301775147929,1.0,5.18878436241504,4.0,9.7685763579035,-8.0,0.0,0.0,0.0,0.0,0.0,14,74.98503677824125,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.621301775147929,3.4,1.0,3.6649214659685896,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,38.450991275637186,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.18274111675128,12.0,0.0,0.0,0.0,15,90.41007775737634,60.0,7,53.653183544980706,7.0,1.0,3.52112676056338,1.0,32,153.67934503281543,60.79999999999997,29,144.23796941166245,81.19999999999995,5.0,27.76342011476093,25.0,10.0,60.89781569851247,70.0,6.0,27.835051546391764,21.0,12,65.41453372482434,40.79999999999999,6.0,31.0344827586207,48.0,5,33.798284628976916,30.0,0.0,0.0,0.0,7.0,33.84436239081264,51.8,2.0,13.833402189630249,14.0,8,46.10196004368826,59.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.04652032148866,10.0,1.0,4.03299725022915,5.0,0.0,0.0,0.0,7,33.55321313177609,49.0,2.0,9.73638925605407,18.0,5.0,23.402316803332038,-10.0,3.0,12.714793996339333,-15.0,0.0,0.0,0.0,2.0,8.416707643007433,-4.0,10,47.19621010456873,-20.0,12,52.30460237919514,-24.0,0.0,0.0,0.0,13.0,60.50603553547707,-52.0,0.0,0.0,0.0,1.0,6.55430711610487,-5.0,1.0,6.125356125356129,-4.4,1.0,5.74162679425837,-7.0,2.0,10.12658227848102,-13.0,1.0,5.02326016074433,-7.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,33.158152293564584,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,9,36.861143698031285,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.016067650638963,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,107.65432931337648,-270.0,0.0,0.0,0.0,1.0,5.100830367734281,-10.0,0.0,0.0,0.0,1.0,2.69121813031161,-10.0
200806,2.1663333333333337,47,221.2706381796218,2.0,9.02739809246097,-0.2,6,23.45641195754811,-2.4,14.0,54.31476140998906,5.6000000000000005,6.0,31.275303132332944,1.0,6.5359477124183,1.0,6.25,-2.0,1.0,7.9947575360419405,0.0,0.0,0.0,34,184.08052665407155,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.445804195804198,8.0,0.0,0.0,0.0,3.0,19.08730158730159,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.82208904010759,26.0,1.0,4.96894409937888,7.0,17,83.74122991003273,68.0,29,148.36064322849313,29.0,3.0,10.03796348274517,3.0,26,116.70267923723424,49.399999999999984,35,168.8521526312233,97.99999999999994,3.0,18.293854118271717,15.0,17.0,90.831255371757,119.0,8.0,41.47914678466096,28.0,18,107.87071599391085,61.19999999999998,11.0,52.8929503119124,88.0,3,17.82178217821782,18.0,0.0,0.0,0.0,2.0,7.6555023923445,14.8,1.0,10.7255520504732,7.0,4,17.786044631644103,29.6,4.0,23.285680646633512,33.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,40.16944259953056,45.0,0.0,0.0,0.0,5.0,34.636246233318985,25.0,60,284.70794745760054,420.0,1.0,3.68852459016393,9.0,4.0,29.109720096216932,-8.0,2.0,10.63829787234042,-10.0,0.0,0.0,0.0,13.0,63.22183597644062,-26.0,3,11.34402698250843,-6.0,14,53.991586673065825,-28.0,4.0,21.58989812024681,-8.0,16.0,72.12059126715916,-64.0,1.0,4.59016393442623,-5.0,0.0,0.0,0.0,7.0,38.17765114187033,-30.8,5.0,22.678717456383357,-35.0,2.0,9.80270846222588,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.966202619737576,-21.6,2.0,12.262819959114339,-8.0,5.0,29.76885159214361,-46.0,2.0,9.2436974789916,-10.0,22,104.03186715269585,-110.0,0.0,0.0,0.0,2.0,6.068567305724231,-18.0,30.0,124.18644416799305,-270.0,2.0,10.99683544303798,-18.5,0.0,0.0,0.0,0.0,0.0,0.0,55,229.88770524269447,-550.0,1.0,5.429864253393671,-9.5,5.0,21.11719828429865,-50.0,1.0,7.28155339805825,-10.0,0.0,0.0,0.0
200807,2.1660000000000004,31,144.5254910662681,0.0,0.0,0.0,2,8.805039939337911,-0.8,18.0,67.99700439550249,7.200000000000002,0.0,0.0,1.0,2.61627906976744,1.0,3.6215816703621604,-2.0,0.0,0.0,0.0,0.0,0.0,12,76.93178747521729,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1587901701323196,3.4,2.0,13.82547471730317,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.074115473732558,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.73758865248227,7.0,6,31.208781867736825,24.0,14,58.92795472351101,14.0,0.0,0.0,0.0,24,125.58354936035177,45.59999999999998,21,121.10241362777134,58.79999999999998,0.0,0.0,0.0,19.0,104.26685298171991,133.0,0.0,0.0,0.0,20,124.69822703658018,68.0,9.0,50.15482876293568,72.0,3,17.05756161858674,18.0,3.0,9.46737466762182,19.200000000000006,0.0,0.0,0.0,2.0,16.60407295806222,14.0,3,30.14672510523127,22.200000000000006,2.0,11.52073914518585,16.6,8.0,32.38118626497173,59.2,0.0,0.0,0.0,7.0,37.663141368576404,35.0,3.0,14.020291555323812,15.0,2.0,10.55662188099808,10.0,31,127.96091962320062,217.0,3.0,17.192641098500758,28.0,4.0,16.41884173123657,-8.0,5.0,28.3577315759347,-25.0,2.0,12.10189810189809,-10.0,5.0,22.634424143699714,-10.0,6,20.04780535672071,-12.0,12,36.725709957899454,-24.0,5.0,32.38919667768745,-10.0,9.0,38.98183345399868,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.820337437300499,-4.4,3.0,14.55553063198665,-21.0,3.0,8.582063831253869,-19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.147995707933806,-20.0,12,40.844496792638594,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.347786004212217,-63.0,2.0,8.42844600526778,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,15,63.6146027651962,-150.0,1.0,4.63576158940397,-9.5,6.0,19.37948643830996,-60.0,0.0,0.0,0.0,1.0,3.6215816703621604,-10.0
200808,2.165666666666666,34,157.47009277693226,1.0,6.2200956937799,-0.1,5,27.032206491734073,-2.0,10.0,53.183622949038885,4.0,0.0,0.0,0.0,0.0,2.0,5.64102564102564,-4.0,2.0,8.53951150661824,0.0,0.0,0.0,15,94.20644839818209,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.86029411764706,3.4,3.0,23.100827743684878,-0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.303030303030299,4.0,6.0,28.88029443535153,31.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.636363636363651,21.0,11,44.062905737018966,44.0,6,42.88956437197643,6.0,0.0,0.0,0.0,24,136.85368336073276,45.59999999999998,23,128.781787753712,64.39999999999998,0.0,0.0,0.0,5.0,30.636856949818768,35.0,4.0,20.03853564547204,14.0,11,73.37426925223663,37.39999999999999,1.0,4.31372549019608,8.0,3,15.742296918767499,18.0,4.0,15.57429202002434,25.6,0.0,0.0,0.0,1.0,5.89970501474926,7.0,9,44.42736249490896,66.6,0.0,0.0,0.0,1.0,2.8536710636752005,7.4,0.0,0.0,0.0,8.0,48.679888999255034,40.0,2.0,10.695096220306313,10.0,0.0,0.0,0.0,17,82.24791386563868,119.0,4.0,26.32213858328507,36.0,6.0,24.824955713821787,-12.0,5.0,20.32114769106929,-25.0,0.0,0.0,0.0,6.0,27.569959974546922,-12.0,4,17.180333374383352,-8.0,11,40.74415472780353,-22.0,2.0,9.11966323150534,-4.0,16.0,77.71476791987165,-64.0,2.0,7.9467446913494815,-10.0,0.0,0.0,0.0,6.0,41.769006694240325,-26.4,3.0,11.1111111111111,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.185554116228161,-8.0,0.0,0.0,0.0,3.0,8.5610131910256,-15.0,9,36.89000903374454,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.85213475460298,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,30.950408425407392,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,2.1653333333333333,49,284.31528429728644,1.0,2.23880597014925,-0.1,1,8.62745098039216,-0.4,13.0,59.59141900828108,5.2,7.0,44.78775634825615,1.0,7.2678331090174995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,70.10744039587651,36.0,2.0,9.039548022598881,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.76933895921237,-0.8999999999999999,2.0,5.97014925373134,8.0,0.0,0.0,0.0,12.0,79.71880958643712,48.0,4.0,30.04545628546759,20.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.49154500531158,21.0,4,28.103705723701946,16.0,25,142.22850486621226,25.0,16.0,45.61383000505632,16.0,15,86.54628736120054,28.499999999999996,14,78.16376079685577,39.2,0.0,0.0,0.0,20.0,163.62055667897963,140.0,24.0,119.1305276907739,84.0,23,166.77625981288247,78.2,17.0,131.62494247064174,136.0,8,49.57002204206321,48.0,2.0,9.039548022598881,12.8,0.0,0.0,0.0,3.0,18.75754275633627,21.0,5,33.552219162113765,37.0,1.0,5.91966173361522,8.3,0.0,0.0,0.0,0.0,0.0,0.0,18.0,106.45628354822651,90.0,0.0,0.0,0.0,1.0,7.22222222222222,5.0,7,45.999269801393645,49.0,0.0,0.0,0.0,8.0,30.445556874983946,-16.0,5.0,34.35385040649043,-25.0,0.0,0.0,0.0,6.0,24.360645589067193,-12.0,15,64.72660131186869,-30.0,6,30.872059667240382,-12.0,1.0,9.18918918918919,-2.0,18.0,77.03967944928125,-72.0,0.0,0.0,0.0,2.0,4.97710649937563,-10.0,5.0,25.279333003345737,-22.0,1.0,4.25,-7.0,2.0,12.87456846950518,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.74368113753859,-18.4,1.0,2.59741625672756,-5.0,16,50.738304539161845,-80.0,2.0,7.2642919417112894,-10.0,0.0,0.0,0.0,1.0,6.92348659684005,-9.0,2.0,1.747557997557998,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,41,122.67405807552849,-410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200810,2.165,66,337.1108143746747,0.0,0.0,0.0,10,54.41827461743633,-4.0,41.0,183.88906572980665,16.400000000000006,8.0,54.908607047209756,0.0,0.0,6.0,25.28095001557343,-12.0,0.0,0.0,0.0,0.0,0.0,28,138.65907052220444,84.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.15047879205695,20.4,2.0,10.810810810810821,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.980860266559876,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.80326137232196,10.4,0.0,0.0,0.0,23,116.98896593192259,92.0,35,188.7012336843853,35.0,2.0,13.043478260869561,2.0,20,81.70387740331407,37.99999999999999,18,80.48463044951573,50.399999999999984,0.0,0.0,0.0,2.0,17.44486389827142,14.0,3.0,18.501611170784106,10.5,40,324.3999012314494,136.00000000000009,2.0,10.57042253521126,16.0,15,89.64436910902273,90.0,0.0,0.0,0.0,3.0,4.800000000000002,22.200000000000006,3.0,16.346995010392007,21.0,5,23.67916748807241,37.0,2.0,10.64907146643354,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.418684822890633,10.0,4.0,21.414270138337532,20.0,35,197.39042331624668,245.0,3.0,13.95555871636647,30.0,8.0,48.81248740947047,-16.0,2.0,14.546244029526708,-10.0,16.0,82.08579044574675,-80.0,5.0,27.540175233470396,-10.0,5,21.66989309196185,-10.0,16,79.38222371744943,-32.0,16.0,78.33216797321028,-32.0,10.0,45.544639748449036,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,45.57068978594599,-35.2,0.0,0.0,0.0,7.0,33.08776603496952,-45.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.160305343511439,-14.4,6.0,20.8121404471403,-24.0,2.0,6.41387952640221,-18.4,26.0,119.5061850926378,-130.0,32,156.92091528740502,-160.0,0.0,0.0,0.0,1.0,1.6,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,90.61151380575188,-230.0,7.0,23.04008045671014,-66.5,2.0,11.453201970443347,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
