MonthYear,GPI,event_count_10,tone_count_10,event_count_11,tone_count_11,goldstein_11,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_18,tone_count_18,goldstein_18,event_count_20,tone_count_20,goldstein_20,event_count_22,tone_count_22,goldstein_22,event_count_23,tone_count_23,goldstein_23,event_count_25,tone_count_25,goldstein_25,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_35,tone_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_125,tone_count_125,goldstein_125,event_count_128,tone_count_128,goldstein_128,event_count_130,tone_count_130,goldstein_130,event_count_138,tone_count_138,goldstein_138,event_count_141,tone_count_141,goldstein_141,event_count_143,tone_count_143,goldstein_143,event_count_160,tone_count_160,goldstein_160,event_count_163,tone_count_163,goldstein_163,event_count_171,tone_count_171,goldstein_171,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_174,tone_count_174,goldstein_174,event_count_180,tone_count_180,goldstein_180,event_count_182,tone_count_182,goldstein_182,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,2.009,32,205.01195480054542,3.0,22.38636363636363,-0.30000000000000004,0.0,0.0,0.0,5,36.86901590873928,2.0,0.0,0.0,3.0,21.26770479389218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,19.69042906181577,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.275906782060428,20.8,2.0,9.022858359462699,14.0,2,12.66927700624392,8.0,6,30.927835051546374,6.0,19,118.46406610934028,36.09999999999999,18,104.1604092599222,50.39999999999999,0.0,0.0,0.0,4.0,20.2649953268459,28.0,1.0,6.04982206405694,3.5,14.0,99.2156608885322,47.59999999999999,20.0,140.18013107177794,160.0,9.0,55.77065964192043,54.0,4.0,9.39375225155678,25.6,5.0,28.479771486806488,35.0,4.0,29.500124657192718,29.6,2.0,12.02797202797202,16.6,0.0,0.0,0.0,1.0,5.44747081712062,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.80751148327467,-4.0,0.0,0.0,0.0,3.0,17.32321061930001,-6.0,0.0,0.0,0.0,3.0,15.40498968399039,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.641308621635677,-26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.1546391752577305,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.44048749175008,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,105.37787564716936,-210.0,0.0,0.0,0.0,4.0,17.152999370038494,-40.0
200802,2.008083333333333,13,80.50549001580102,0.0,0.0,0.0,12.0,74.0426282253648,-4.8,3,18.137465776194208,1.2000000000000002,1.0,3.18142560254784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,49.894913597773545,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.68030760695471,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,62.246313945398605,40.0,5,29.263273754797854,5.0,13,111.41026248958158,24.7,8,68.32198616521931,22.4,0.0,0.0,0.0,24.0,145.15703176154443,168.0,0.0,0.0,0.0,2.0,23.6382453747836,6.8,52.0,353.2290432384685,416.0,4.0,25.205816174107063,24.0,15.0,161.93181818181753,96.0,0.0,0.0,0.0,6.0,38.49809552154671,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.45119721528779,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.302688867078558,-8.0,0.0,0.0,0.0,1.0,3.03030303030303,-2.0,0.0,0.0,0.0,2.0,13.353164962317093,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.06060606060606,-13.0,1.0,5.45119721528779,-6.5,0.0,0.0,0.0,2.0,10.64138093426796,-16.0,0.0,0.0,0.0,2.0,10.8624526265432,-10.0,1.0,3.6824081511859,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200803,2.0071666666666665,19,112.49107680983153,0.0,0.0,0.0,2.0,8.95587832282817,-0.8,2,11.948505108027758,0.8,0.0,0.0,0.0,0.0,1.0,4.147116794860731,-2.0,0.0,0.0,0.0,0.0,0.0,5,29.32058640318918,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.94609164420486,14.0,7,49.75907482081272,28.0,2,7.0653824293432805,2.0,1,11.242603550295902,1.9,2,21.7953673693914,5.6,0.0,0.0,0.0,2.0,4.878048780487799,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.516853932584269,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.21390374331551,-2.0,1.0,8.26446280991736,-5.0,1.0,2.4390243902438997,-2.0,4.0,16.57429646239905,-8.0,4.0,15.794301622366769,-8.0,2.0,8.2803347377053,-4.0,2.0,5.908412096658171,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4042553191489398,-7.0,2.0,8.6915617310754,-13.0,3.0,15.5719666545688,-19.5,1.0,3.4042553191489398,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.96296296296296,-5.0,3.0,5.03699692577652,-15.0,0.0,0.0,0.0,3.0,15.61458190721514,-27.0,2.0,8.29927729073618,-19.0,6.0,18.149632199398237,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,2.00625,13,74.72224860680754,0.0,0.0,0.0,1.0,4.513888888888889,-0.4,2,19.12927726881216,0.8,0.0,0.0,1.0,8.585055643879171,0.0,0.0,0.0,4.0,31.864406779661003,0.0,0.0,0.0,18,84.07694438884148,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.57946554149086,5.2,1.0,8.57946554149086,5.2,0.0,0.0,0.0,9,36.35654775771015,36.0,23,82.34521521739809,23.0,8,64.99847763391631,15.2,10,71.9718049395221,28.000000000000004,0.0,0.0,0.0,1.0,4.564907275320969,7.0,0.0,0.0,0.0,4.0,20.48281298609188,13.6,0.0,0.0,0.0,2.0,14.409380915974948,12.0,1.0,12.841530054644801,6.4,2.0,17.15893108298172,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.1937533086289,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.4561603021253,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.901289253817339,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.558305459671494,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.717065493846718,-50.0,0.0,0.0,0.0,5.0,19.13424230174838,-50.0
200805,2.005333333333333,37,251.2356431513404,1.0,3.9285714285714306,-0.1,7.0,31.450181090867662,-2.8,4,18.8761550724398,1.6,1.0,3.75757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,102.16802223123932,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,27.777777777777814,52.0,3.0,18.99212396747134,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,93.3896411285985,52.0,12,53.79267490737194,12.0,21,159.7861914385308,39.89999999999999,24,179.02869412353894,67.19999999999997,1.0,4.37956204379562,5.0,5.0,22.324473692859602,35.0,2.0,14.56964656964657,7.0,12.0,106.36006282188144,40.79999999999999,10.0,69.71131503090264,80.0,0.0,0.0,0.0,1.0,1.9867549668874198,6.4,2.0,13.93607971807024,14.0,2.0,15.75075987841945,14.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.576728499156831,5.0,0.0,0.0,0.0,2.0,12.091302636757193,10.0,3.0,17.787975365701577,21.0,0.0,0.0,0.0,1.0,4.78395061728395,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.3535104390559,-8.0,0.0,0.0,0.0,2.0,9.397616006811413,-8.0,1.0,5.076628352490419,-5.0,0.0,0.0,0.0,1.0,11.8546845124283,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.590062111801241,-9.2,0.0,0.0,0.0,8.0,37.19185769185767,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200806,2.0044166666666667,30,180.61202859409318,0.0,0.0,0.0,11.0,83.05656813032,-4.4,16,105.72706031878509,6.400000000000001,4.0,31.858407079646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,103.49515515379393,54.0,2.0,7.468879668049801,6.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,38.383615833185466,28.0,6.0,23.351193768474698,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.62406015037594,7.0,56,302.1625222134527,224.0,111,600.7019558333559,111.0,93,472.46794961020765,176.70000000000027,89,457.3192038320883,249.20000000000027,0.0,0.0,0.0,41.0,216.49859550005897,287.0,0.0,0.0,0.0,7.0,42.93297814921887,23.8,0.0,0.0,0.0,7.0,31.958109787254767,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.155142239456442,15.0,0.0,0.0,0.0,1.0,4.97630331753555,5.0,6.0,22.33559158545889,42.0,1.0,8.62068965517241,10.0,2.0,14.19866563766217,-4.0,2.0,3.6208071477246895,-10.0,5.0,29.6996895861362,-10.0,3.0,20.035670571778287,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,139.69892525952073,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.88599348534202,-6.5,0.0,0.0,0.0,1.0,3.2967032967033,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.6208071477246895,-10.0,2.0,7.8177025527192,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.511536116870108,-40.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,2.0035,25,179.6003745149842,0.0,0.0,0.0,7.0,34.33119315431297,-2.8,7,30.630736027189627,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.5829472484402,0.0,0.0,0.0,8,59.80799560602434,24.0,4.0,27.598961713173235,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.24691358024691,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,64.44585337094333,32.0,26,164.56293543830952,26.0,30,186.58832122742447,56.99999999999997,35,209.00120401378814,97.99999999999996,0.0,0.0,0.0,11.0,68.81957994186628,77.0,0.0,0.0,0.0,24.0,179.94430811649514,81.60000000000002,22.0,118.24187469929632,176.0,4.0,33.0906995435452,24.0,2.0,10.49382716049382,12.8,6.0,63.189824517582615,42.0,5.0,37.12464982165816,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.33554809799349,5.0,0.0,0.0,0.0,1.0,5.0314465408805,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.1327722106682,-8.0,1.0,5.33554809799349,-5.0,4.0,13.212250712250722,-8.0,5.0,35.30318690783809,-10.0,0.0,0.0,0.0,1.0,3.6217303822937597,-2.0,4.0,30.12178890946969,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,34.789886039886056,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.84958217270195,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.805784294354247,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
200808,2.0025833333333334,17,104.28930566121781,0.0,0.0,0.0,6.0,22.84727146496326,-2.4,2,10.469798657718119,0.8,0.0,0.0,4.0,27.60544217687074,0.0,0.0,0.0,7.0,54.39917043979519,0.0,0.0,0.0,16,89.78768448292116,48.0,0.0,0.0,0.0,4.0,18.34427589341593,13.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.86746987951808,8.0,2.0,13.80272108843537,10.4,3.0,15.406874876495028,15.6,0.0,0.0,0.0,21,167.8902401837383,84.0,19,117.24148950699812,19.0,33,208.36619076680068,62.699999999999974,30,192.03250068817886,83.99999999999996,0.0,0.0,0.0,11.0,52.87011650945416,77.0,0.0,0.0,0.0,10.0,81.2941015754561,34.0,0.0,0.0,0.0,2.0,7.84313725490196,12.0,1.0,5.76744186046512,6.4,8.0,55.80383790162848,56.0,12.0,69.56963167771228,88.80000000000003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.73062391999441,25.0,2.0,7.8186306353124495,10.0,2.0,14.92835014358264,10.0,2.0,9.4010206822455,14.0,0.0,0.0,0.0,3.0,18.287939020997054,-6.0,5.0,27.88980970053792,-25.0,7.0,45.45085102314018,-14.0,12.0,77.93055717134244,-24.0,1.0,4.97732923796987,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.967330141933321,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,133.95140518130682,-143.0,1.0,4.7945205479452095,-6.5,0.0,0.0,0.0,1.0,4.47761194029851,-8.0,1.0,6.9591527987897095,-9.2,2.0,13.97919327941453,-10.0,4.0,28.855970016207326,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.65613167310737,-30.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,2.0016666666666665,61,395.46264341823365,1.0,4.18994413407821,-0.1,7.0,36.38592371296688,-2.8,16,121.15022882756338,6.400000000000001,6.0,28.129355229935058,1.0,7.5396825396825395,1.0,7.61245674740484,-2.0,28.0,215.8228510891884,0.0,0.0,0.0,21,146.9428581602831,63.0,4.0,29.625871099447913,12.8,1.0,7.51445086705202,3.4,0.0,0.0,0.0,6.0,36.96089735621056,24.0,6.0,39.191584694826425,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,192.73389502424718,132.0,37,243.40033049327636,37.0,73,463.7901830314949,138.70000000000013,84,544.5656736416146,235.20000000000027,0.0,0.0,0.0,7.0,49.42837119299086,49.0,8.0,66.82572915154904,28.0,41.0,302.6528973771445,139.4000000000001,0.0,0.0,0.0,36.0,197.92282367283767,216.0,7.0,31.59113593612041,44.8,6.0,50.03388150064452,42.0,7.0,30.681614366874427,51.8,0.0,0.0,0.0,3.0,23.80583332544962,22.200000000000006,0.0,0.0,0.0,3.0,23.757841102484623,15.0,1.0,6.620657150552111,5.0,5.0,35.60831320973513,35.0,0.0,0.0,0.0,10.0,58.49573080382464,-20.0,10.0,66.30072202404753,-50.0,9.0,39.601433119692366,-18.0,14.0,85.55199068520736,-28.0,15.0,91.90015634783279,-30.0,2.0,14.351145038167939,-4.0,7.0,43.498474451572896,-28.0,3.0,19.372954992015,-15.0,0.0,0.0,0.0,6.0,19.41995684287811,-26.4,3.0,11.02813063668113,-21.0,20.0,120.3652939785908,-130.0,0.0,0.0,0.0,11.0,86.47993195354543,-44.0,7.0,53.890711829743516,-56.0,2.0,15.117030829093087,-18.4,33.0,196.62717276306176,-165.0,24.0,121.88079456749668,-120.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.24376400504533,-57.0,17.0,88.35940577242779,-170.0,2.0,15.762297550232338,-19.0,1.0,9.02527075812274,-10.0
200810,2.00075,32,201.383595530847,1.0,7.815771109560361,-0.1,3.0,18.45727237425875,-1.2000000000000002,5,27.44857538582912,2.0,7.0,43.827841594197935,0.0,0.0,0.0,0.0,0.0,1.0,5.28169014084507,1.0,2.67857142857143,3.4,24,133.61228873958987,72.0,1.0,10.3585657370518,3.2,0.0,0.0,0.0,1.0,6.82926829268293,-0.3,3.0,16.69208489342728,12.0,6.0,32.75454935897003,24.0,1.0,4.49438202247191,5.2,2.0,14.320092190889367,10.4,0.0,0.0,0.0,49,374.5194220281144,196.0,94,645.024815921672,94.0,58,342.91583316871083,110.20000000000007,62,370.39420976666315,173.60000000000005,2.0,14.61069761081482,10.0,32.0,219.9507011820217,224.0,9.0,57.799959606210095,31.5,9.0,50.363617220223645,30.599999999999994,3.0,17.55711560572567,24.0,11.0,61.92780417968861,66.0,3.0,15.878494099120722,19.200000000000006,3.0,22.877192269912246,21.0,0.0,0.0,0.0,2.0,11.08488171387958,16.6,0.0,0.0,0.0,4.0,30.84210976623807,20.0,0.0,0.0,0.0,1.0,6.419400855920111,5.0,5.0,26.491061941929697,35.0,2.0,11.957743748788518,20.0,2.0,10.1530404689192,-4.0,4.0,20.190798916908427,-20.0,5.0,25.437317568940028,-10.0,14.0,86.07719390573422,-28.0,6.0,32.92202439806438,-12.0,1.0,5.28169014084507,-2.0,12.0,78.10835203949003,-48.0,13.0,80.4985124131902,-65.0,0.0,0.0,0.0,6.0,45.494954288914,-26.4,1.0,6.78225395206527,-7.0,6.0,24.645159076664463,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,96.23822430751369,-80.0,9.0,47.08541685542399,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,35.76325906438986,-70.0,1.0,3.9951573849878903,-9.5,0.0,0.0,0.0
