ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
AR,200801,010,465,1068.4064687844912,0.0
AR,200802,010,519,1103.5524684260213,0.0
AR,200803,010,338,674.4333381093232,0.0
AR,200804,010,482,1040.5480601852828,0.0
AR,200805,010,564,1044.0920166014068,0.0
AR,200806,010,871,1165.6211195334217,0.0
AR,200807,010,825,1276.2950421866074,0.0
AR,200808,010,737,982.7001207227886,0.0
AR,200809,010,566,1154.5880191823126,0.0
AR,200810,010,816,1185.2466622487752,0.0
AR,200811,010,908,1134.2635973497968,0.0
AR,200812,010,1210,1415.1631223638185,0.0
AR,200901,010,1913,2576.073234964275,0.0
AR,200902,010,1400,2570.3698302946786,0.0
AR,200903,010,887,1714.9663932181188,0.0
AR,200904,010,887,1613.81364403666,0.0
AR,200905,010,1024,1584.0427200053625,0.0
AR,200906,010,1138,2998.2866582385236,0.0
AR,200907,010,286,1523.81279492571,0.0
AR,200908,010,498,2617.3833529715157,0.0
AR,200909,010,463,2144.3674922667274,0.0
AR,200910,010,389,2091.7456912555886,0.0
AR,200911,010,338,1803.880991241167,0.0
AR,200912,010,433,2172.7191057442337,0.0
AR,201001,010,407,1967.9374618925606,0.0
AR,201002,010,556,2789.4849141235845,0.0
AR,201003,010,95,499.8019300918414,0.0
AR,201004,010,217,1132.9378921182781,0.0
AR,201005,010,168,903.5412393598613,0.0
AR,201006,010,126,585.4013167186263,0.0
AR,201007,010,219,1244.8136777719646,0.0
AR,201008,010,592,3425.0048087369023,0.0
AR,201009,010,441,2517.3248683411616,0.0
AR,201010,010,449,2346.207110903342,0.0
AR,201011,010,373,2061.2953652475994,0.0
AR,201012,010,527,2921.4234081504333,0.0
AR,201101,010,362,1829.2240382001426,0.0
AR,201102,010,308,1649.602672478803,0.0
AR,201103,010,287,1539.8207387520345,0.0
AR,201104,010,262,1378.0646027093744,0.0
AR,201105,010,283,1495.7060260579174,0.0
AR,201106,010,382,1777.4427801853774,0.0
AR,201107,010,277,1516.0940190334475,0.0
AR,201108,010,301,1601.4540669923836,0.0
AR,201109,010,221,1143.0230979107469,0.0
AR,201110,010,299,1746.8366785401072,0.0
AR,201111,010,318,1607.382125488755,0.0
AR,201112,010,309,1536.6549481670688,0.0
AR,201201,010,436,2137.1729587171726,0.0
AR,201202,010,754,3514.709104324533,0.0
AR,201203,010,509,2554.9971233190836,0.0
AR,201204,010,856,4223.042084580714,0.0
AR,201205,010,428,2209.137504325233,0.0
AR,201206,010,536,2718.6201525788642,0.0
AR,201207,010,388,2171.7260366678465,0.0
AR,201208,010,384,2256.29564607237,0.0
AR,201209,010,359,2279.1275270486567,0.0
AR,201210,010,318,1667.8548853408777,0.0
AR,201211,010,347,956.8173299058955,0.0
AR,201212,010,398,921.2639682818955,0.0
AR,201301,010,378,869.8011311728967,0.0
AR,201302,010,298,728.5085827615683,0.0
AR,201303,010,1481,4033.235209431049,0.0
AR,201304,010,325,674.4032265214975,0.0
AR,201305,010,169,359.23321805703813,0.0
AR,201306,010,290,720.3457087700614,0.0
AR,201307,010,662,1571.9596627063322,0.0
AR,201308,010,712,1549.4356059209817,0.0
AR,201309,010,500,1239.25620625403,0.0
AR,201310,010,754,1809.1544168083658,0.0
AR,201311,010,456,1146.645715097937,0.0
AR,201312,010,536,1358.4079829009304,0.0
AR,201401,010,468,1179.8893596583575,0.0
AR,201402,010,439,994.876433180087,0.0
AR,201403,010,502,1050.235108335299,0.0
AR,201404,010,561,1242.6725111620515,0.0
AR,201405,010,534,1207.538265518299,0.0
AR,201406,010,362,819.7489018568724,0.0
AR,201407,010,562,1195.8212940895353,0.0
AR,201408,010,667,1255.3007611947933,0.0
AR,201409,010,592,1270.5454051054232,0.0
AR,201410,010,650,1484.6214466397514,0.0
