ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
BE,200801,010,428,2086.2604121635327,0.0
BE,200802,010,460,2446.149038808345,0.0
BE,200803,010,393,1957.3805910062574,0.0
BE,200804,010,280,1312.1954606541665,0.0
BE,200805,010,357,1742.551061860164,0.0
BE,200806,010,349,1569.273139585084,0.0
BE,200807,010,382,1956.6244950188584,0.0
BE,200808,010,285,1410.6758435547179,0.0
BE,200809,010,276,1463.6722587636257,0.0
BE,200810,010,412,2183.0263239417404,0.0
BE,200811,010,370,1761.6736574419444,0.0
BE,200812,010,515,2473.2224141513548,0.0
BE,200901,010,776,3147.6381323508513,0.0
BE,200902,010,506,2547.303301376704,0.0
BE,200903,010,801,4228.114924704734,0.0
BE,200904,010,524,2754.3076524177563,0.0
BE,200905,010,602,3194.215128574862,0.0
BE,200906,010,527,2926.64919593648,0.0
BE,200907,010,442,2327.8539594492195,0.0
BE,200908,010,504,2451.610215027033,0.0
BE,200909,010,620,3570.440481586841,0.0
BE,200910,010,543,3201.837564793039,0.0
BE,200911,010,632,3509.5598068206627,0.0
BE,200912,010,575,3271.1804759186084,0.0
BE,201001,010,591,3029.6916285561415,0.0
BE,201002,010,638,3156.7594674226652,0.0
BE,201003,010,209,1170.4476087879498,0.0
BE,201004,010,378,1991.6731600725618,0.0
BE,201005,010,296,1574.1031500125912,0.0
BE,201006,010,244,1401.6757719990003,0.0
BE,201007,010,282,1486.4985158057561,0.0
BE,201008,010,453,2478.183300195904,0.0
BE,201009,010,895,4611.355822600634,0.0
BE,201010,010,633,3826.6327907265095,0.0
BE,201011,010,732,3746.499845832898,0.0
BE,201012,010,533,3163.543530272025,0.0
BE,201101,010,517,2873.9346568923115,0.0
BE,201102,010,483,2753.7498637143885,0.0
BE,201103,010,674,3924.7014616444308,0.0
BE,201104,010,626,3346.0745163754523,0.0
BE,201105,010,542,2909.2717430398648,0.0
BE,201106,010,618,3374.6392720405292,0.0
BE,201107,010,507,2694.6054553887607,0.0
BE,201108,010,368,2024.5696548542867,0.0
BE,201109,010,509,2791.821404065312,0.0
BE,201110,010,843,4858.357354856693,0.0
BE,201111,010,586,3388.949637015702,0.0
BE,201112,010,677,3320.5102670990655,0.0
BE,201201,010,644,3434.1405750125386,0.0
BE,201202,010,666,3880.1753508580928,0.0
BE,201203,010,775,3963.45519129112,0.0
BE,201204,010,530,2892.8800364301396,0.0
BE,201205,010,658,3599.7968426251614,0.0
BE,201206,010,615,3546.2611980308643,0.0
BE,201207,010,601,3377.017269261497,0.0
BE,201208,010,425,2416.742991917606,0.0
BE,201209,010,629,3554.684888076554,0.0
BE,201210,010,697,4138.713286271815,0.0
BE,201211,010,584,1418.3243848804502,0.0
BE,201212,010,723,1825.9587244240472,0.0
BE,201301,010,589,1406.2903647434196,0.0
BE,201302,010,587,1392.8042171135728,0.0
BE,201303,010,658,1605.6026326941026,0.0
BE,201304,010,245,530.7098849012016,0.0
BE,201305,010,265,612.026878692287,0.0
BE,201306,010,461,1212.2400933943893,0.0
BE,201307,010,1024,3094.747137944582,0.0
BE,201308,010,461,1124.660727303309,0.0
BE,201309,010,701,1719.0769499400417,0.0
BE,201310,010,992,2769.9790465259202,0.0
BE,201311,010,909,2325.51149824878,0.0
BE,201312,010,622,1673.5364527599786,0.0
BE,201401,010,546,1400.2643124404472,0.0
BE,201402,010,865,2313.466295054355,0.0
BE,201403,010,854,2065.7299067336376,0.0
BE,201404,010,814,2043.8471416891814,0.0
BE,201405,010,1023,2185.230317718871,0.0
BE,201406,010,1094,2365.3553323072433,0.0
BE,201407,010,728,1736.6644929838774,0.0
BE,201408,010,645,1522.8954445825739,0.0
BE,201409,010,941,2205.573190977614,0.0
BE,201410,010,1018,2674.636031132,0.0
BE,201411,010,919,2245.9624485688873,0.0
BE,201412,010,1011,2260.846261668349,0.0
BE,201501,010,1418,2497.875004574465,0.0
BE,201502,010,999,826.3590877119781,0.0
BE,201503,010,1239,-2480.316115546724,0.0
BE,201504,010,946,-1870.7908475854663,0.0
BE,201505,010,1099,-1633.5110059002286,0.0
BE,201506,010,1482,-3377.381919772221,0.0
BE,201507,010,1118,-2101.924179265965,0.0
BE,201508,010,989,-2050.142562804248,0.0
BE,201509,010,1349,-3060.301327801761,0.0
BE,201510,010,1350,-2973.753644809987,0.0
BE,201511,010,2993,-13958.043072685756,0.0
BE,201512,010,1473,-5257.645873073456,0.0
BE,201601,010,1426,-4619.319286406604,0.0
BE,201602,010,1627,-3875.193362498161,0.0
BE,201603,010,7411,-43320.92523689631,0.0
BE,201604,010,3380,-16864.182941792667,0.0
BE,201605,010,1844,-5232.280755501643,0.0
BE,201606,010,2161,-5584.661260563865,0.0
BE,201607,010,1446,-3149.300415044176,0.0
BE,201608,010,1118,-2971.055143282809,0.0
BE,201609,010,1451,-3412.2803483406637,0.0
BE,201610,010,1792,-3543.8079037569173,0.0
BE,201611,010,1364,-2539.7492760095765,0.0
BE,201612,010,1288,-2481.038151190633,0.0
BE,201701,010,1369,-2316.8738708847595,0.0
BE,201702,010,1662,-2912.351070313412,0.0
BE,201703,010,1788,-3516.296533861399,0.0
BE,201704,010,1217,-3018.278083732305,0.0
BE,201705,010,1771,-2500.4481639701085,0.0
BE,201706,010,1548,-3860.662242482518,0.0
BE,201707,010,1084,-1716.9359902459553,0.0
BE,201708,010,954,-2849.459161780745,0.0
BE,201709,010,1109,-2098.4420065454647,0.0
BE,201710,010,1561,-3546.6538568667565,0.0
BE,201711,010,1658,-4752.555125025293,0.0
BE,201712,010,1396,-2510.7641713092034,0.0
BE,201801,010,1284,-3051.5723474436763,0.0
BE,201802,010,1260,-2910.7828264250493,0.0
BE,201803,010,1483,-2808.7012700943915,0.0
BE,201804,010,997,-1800.3100616326299,0.0
BE,201805,010,1512,-4430.997512448206,0.0
BE,201806,010,1192,-2374.469167817599,0.0
BE,201807,010,1844,-3229.2357502132295,0.0
BE,201808,010,836,-1556.4910747611184,0.0
BE,201809,010,1128,-2078.3200564458966,0.0
BE,201810,010,1509,-2303.632786083998,0.0
BE,201811,010,1340,-2436.858858850282,0.0
BE,201812,010,1356,-2962.045394115174,0.0
BE,201901,010,1612,-3603.405800884342,0.0
BE,201902,010,1389,-2518.105611051489,0.0
BE,201903,010,1689,-3462.87851580666,0.0
BE,201904,010,913,-1397.9512561052459,0.0
BE,201905,010,1154,-1332.435930770982,0.0
BE,201906,010,1105,-1562.91529281997,0.0
BE,200801,011,8,40.3419960782317,-0.7999999999999999
BE,200802,011,8,30.747565813668068,-0.7999999999999999
BE,200803,011,11,61.19082353673766,-1.0999999999999999
BE,200804,011,1,5.36332179930796,-0.1
BE,200805,011,10,43.75314761701747,-0.9999999999999999
BE,200806,011,17,74.44907276247253,-1.7000000000000004
BE,200807,011,10,53.38229000221607,-0.9999999999999999
