ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
BF,200801,010,128,677.3982859378337,0.0
BF,200802,010,139,716.2895258393247,0.0
BF,200803,010,86,460.2633191540691,0.0
BF,200804,010,94,426.0449358093778,0.0
BF,200805,010,133,671.7386655436111,0.0
BF,200806,010,105,578.7988699909124,0.0
BF,200807,010,131,678.7955616877156,0.0
BF,200808,010,98,498.7601376469401,0.0
BF,200809,010,153,634.1565249373219,0.0
BF,200810,010,116,657.7467922007382,0.0
BF,200811,010,139,770.5926596309129,0.0
BF,200812,010,85,455.851214046064,0.0
BF,200901,010,518,2556.7529052924574,0.0
BF,200902,010,162,970.2343734476971,0.0
BF,200903,010,205,1247.6529486493835,0.0
BF,200904,010,183,1038.9648146422758,0.0
BF,200905,010,254,1393.8803861737756,0.0
BF,200906,010,215,1211.8497001130952,0.0
BF,200907,010,168,843.6799530634812,0.0
BF,200908,010,180,965.8091517800138,0.0
BF,200909,010,477,2562.4884919337405,0.0
BF,200910,010,408,2343.426378389775,0.0
BF,200911,010,292,1864.2919616180293,0.0
BF,200912,010,311,1817.6200064935392,0.0
BF,201001,010,333,1940.1006392061652,0.0
BF,201002,010,287,1613.2453300549662,0.0
BF,201003,010,47,236.4367917354399,0.0
BF,201004,010,78,410.35315512049857,0.0
BF,201005,010,33,201.7208674559261,0.0
BF,201006,010,69,378.37327982082985,0.0
BF,201007,010,130,689.8768967613014,0.0
BF,201008,010,257,1451.6432884081798,0.0
BF,201009,010,338,1850.3858835966203,0.0
BF,201010,010,262,1466.3516231411436,0.0
BF,201011,010,245,1490.0831278212409,0.0
BF,201012,010,295,1778.170725127799,0.0
BF,201101,010,261,1556.849892891748,0.0
BF,201102,010,260,1679.0135641550887,0.0
BF,201103,010,296,1658.8629353981262,0.0
BF,201104,010,218,1337.2036201625904,0.0
BF,201105,010,233,1461.881526395371,0.0
BF,201106,010,189,1230.298278157804,0.0
BF,201107,010,255,1580.594316518396,0.0
BF,201108,010,397,1953.3604473973069,0.0
BF,201109,010,289,1693.3196505176038,0.0
BF,201110,010,236,1505.9281219160555,0.0
BF,201111,010,278,1701.1959902306012,0.0
BF,201112,010,221,1394.9179656482552,0.0
BF,201201,010,350,2229.784204533266,0.0
BF,201202,010,278,1705.5335609333656,0.0
BF,201203,010,447,3051.3520122591162,0.0
BF,201204,010,322,2106.127410202201,0.0
BF,201205,010,337,2183.4941576596334,0.0
BF,201206,010,322,2189.509589574104,0.0
BF,201207,010,285,1842.1939015922092,0.0
BF,201208,010,176,1099.5171028205998,0.0
BF,201209,010,263,1851.6937512515153,0.0
BF,201210,010,271,1769.035942641609,0.0
BF,201211,010,249,735.2693771938134,0.0
BF,201212,010,241,713.7018281882133,0.0
BF,201301,010,257,703.0990680483064,0.0
BF,201302,010,272,829.6481271122884,0.0
BF,201303,010,267,800.1170144823533,0.0
BF,201304,010,87,265.2780862583765,0.0
BF,201305,010,99,297.4925270720137,0.0
BF,201306,010,197,637.445600984047,0.0
BF,201307,010,423,1192.9495907907294,0.0
BF,201308,010,377,925.9738801608506,0.0
BF,201309,010,366,935.2329373632913,0.0
BF,201310,010,406,956.1135632127473,0.0
BF,201311,010,449,1247.2385196843502,0.0
BF,201312,010,314,902.1872939098984,0.0
BF,201401,010,267,633.1529687561539,0.0
BF,201402,010,394,1093.9027227525862,0.0
BF,201403,010,452,1246.4470277913483,0.0
BF,201404,010,366,885.3091709331908,0.0
BF,201405,010,487,1226.93757256424,0.0
BF,201406,010,330,888.6796832099797,0.0
BF,201407,010,382,1023.5743978291667,0.0
BF,201408,010,386,1032.1848102526824,0.0
BF,201409,010,432,1033.6853147037195,0.0
BF,201410,010,394,1196.4670659563442,0.0
BF,201411,010,426,997.7401255729402,0.0
BF,201412,010,333,762.411930178913,0.0
BF,201501,010,326,814.1090725215271,0.0
BF,201502,010,470,395.65958595119355,0.0
BF,201503,010,687,-551.6681696511914,0.0
BF,201504,010,576,-1033.122506566835,0.0
BF,201505,010,526,-423.715605268752,0.0
BF,201506,010,590,-355.3752273466451,0.0
BF,201507,010,705,-505.187746443235,0.0
BF,201508,010,616,-1055.321973907839,0.0
BF,201509,010,607,-919.2566350633305,0.0
BF,201510,010,995,-2491.0855485771344,0.0
BF,201511,010,601,-759.441532271667,0.0
BF,201512,010,519,-916.5954288932454,0.0
BF,201601,010,494,-817.993161436836,0.0
BF,201602,010,645,-853.0814892088972,0.0
BF,201603,010,517,-568.5980899128264,0.0
BF,201604,010,621,-814.8203763895302,0.0
BF,201605,010,562,-816.4455256792968,0.0
BF,201606,010,568,-806.9869492865964,0.0
BF,201607,010,522,-1067.2518378978275,0.0
BF,201608,010,477,-766.1342750773416,0.0
BF,201609,010,742,-1320.9504478769327,0.0
BF,201610,010,690,-1993.2197986517338,0.0
BF,201611,010,546,-913.2408779717323,0.0
BF,201612,010,512,-1071.7717595324689,0.0
BF,201701,010,586,-854.3624418395013,0.0
BF,201702,010,487,-687.7818572394156,0.0
BF,201703,010,529,-428.32729874987336,0.0
BF,201704,010,526,-562.9884471185254,0.0
BF,201705,010,609,-865.1104451354955,0.0
BF,201706,010,504,-797.7963206901572,0.0
BF,201707,010,493,-963.127069021139,0.0
BF,201708,010,462,-876.8667505301526,0.0
BF,201709,010,569,-1970.5262633498467,0.0
BF,201710,010,409,-576.8395025731104,0.0
BF,201711,010,385,-610.4073090737226,0.0
BF,201712,010,374,-514.9166806628027,0.0
BF,201801,010,452,-918.4692974137334,0.0
BF,201802,010,394,-505.039678683921,0.0
BF,201803,010,468,-912.9824596234484,0.0
BF,201804,010,358,-662.4985093089621,0.0
BF,201805,010,436,-612.4447188867542,0.0
BF,201806,010,408,-599.8663272564688,0.0
BF,201807,010,579,-1000.859836215477,0.0
BF,201808,010,518,-755.7874858098818,0.0
BF,201809,010,477,-438.2882435474441,0.0
BF,201810,010,513,-565.5123485913938,0.0
BF,201811,010,481,-478.48886960362296,0.0
BF,201812,010,445,-673.0888740893987,0.0
BF,201901,010,675,-974.0991532054684,0.0
BF,201902,010,542,-778.8535554722881,0.0
BF,201903,010,508,-446.4695965234786,0.0
BF,201904,010,418,-453.16654429556445,0.0
BF,201905,010,524,-790.0182791607925,0.0
BF,201906,010,434,-803.546106776305,0.0
BF,200801,011,5,29.89054267054278,-0.5
BF,200802,011,14,68.81452468867666,-1.4000000000000001
BF,200803,011,2,12.63014055179594,-0.2
BF,200804,011,6,31.78085280275061,-0.6
BF,200805,011,1,6.52680652680653,-0.1
BF,200806,011,7,36.5278590925908,-0.7
BF,200807,011,9,34.64579747971082,-0.8999999999999999
BF,200808,011,6,27.87673890389735,-0.6
BF,200809,011,2,8.9324128679907,-0.2
BF,200810,011,5,24.67630183780381,-0.5
BF,200812,011,2,12.87899244631811,-0.2
BF,200901,011,18,75.83826883635116,-1.8000000000000003
BF,200902,011,2,16.64987484848009,-0.2
BF,200903,011,7,28.61526266657995,-0.7
