ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
BH,200801,010,58,346.16069839503854,0.0
BH,200802,010,56,355.83742144163136,0.0
BH,200803,010,33,179.25341514263445,0.0
BH,200804,010,74,428.5652378372814,0.0
BH,200805,010,70,370.3206700559946,0.0
BH,200806,010,107,555.5994585711607,0.0
BH,200807,010,83,380.67026458400744,0.0
BH,200808,010,40,210.59408187144987,0.0
BH,200809,010,37,225.79687902618392,0.0
BH,200810,010,41,231.1457525871736,0.0
BH,200811,010,23,112.95466367042097,0.0
BH,200812,010,40,191.37364172873103,0.0
BH,200901,010,75,385.02850796303716,0.0
BH,200902,010,116,472.21944490031245,0.0
BH,200903,010,136,640.2950548533769,0.0
BH,200904,010,106,534.3862994932621,0.0
BH,200905,010,155,688.0533221543074,0.0
BH,200906,010,131,663.863034861193,0.0
BH,200907,010,68,382.04166129051595,0.0
BH,200908,010,100,471.3686699757642,0.0
BH,200909,010,97,432.11549457048255,0.0
BH,200910,010,120,644.3765718718324,0.0
BH,200911,010,106,502.6983410107674,0.0
BH,200912,010,139,611.732506466549,0.0
BH,201001,010,156,732.0270568635548,0.0
BH,201002,010,96,444.63667734311406,0.0
BH,201003,010,48,222.68041244703576,0.0
BH,201004,010,65,289.9543092970655,0.0
BH,201005,010,38,200.24203323242176,0.0
BH,201006,010,44,211.91450333415727,0.0
BH,201007,010,95,407.30271155802507,0.0
BH,201008,010,120,598.1726762337992,0.0
BH,201009,010,99,515.2796143426825,0.0
BH,201010,010,129,549.6672756157469,0.0
BH,201011,010,113,533.0025219958176,0.0
BH,201012,010,135,575.9338081296214,0.0
BH,201101,010,97,496.92457307949473,0.0
BH,201102,010,90,444.06494453390536,0.0
BH,201103,010,93,512.0094213569777,0.0
BH,201104,010,111,510.34667734350694,0.0
BH,201105,010,88,401.7411680446829,0.0
BH,201106,010,140,626.0761910159856,0.0
BH,201107,010,87,407.24973458137634,0.0
BH,201108,010,115,552.2091207088555,0.0
BH,201109,010,76,435.0201909852237,0.0
BH,201110,010,147,738.554851104004,0.0
BH,201111,010,133,686.5882896124793,0.0
BH,201112,010,70,325.14574725744166,0.0
BH,201201,010,112,573.839155745803,0.0
BH,201202,010,144,573.3160994803957,0.0
BH,201203,010,121,669.434644836072,0.0
BH,201204,010,98,393.7696339952302,0.0
BH,201205,010,146,693.6554320042935,0.0
BH,201206,010,119,580.9118299564677,0.0
BH,201207,010,157,810.8572904957017,0.0
BH,201208,010,100,454.8726656657921,0.0
BH,201209,010,94,404.5656366001846,0.0
BH,201210,010,69,348.50719290914435,0.0
BH,201211,010,392,624.966341147748,0.0
BH,201212,010,426,671.3733212529523,0.0
BH,201301,010,86,161.4550228566037,0.0
BH,201302,010,77,154.95956047022332,0.0
BH,201303,010,102,211.31574656381994,0.0
BH,201304,010,60,121.87466300603043,0.0
BH,201305,010,92,164.74805398045442,0.0
BH,201306,010,150,381.2390525192281,0.0
BH,201307,010,154,417.5888857901649,0.0
