ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
BK,200801,010,57,257.99131213214713,0.0
BK,200802,010,90,445.1770469627135,0.0
BK,200803,010,92,422.4638729985192,0.0
BK,200804,010,61,292.8493830424476,0.0
BK,200805,010,94,413.4054919566023,0.0
BK,200806,010,107,514.6615098490258,0.0
BK,200807,010,350,1696.4370945768694,0.0
BK,200808,010,121,546.1466952545957,0.0
BK,200809,010,85,439.4957402132939,0.0
BK,200810,010,94,399.43713231693783,0.0
BK,200811,010,75,341.0208003898353,0.0
BK,200812,010,111,541.9271909473432,0.0
BK,200901,010,88,308.66764601298325,0.0
BK,200902,010,81,357.7069352543719,0.0
BK,200903,010,89,395.9574462928914,0.0
BK,200904,010,66,318.5583402440726,0.0
BK,200905,010,161,756.9761207103564,0.0
BK,200906,010,102,429.0434267785254,0.0
BK,200907,010,83,373.0428082804487,0.0
BK,200908,010,67,335.2997622116956,0.0
BK,200909,010,67,331.6456402180016,0.0
BK,200910,010,268,1352.3028345932498,0.0
BK,200911,010,141,760.657951987878,0.0
BK,200912,010,106,564.3084848906109,0.0
BK,201001,010,71,314.73668279588094,0.0
BK,201002,010,106,478.6096692960395,0.0
BK,201003,010,69,316.33827411859096,0.0
BK,201004,010,134,648.528391001931,0.0
BK,201005,010,91,484.81397031403094,0.0
BK,201006,010,44,233.84252213043484,0.0
BK,201007,010,87,455.23329722038045,0.0
BK,201008,010,77,366.69683389322046,0.0
BK,201009,010,109,527.569036865689,0.0
BK,201010,010,142,755.0536296602447,0.0
BK,201011,010,77,386.51965567299493,0.0
BK,201012,010,104,550.2185195103181,0.0
BK,201101,010,80,358.1567875675949,0.0
BK,201102,010,68,300.3721233622537,0.0
BK,201103,010,88,407.6012553487013,0.0
BK,201104,010,96,481.820534229741,0.0
BK,201105,010,283,1275.3618078004072,0.0
BK,201106,010,167,684.3889138051768,0.0
BK,201107,010,149,674.8414672700168,0.0
BK,201108,010,76,372.0662496682639,0.0
BK,201109,010,79,382.0277815473658,0.0
BK,201110,010,142,596.9461983818222,0.0
BK,201111,010,142,677.4279800463429,0.0
BK,201112,010,71,339.39274641669965,0.0
BK,201201,010,119,516.9928438649856,0.0
BK,201202,010,97,531.0048836582478,0.0
BK,201203,010,72,350.4602015009726,0.0
BK,201204,010,105,499.3737433042003,0.0
BK,201205,010,277,1140.8204286596906,0.0
BK,201206,010,91,439.72739798039765,0.0
BK,201207,010,136,640.0450906449033,0.0
BK,201208,010,68,307.6709613997329,0.0
BK,201209,010,68,395.2094869806257,0.0
BK,201210,010,80,444.1624045024036,0.0
BK,201211,010,56,151.77442079422454,0.0
BK,201212,010,63,135.1335974820226,0.0
BK,201301,010,43,88.22567546603523,0.0
BK,201302,010,37,74.73396079266173,0.0
BK,201303,010,60,139.1800416964482,0.0
BK,201304,010,33,64.6367880978369,0.0
BK,201305,010,24,47.346929077339134,0.0
BK,201306,010,36,72.77587673484535,0.0
BK,201307,010,68,174.58879560505898,0.0
BK,201308,010,39,92.61028630435207,0.0
BK,201309,010,55,115.32544808569604,0.0
BK,201310,010,63,160.5085913681916,0.0
BK,201311,010,52,108.12177260286683,0.0
BK,201312,010,55,124.95347504880068,0.0
BK,201401,010,38,70.84854884255863,0.0
BK,201402,010,164,264.85600064276207,0.0
BK,201403,010,64,174.0097596575239,0.0
BK,201404,010,56,116.76535084623312,0.0
BK,201405,010,191,381.4336044072138,0.0
BK,201406,010,110,244.6081367476555,0.0
BK,201407,010,124,273.13314731683505,0.0
BK,201408,010,74,134.0572686084494,0.0
BK,201409,010,93,189.95944192579825,0.0
BK,201410,010,105,195.8869660632322,0.0
BK,201411,010,51,93.93566931428069,0.0
BK,201412,010,115,208.58329936468482,0.0
BK,201501,010,55,130.61026500563852,0.0
BK,201502,010,145,-123.38530595078232,0.0
BK,201503,010,162,-873.5060113516473,0.0
BK,201504,010,164,-878.687150236599,0.0
BK,201505,010,128,-436.79068007916334,0.0
BK,201506,010,184,-467.89351127451226,0.0
BK,201507,010,400,-2197.5927366983346,0.0
BK,201508,010,87,-290.72892247842594,0.0
BK,201509,010,103,-320.228938110428,0.0
BK,201510,010,103,-426.6137458504636,0.0
BK,201511,010,208,-752.500894836767,0.0
BK,201512,010,124,-455.3004948578279,0.0
BK,201601,010,82,-203.57268560921293,0.0
BK,201602,010,165,-662.1141169510989,0.0
BK,201603,010,283,-1679.7139754726034,0.0
BK,201604,010,129,-423.59263083153934,0.0
BK,201605,010,122,-443.06291782847774,0.0
BK,201606,010,117,-358.050470897835,0.0
BK,201607,010,129,-610.2423502031556,0.0
BK,201608,010,84,-271.2957726736096,0.0
BK,201609,010,149,-480.15075081365546,0.0
BK,201610,010,126,-429.2273144721266,0.0
BK,201611,010,119,-443.99812453659735,0.0
BK,201612,010,200,-1108.1544567091805,0.0
BK,201701,010,87,-230.2007925045457,0.0
BK,201702,010,131,-411.02750880063644,0.0
BK,201703,010,114,-370.82802505878254,0.0
