ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
BR,200801,010,826,1953.968589779615,0.0
BR,200802,010,1006,2527.2927235623397,0.0
BR,200803,010,798,2203.3141078092804,0.0
BR,200804,010,976,2581.9205665489835,0.0
BR,200805,010,1179,3169.2420362479024,0.0
BR,200806,010,1099,2265.2057036923384,0.0
BR,200807,010,1159,2632.703770562574,0.0
BR,200808,010,1045,2018.485028373998,0.0
BR,200809,010,832,2242.444237365188,0.0
BR,200810,010,1210,2670.319358237932,0.0
BR,200811,010,1575,3045.5447533307483,0.0
BR,200812,010,2006,3385.1569023283014,0.0
BR,200901,010,3288,5004.044806312725,0.0
BR,200902,010,2282,4008.7640804466255,0.0
BR,200903,010,2028,4150.466991776579,0.0
BR,200904,010,1920,3687.986932492458,0.0
BR,200905,010,2350,4447.226426009717,0.0
BR,200906,010,2523,5754.134929159816,0.0
BR,200907,010,664,3146.150150018589,0.0
BR,200908,010,812,4250.14409211075,0.0
BR,200909,010,1213,5931.944529639724,0.0
BR,200910,010,839,4171.9013285633755,0.0
BR,200911,010,916,4643.939857852387,0.0
BR,200912,010,1177,5924.363255272358,0.0
BR,201001,010,991,4832.366568371863,0.0
BR,201002,010,766,3626.5420714517154,0.0
BR,201003,010,248,1443.7159139766313,0.0
BR,201004,010,497,2434.0591812477915,0.0
BR,201005,010,380,2035.1156679649691,0.0
BR,201006,010,290,1429.2099217056016,0.0
BR,201007,010,350,1874.8971926580023,0.0
BR,201008,010,1004,5576.945953830677,0.0
BR,201009,010,917,5324.8117495331135,0.0
BR,201010,010,903,5359.440182821823,0.0
BR,201011,010,820,4541.288250183921,0.0
BR,201012,010,1023,6046.773834763959,0.0
BR,201101,010,963,4834.131192688189,0.0
BR,201102,010,928,4688.404590778718,0.0
BR,201103,010,870,4938.576472602602,0.0
BR,201104,010,831,4226.635529548042,0.0
BR,201105,010,641,3985.317914055553,0.0
BR,201106,010,758,4307.7883887957105,0.0
BR,201107,010,664,3822.915478591854,0.0
BR,201108,010,830,4366.917818841126,0.0
BR,201109,010,735,4257.29698771724,0.0
BR,201110,010,589,3416.065260920693,0.0
BR,201111,010,756,4085.4441179821133,0.0
BR,201112,010,477,2642.637552035724,0.0
BR,201201,010,713,3717.633757305459,0.0
BR,201202,010,873,4951.600888069361,0.0
BR,201203,010,1046,5610.963467550107,0.0
BR,201204,010,1001,5493.445032829204,0.0
BR,201205,010,820,4727.981064809291,0.0
BR,201206,010,1179,7475.3113991796645,0.0
BR,201207,010,658,3826.8499709840116,0.0
BR,201208,010,696,4167.764644538224,0.0
BR,201209,010,813,4548.948647513817,0.0
BR,201210,010,702,3942.083086811112,0.0
BR,201211,010,607,1519.233478255739,0.0
BR,201212,010,624,1622.9552508963782,0.0
BR,201301,010,866,1744.4725833119319,0.0
BR,201302,010,559,1321.1634234063722,0.0
BR,201303,010,701,1642.7161721490625,0.0
BR,201304,010,373,867.5143537563325,0.0
BR,201305,010,380,911.1394244925855,0.0
BR,201306,010,538,1326.0680190340317,0.0
BR,201307,010,1881,4155.313251432654,0.0
BR,201308,010,1565,3102.953953598404,0.0
BR,201309,010,1447,3243.14660868262,0.0
BR,201310,010,1332,2961.901010559695,0.0
BR,201311,010,1079,2511.9062343933997,0.0
BR,201312,010,953,2185.3406030402116,0.0
BR,201401,010,656,1332.2944467755724,0.0
BR,201402,010,809,1769.3918791838141,0.0
BR,201403,010,676,1483.440168964101,0.0
BR,201404,010,1004,2158.502246790512,0.0
BR,201405,010,641,1363.035681130662,0.0
BR,201406,010,503,1000.2467067195971,0.0
BR,201407,010,946,2134.5508864882345,0.0
BR,201408,010,1025,2325.641346141404,0.0
BR,201409,010,1045,2324.248109583879,0.0
BR,201410,010,1287,2896.2297093688076,0.0
BR,201411,010,967,2109.27865989803,0.0
BR,201412,010,914,1885.4379237441487,0.0
BR,201501,010,898,1953.3901620210231,0.0
BR,201502,010,1208,827.3791529354778,0.0
BR,201503,010,1426,-3143.7203464011577,0.0
BR,201504,010,1360,-2546.673435523191,0.0
BR,201505,010,1128,-1722.7916448299195,0.0
BR,201506,010,1069,-1522.4528263844932,0.0
BR,201507,010,1467,-1588.976370154512,0.0
BR,201508,010,1426,-2108.0482928895653,0.0
BR,201509,010,1367,-1975.9884397396042,0.0
BR,201510,010,1249,-1750.2431951477313,0.0
BR,201511,010,1999,-6054.884857290463,0.0
BR,201512,010,1718,-3566.7856216516884,0.0
BR,201601,010,1887,-5116.351763209452,0.0
BR,201602,010,2730,-9797.4497835671,0.0
BR,201603,010,2309,-7139.817408470517,0.0
BR,201604,010,1931,-5667.2681463576855,0.0
BR,201605,010,2103,-5335.451108516504,0.0
BR,201606,010,1594,-3733.667439770274,0.0
BR,201607,010,1557,-3043.9494191501576,0.0
BR,201608,010,2479,-4920.509882126916,0.0
BR,201609,010,1967,-3904.0869586214194,0.0
BR,201610,010,1665,-3629.8136968640883,0.0
BR,201611,010,1391,-2367.8107118682037,0.0
BR,201612,010,1596,-2215.856548857032,0.0
BR,201701,010,1984,-7711.017814824471,0.0
BR,201702,010,1391,-2456.2689393344644,0.0
BR,201703,010,1526,-3139.2653078281587,0.0
BR,201704,010,1299,-2292.8972420734917,0.0
BR,201705,010,1356,-2805.870134737821,0.0
BR,201706,010,1261,-2214.234057065868,0.0
BR,201707,010,1112,-2284.9311803643673,0.0
BR,201708,010,1172,-2309.450330248522,0.0
BR,201709,010,1171,-2117.0784742693186,0.0
BR,201710,010,1233,-2010.0706798121748,0.0
BR,201711,010,1203,-1248.7113668634852,0.0
BR,201712,010,994,-1260.588264160229,0.0
BR,201801,010,1077,-2472.3077654389913,0.0
BR,201802,010,1033,-1795.9862048934078,0.0
BR,201803,010,1199,-2256.6243283585154,0.0
BR,201804,010,1162,-2082.452988738754,0.0
BR,201805,010,1167,-2209.4256983190876,0.0
BR,201806,010,889,-1276.5463037484344,0.0
BR,201807,010,1164,-1763.3593495965426,0.0
BR,201808,010,1202,-2402.2762080002226,0.0
BR,201809,010,1516,-3673.158691923784,0.0
BR,201810,010,1875,-3689.908014726997,0.0
BR,201811,010,1537,-2557.0818632808123,0.0
BR,201812,010,1452,-3289.811060425622,0.0
BR,201901,010,2277,-5615.075025683501,0.0
BR,201902,010,1471,-3455.8060458991117,0.0
BR,201903,010,1621,-3865.2186608903517,0.0
BR,201904,010,1424,-3116.2273021408437,0.0
BR,201905,010,1531,-3538.189157803259,0.0
BR,201906,010,1452,-3365.788396150455,0.0
BR,200801,011,10,55.43793170854414,-0.9999999999999999
BR,200802,011,20,91.92364364071015,-2.0000000000000004
BR,200803,011,6,18.45158775014671,-0.6
BR,200804,011,11,65.78834146540662,-1.0999999999999999
BR,200806,011,20,81.7688397751948,-2.0000000000000004
BR,200807,011,3,21.10722364568654,-0.30000000000000004
BR,200808,011,4,14.851666561256778,-0.4
BR,200809,011,4,22.484650549528332,-0.4
BR,200810,011,2,17.29602134522107,-0.2
BR,200811,011,5,12.14465247151224,-0.5
BR,200812,011,5,19.841813087994403,-0.5
BR,200901,011,7,24.64114523511332,-0.7
BR,200902,011,10,42.62914449274275,-0.9999999999999999
BR,200903,011,24,111.99235659741962,-2.400000000000001
BR,200904,011,12,58.455697239894626,-1.2
BR,200905,011,11,51.97032856533495,-1.0999999999999999
BR,200906,011,46,176.4011918218642,-4.6
BR,200907,011,16,71.42184290874054,-1.6000000000000003
BR,200908,011,22,124.81588777504892,-2.2000000000000006
BR,200909,011,30,161.91083532218303,-3.0000000000000013
BR,200910,011,18,80.88974160716452,-1.8000000000000005
BR,200911,011,18,62.69784748326975,-1.8000000000000005
BR,200912,011,44,173.03781869479886,-4.400000000000002
BR,201001,011,19,109.00106291818352,-1.9000000000000006
BR,201002,011,8,35.71746760718764,-0.7999999999999999
BR,201003,011,7,38.67234670602443,-0.7
BR,201004,011,18,75.24164077865038,-1.8000000000000005
BR,201005,011,6,27.87099039933283,-0.6
BR,201006,011,8,24.945925263737486,-0.7999999999999999
BR,201007,011,4,12.7936537670432,-0.4
BR,201008,011,43,223.9505676210669,-4.300000000000001
BR,201009,011,14,66.88602067622574,-1.4000000000000001
BR,201010,011,24,114.66167103025529,-2.4000000000000012
BR,201011,011,12,58.64155105579141,-1.2
BR,201012,011,31,176.5886616297537,-3.1000000000000014
BR,201101,011,50,250.52119162908141,-4.999999999999999
BR,201102,011,18,49.78182821847158,-1.8000000000000005
BR,201103,011,26,124.34316352624894,-2.600000000000001
BR,201104,011,14,77.92567818165162,-1.4000000000000001
BR,201105,011,14,68.05871063873585,-1.4000000000000004
BR,201106,011,29,134.3606511051059,-2.9000000000000012
BR,201107,011,15,65.57331595409262,-1.5000000000000002
BR,201108,011,15,56.3786617470421,-1.5000000000000002
BR,201109,011,7,30.463705056712953,-0.7
BR,201110,011,6,25.86712413297434,-0.6
BR,201111,011,12,43.42394757281002,-1.2
BR,201112,011,12,26.54194980185422,-1.2
BR,201201,011,22,71.80021832959933,-2.2000000000000006
BR,201202,011,38,176.72560185784536,-3.8000000000000025
BR,201203,011,43,153.4521039687096,-4.300000000000001
BR,201204,011,5,30.129303774011962,-0.5
BR,201205,011,18,102.12985548475311,-1.8000000000000005
BR,201206,011,15,103.81122838725794,-1.5000000000000004
BR,201207,011,7,41.027212672140465,-0.7
BR,201208,011,16,102.35371010012858,-1.6000000000000003
BR,201209,011,16,76.83433101625792,-1.6000000000000003
BR,201210,011,14,48.14615068260133,-1.4000000000000001
BR,201211,011,11,21.871074261298016,-1.0999999999999999
BR,201212,011,21,47.43213042384876,-2.1000000000000005
BR,201301,011,24,39.63037611298921,-2.400000000000001
BR,201302,011,16,22.017821330125486,-1.6000000000000003
BR,201303,011,7,14.21205984673788,-0.7
BR,201304,011,7,13.883636209363477,-0.7
BR,201305,011,11,17.51985075558134,-1.0999999999999999
