ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
CN,200801,010,7,27.926775842230526,0.0
CN,200802,010,24,93.91931713089987,0.0
CN,200803,010,144,614.0282114429904,0.0
CN,200804,010,11,53.289363103826965,0.0
CN,200805,010,6,22.069915468360872,0.0
CN,200806,010,7,28.973820886005665,0.0
CN,200807,010,11,53.93870510929251,0.0
CN,200808,010,8,21.23504477196901,0.0
CN,200809,010,1,0.757002271006813,0.0
CN,200810,010,2,8.42235255804654,0.0
CN,200811,010,3,11.549329516319679,0.0
CN,200812,010,15,42.79828916252577,0.0
CN,200901,010,9,35.32931660496371,0.0
CN,200902,010,12,35.52971804211153,0.0
CN,200903,010,14,69.48325377281338,0.0
CN,200904,010,8,69.5786743754988,0.0
CN,200905,010,9,38.91068355849262,0.0
CN,200906,010,84,283.6996668079536,0.0
CN,200907,010,112,413.04381450867163,0.0
CN,200908,010,21,67.5837008368919,0.0
CN,200909,010,7,40.54318082378719,0.0
CN,200910,010,1,1.08695652173913,0.0
CN,200911,010,7,47.44769047019749,0.0
CN,200912,010,37,149.65987508527613,0.0
CN,201001,010,13,40.6703738031808,0.0
CN,201002,010,10,39.126765071308874,0.0
CN,201004,010,22,98.55826025987463,0.0
CN,201005,010,7,17.119347466016542,0.0
CN,201006,010,1,5.8252427184466,0.0
CN,201007,010,3,20.39337474120082,0.0
CN,201008,010,5,29.04910714285716,0.0
CN,201009,010,4,19.70327210516749,0.0
CN,201010,010,13,62.92870261158126,0.0
CN,201011,010,11,44.53751612569762,0.0
CN,201012,010,22,92.5835816104049,0.0
CN,201101,010,23,101.36343744734619,0.0
CN,201102,010,11,46.27694544851222,0.0
CN,201103,010,2,7.997770675978959,0.0
CN,201104,010,3,9.158213025668491,0.0
CN,201105,010,8,41.82696492014831,0.0
CN,201106,010,13,46.54302310938292,0.0
CN,201108,010,7,26.915439406952512,0.0
CN,201109,010,7,36.75067749600468,0.0
CN,201110,010,7,60.35459155009258,0.0
CN,201111,010,2,17.72575250836117,0.0
CN,201112,010,1,12.1621621621622,0.0
CN,201201,010,12,85.74603345613595,0.0
CN,201202,010,3,20.95978528688784,0.0
CN,201203,010,10,46.47428598196009,0.0
CN,201204,010,10,59.363507633214,0.0
CN,201205,010,2,20.52929865398239,0.0
CN,201206,010,1,3.82513661202186,0.0
CN,201207,010,5,38.04730291247952,0.0
CN,201208,010,1,6.30372492836676,0.0
CN,201209,010,7,55.03374663039095,0.0
CN,201210,010,3,12.15351812366739,0.0
CN,201211,010,4,15.00948247030909,0.0
CN,201212,010,6,20.661856100208478,0.0
CN,201302,010,1,7.06806282722513,0.0
CN,201303,010,2,5.60747663551402,0.0
CN,201304,010,4,8.530497524054997,0.0
CN,201306,010,2,0.0,0.0
CN,201307,010,10,22.237812112583786,0.0
CN,201308,010,3,3.173039022467484,0.0
CN,201309,010,8,5.990648743424897,0.0
CN,201310,010,8,8.117400004541874,0.0
CN,201311,010,14,35.224907525856665,0.0
CN,201312,010,7,29.30026314883876,0.0
CN,201401,010,12,22.51879326604049,0.0
CN,201402,010,6,9.457430442827313,0.0
CN,201403,010,5,14.650249821173475,0.0
CN,201404,010,3,8.659629640144269,0.0
CN,201405,010,12,19.46469763917705,0.0
CN,201406,010,1,2.91970802919708,0.0
CN,201407,010,2,-0.686355217122855,0.0
CN,201408,010,2,3.756849211394666,0.0
CN,201409,010,19,27.174866304030576,0.0
CN,201410,010,4,4.86121038818839,0.0
CN,201411,010,18,34.72477022116523,0.0
CN,201412,010,4,13.2477700910848,0.0
CN,201501,010,5,9.9408739678279,0.0
CN,201502,010,6,8.268980989536104,0.0
CN,201503,010,22,5.616776760146645,0.0
CN,201504,010,7,-23.02245703353944,0.0
CN,201505,010,2,-5.50889305497569,0.0
CN,201506,010,7,-21.87331717800627,0.0
CN,201507,010,19,-41.998358702291746,0.0
CN,201508,010,5,-22.160453925159768,0.0
CN,201509,010,13,-14.985407478230265,0.0
CN,201510,010,5,4.87446993523656,0.0
CN,201511,010,17,-52.142832573024464,0.0
CN,201512,010,5,-8.154140713060821,0.0
CN,201601,010,32,-102.29090128106884,0.0
CN,201602,010,16,-27.82016255108623,0.0
CN,201603,010,10,-20.44055535152746,0.0
CN,201604,010,8,-16.06955894444604,0.0
CN,201605,010,37,22.23184502886981,0.0
CN,201606,010,5,-6.903997941658734,0.0
CN,201607,010,4,-12.499201328988562,0.0
CN,201608,010,5,-14.80499702025309,0.0
CN,201609,010,25,-15.18494733345574,0.0
CN,201610,010,8,-5.29772519681616,0.0
CN,201611,010,11,30.395092973178592,0.0
CN,201612,010,3,-13.31650740470718,0.0
CN,201701,010,5,-16.455034886313552,0.0
CN,201702,010,2,-6.45175541441101,0.0
CN,201703,010,9,-30.83791616286156,0.0
CN,201704,010,6,-21.134890652131098,0.0
CN,201705,010,27,-44.023355653414995,0.0
CN,201706,010,175,-117.21678790277188,0.0
CN,201707,010,61,-253.9759300104445,0.0
CN,201708,010,5,-7.73404384182275,0.0
CN,201709,010,5,-11.942587947092871,0.0
CN,201710,010,6,-28.60533406712645,0.0
CN,201711,010,22,-161.40462528094037,0.0
CN,201712,010,6,-3.58786348578562,0.0
CN,201801,010,7,-53.63900467513725,0.0
CN,201802,010,6,-34.450587464845654,0.0
CN,201803,010,9,-5.677955883122699,0.0
CN,201804,010,10,-0.36336065227119496,0.0
CN,201805,010,23,-77.63712779713786,0.0
CN,201806,010,12,-46.531475169373834,0.0
CN,201807,010,17,-87.61891986234714,0.0
CN,201808,010,21,-88.14534735648218,0.0
CN,201809,010,24,-80.09821601840784,0.0
CN,201810,010,64,-398.89050329208584,0.0
CN,201811,010,9,-27.241091735737626,0.0
CN,201812,010,4,-16.477441161049,0.0
CN,201901,010,3,-8.92872848924528,0.0
CN,201902,010,1,-2.99145299145299,0.0
CN,201903,010,63,-255.36299536492928,0.0
CN,201904,010,30,-169.46990158655487,0.0
CN,201905,010,3,-4.422026900194441,0.0
CN,201906,010,2,-8.6206896551724,0.0
CN,200803,011,5,22.32159509786287,-0.5
CN,200907,011,2,6.78807947019868,-0.2
CN,201012,011,4,12.34766586199256,-0.4
CN,201101,011,1,2.86944045911047,-0.1
CN,201104,011,1,5.75221238938053,-0.1
CN,201609,011,1,0.81018518518519,-0.1
CN,201610,011,2,-4.19017719514091,-0.2
CN,201806,011,3,-7.786168570088851,-0.30000000000000004
CN,201810,011,2,-17.08333333333334,-0.2
CN,200801,012,4,15.51433389544688,-1.6
CN,200802,012,4,20.24309744575419,-1.6
CN,200803,012,14,70.84845718317604,-5.6000000000000005
CN,200806,012,3,12.62135922330096,-1.2000000000000002
CN,200807,012,4,20.64578260403715,-1.6
CN,200808,012,5,15.76031656302998,-2.0
CN,200903,012,3,12.88761399600806,-1.2000000000000002
CN,200904,012,1,4.22264875239923,-0.4
CN,200906,012,8,29.899662877685213,-3.1999999999999997
CN,200907,012,31,135.90871214965426,-12.400000000000006
CN,200909,012,1,6.31067961165049,-0.4
CN,200912,012,1,3.88007054673721,-0.4
CN,201001,012,4,13.65070258586133,-1.6
CN,201004,012,9,30.50851043114593,-3.5999999999999996
