ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
CT,200801,010,13,66.03632716959666,0.0
CT,200802,010,23,99.42803001917163,0.0
CT,200803,010,56,278.9272518182759,0.0
CT,200804,010,22,131.69317738117692,0.0
CT,200805,010,49,212.48431878119004,0.0
CT,200806,010,15,111.16226963303454,0.0
CT,200807,010,36,146.71451881155582,0.0
CT,200808,010,20,84.99090059436928,0.0
CT,200809,010,25,114.78097623239702,0.0
CT,200810,010,16,80.11385746869499,0.0
CT,200811,010,36,198.51252101971312,0.0
CT,200812,010,45,255.48222602962204,0.0
CT,200901,010,116,473.6447163254943,0.0
CT,200902,010,53,231.72721329509596,0.0
CT,200903,010,39,168.80853917760376,0.0
CT,200904,010,46,211.75513063442435,0.0
CT,200905,010,47,230.14724279093406,0.0
CT,200906,010,66,309.9436211755682,0.0
CT,200907,010,18,109.08369654608777,0.0
CT,200908,010,47,216.60154003430557,0.0
CT,200909,010,34,200.1134950429121,0.0
CT,200910,010,48,283.513468425819,0.0
CT,200911,010,39,181.6780892790516,0.0
CT,200912,010,32,175.5052556861086,0.0
CT,201001,010,54,293.2247688405134,0.0
CT,201002,010,25,130.7800601943184,0.0
CT,201003,010,21,71.69649808802313,0.0
CT,201004,010,14,64.24549421524424,0.0
CT,201005,010,19,79.32954578425998,0.0
CT,201006,010,18,92.93530867529205,0.0
CT,201007,010,39,142.56351997395808,0.0
CT,201008,010,47,226.77121449817932,0.0
CT,201009,010,19,85.22414859755995,0.0
CT,201010,010,45,192.17128629969446,0.0
CT,201011,010,100,475.42653654040436,0.0
CT,201012,010,40,244.358202890203,0.0
CT,201101,010,50,221.50664826955997,0.0
CT,201102,010,41,163.81549379883683,0.0
CT,201103,010,46,178.786219626697,0.0
CT,201104,010,73,347.02735515028695,0.0
CT,201105,010,21,75.30848443486107,0.0
CT,201106,010,30,117.58981979541102,0.0
CT,201107,010,36,213.69049319144588,0.0
CT,201108,010,17,78.83198346726391,0.0
CT,201109,010,18,70.449412403312,0.0
CT,201110,010,22,97.34241082762429,0.0
CT,201111,010,30,118.21954521235992,0.0
CT,201112,010,31,170.8754434954147,0.0
CT,201201,010,34,153.92457902154138,0.0
CT,201202,010,39,186.77057127192532,0.0
CT,201203,010,79,405.3542904962296,0.0
CT,201204,010,43,227.21112070135825,0.0
CT,201205,010,75,286.8781589916206,0.0
CT,201206,010,20,98.07061298802618,0.0
