ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
FR,200801,010,1929,9885.390271891423,0.0
FR,200802,010,2388,11584.22222204611,0.0
FR,200803,010,1542,7700.595392448207,0.0
FR,200804,010,1724,8685.441918304201,0.0
FR,200805,010,1774,9101.352102240216,0.0
FR,200806,010,1850,9397.702290896796,0.0
FR,200807,010,2429,12255.692559967518,0.0
FR,200808,010,1377,6689.47903592207,0.0
FR,200809,010,1434,7619.727616986327,0.0
FR,200810,010,1885,9964.687998862062,0.0
FR,200811,010,1753,8830.365620113413,0.0
FR,200812,010,1892,9366.391089136676,0.0
FR,200901,010,2747,12575.03408288823,0.0
FR,200902,010,2600,12503.262409758901,0.0
FR,200903,010,2543,13000.772423715594,0.0
FR,200904,010,2700,13167.334365673189,0.0
FR,200905,010,2513,12623.023569741592,0.0
FR,200906,010,3812,17054.0905867671,0.0
FR,200907,010,2206,11070.13728206525,0.0
FR,200908,010,2809,13822.822688208322,0.0
FR,200909,010,3194,16751.39366320032,0.0
FR,200910,010,3149,16536.575174709258,0.0
FR,200911,010,2132,12339.42389239561,0.0
FR,200912,010,2346,12527.551685944698,0.0
FR,201001,010,2785,14801.962955499652,0.0
FR,201002,010,2653,13947.083573087584,0.0
FR,201003,010,851,4631.036534278887,0.0
FR,201004,010,1487,7619.022311122693,0.0
FR,201005,010,1171,6333.220604786903,0.0
FR,201006,010,1094,5768.188585790456,0.0
FR,201007,010,1578,8161.2174468265885,0.0
FR,201008,010,2471,12809.376230530797,0.0
FR,201009,010,3697,19047.14017329428,0.0
FR,201010,010,3258,16023.812901820578,0.0
FR,201011,010,3231,16888.914322836517,0.0
FR,201012,010,2779,15285.008972043588,0.0
FR,201101,010,2666,14064.115441073185,0.0
FR,201102,010,2354,12649.613861550768,0.0
FR,201103,010,4148,21684.696709562097,0.0
FR,201104,010,3288,17407.729334361946,0.0
FR,201105,010,3446,19316.704296129985,0.0
FR,201106,010,3193,17618.47746840501,0.0
FR,201107,010,3213,17218.837554940594,0.0
FR,201108,010,2676,14662.674863917071,0.0
FR,201109,010,3352,18261.580989955535,0.0
FR,201110,010,2631,14967.83033959103,0.0
FR,201111,010,2644,14338.33213128168,0.0
FR,201112,010,2429,12874.83706983785,0.0
FR,201201,010,3342,16588.758245932855,0.0
FR,201202,010,3486,18940.738214765555,0.0
FR,201203,010,4980,22997.55407442533,0.0
FR,201204,010,3488,18562.424227085772,0.0
FR,201205,010,3897,22495.932018600128,0.0
FR,201206,010,3091,16653.208311638027,0.0
FR,201207,010,3122,17058.534056708762,0.0
FR,201208,010,2275,12585.229282210876,0.0
FR,201209,010,3330,18315.689648725765,0.0
FR,201210,010,3289,17055.602837205504,0.0
FR,201211,010,3086,8284.816428778742,0.0
FR,201212,010,2322,5880.660412070742,0.0
FR,201301,010,4481,8930.192129179784,0.0
FR,201302,010,3028,6930.5486869724355,0.0
FR,201303,010,2772,6335.685178853604,0.0
FR,201304,010,1656,3363.3798143287245,0.0
FR,201305,010,1575,3707.8585829122308,0.0
FR,201306,010,2333,5586.3223196280815,0.0
FR,201307,010,3694,8169.863617232059,0.0
FR,201308,010,3089,7296.029781987806,0.0
FR,201309,010,3694,8629.740589343546,0.0
FR,201310,010,5543,12149.374128187223,0.0
FR,201311,010,5888,11472.531328708059,0.0
FR,201312,010,3317,7948.264931723574,0.0
FR,201401,010,3032,7390.014803096883,0.0
FR,201402,010,3179,7834.668032226013,0.0
FR,201403,010,3484,8114.841319438707,0.0
FR,201404,010,3509,8435.586558482175,0.0
FR,201405,010,3747,8686.737616225864,0.0
FR,201406,010,3631,8584.820614372506,0.0
FR,201407,010,4889,10056.646933522876,0.0
FR,201408,010,4729,9708.804918584336,0.0
FR,201409,010,6495,12717.115349893542,0.0
FR,201410,010,4521,10773.922877656067,0.0
FR,201411,010,4195,9378.722087045931,0.0
FR,201412,010,3869,8831.228444777076,0.0
FR,201501,010,10638,22352.515230441142,0.0
FR,201502,010,5912,716.645484948234,0.0
FR,201503,010,7143,-18868.859298571697,0.0
FR,201504,010,5808,-12944.34034225562,0.0
FR,201505,010,4974,-9132.747439930557,0.0
FR,201506,010,6362,-16547.32521966148,0.0
FR,201507,010,6218,-11946.768261313513,0.0
FR,201508,010,6039,-14505.11877365518,0.0
FR,201509,010,5554,-10100.434986820537,0.0
FR,201510,010,5709,-10643.51059340795,0.0
FR,201511,010,14400,-56987.90320577716,0.0
FR,201512,010,9467,-23743.168683256554,0.0
FR,201601,010,7114,-20193.186986579036,0.0
FR,201602,010,5693,-10990.628932002284,0.0
FR,201603,010,7254,-26141.092668469897,0.0
FR,201604,010,6826,-18567.982226028973,0.0
FR,201605,010,6781,-13623.78575394779,0.0
FR,201606,010,6381,-12501.988625803604,0.0
FR,201607,010,8702,-27004.918136375134,0.0
FR,201608,010,6390,-17770.921435201224,0.0
FR,201609,010,6814,-15148.973489955033,0.0
FR,201610,010,6835,-14454.733910770981,0.0
FR,201611,010,6386,-9790.19775047054,0.0
FR,201612,010,5484,-10525.542400539041,0.0
FR,201701,010,6220,-10218.741602590017,0.0
FR,201702,010,6042,-12214.562360506276,0.0
FR,201703,010,6645,-13958.718171398195,0.0
FR,201704,010,6158,-13517.32103967526,0.0
FR,201705,010,7070,-9934.87100668367,0.0
FR,201706,010,6832,-11586.173520198114,0.0
FR,201707,010,5491,-8361.615291364471,0.0
FR,201708,010,3912,-8874.829407911087,0.0
FR,201709,010,5179,-10813.382510773827,0.0
FR,201710,010,5238,-10525.176014078528,0.0
FR,201711,010,5435,-9209.187347143834,0.0
FR,201712,010,4548,-8509.959391142283,0.0
FR,201801,010,4986,-10462.026710071095,0.0
FR,201802,010,4398,-8595.766685295304,0.0
FR,201803,010,5675,-12834.916119894187,0.0
FR,201804,010,5445,-11087.327666529123,0.0
FR,201805,010,5673,-10090.275716898292,0.0
FR,201806,010,5048,-9309.251393780887,0.0
FR,201807,010,4698,-7693.826587009665,0.0
FR,201808,010,4160,-8936.819829998478,0.0
FR,201809,010,4724,-8050.556734772169,0.0
FR,201810,010,5140,-9917.784901052077,0.0
FR,201811,010,5877,-12070.568502279908,0.0
FR,201812,010,5180,-16726.642089919736,0.0
FR,201901,010,4754,-10948.198825874619,0.0
FR,201902,010,4775,-9325.456679754272,0.0
FR,201903,010,5066,-10576.68548083159,0.0
FR,201904,010,5729,-9984.332678609779,0.0
FR,201905,010,5298,-10496.802421061833,0.0
FR,201906,010,4725,-6545.071685450745,0.0
FR,200801,011,65,296.33677870346895,-6.499999999999996
FR,200802,011,76,314.1134753849414,-7.5999999999999925
FR,200803,011,36,175.65686970677663,-3.600000000000002
FR,200804,011,61,293.32792699667874,-6.099999999999996
FR,200805,011,33,153.53124817718202,-3.3000000000000016
FR,200806,011,38,209.6824414039839,-3.800000000000002
FR,200807,011,46,244.4939703416874,-4.6000000000000005
FR,200808,011,40,192.79057518127232,-4.000000000000002
FR,200809,011,21,119.23606695524636,-2.1000000000000005
FR,200810,011,49,272.9016527499179,-4.899999999999999
FR,200811,011,39,181.26132776045628,-3.900000000000002
FR,200812,011,51,261.20108020093306,-5.099999999999998
FR,200901,011,74,370.27420610654747,-7.399999999999992
FR,200902,011,66,333.76010746741855,-6.599999999999994
FR,200903,011,44,225.23086056297888,-4.4
FR,200904,011,44,220.02435601373418,-4.400000000000001
FR,200905,011,39,187.19069999483682,-3.900000000000002
FR,200906,011,139,567.3188839935301,-13.899999999999979
FR,200907,011,52,226.5550207313787,-5.1999999999999975
FR,200908,011,50,252.356326224705,-4.999999999999999
FR,200909,011,67,310.52164721131385,-6.699999999999994
FR,200910,011,91,392.6251878048372,-9.099999999999987
FR,200911,011,58,268.4965051834987,-5.799999999999995
FR,200912,011,78,395.51058044144247,-7.79999999999999
FR,201001,011,55,228.25648333051615,-5.499999999999997
FR,201002,011,93,393.32842442030704,-9.299999999999992
