ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
GA,200801,010,136,793.5418283266733,0.0
GA,200802,010,136,786.8389421937367,0.0
GA,200803,010,124,580.3799678079451,0.0
GA,200804,010,72,436.93837721907363,0.0
GA,200805,010,78,400.4647187762532,0.0
GA,200806,010,88,509.2084705357472,0.0
GA,200807,010,53,321.4629263188513,0.0
GA,200808,010,82,456.049076905413,0.0
GA,200809,010,64,363.30726863966106,0.0
GA,200810,010,46,264.4237935933306,0.0
GA,200811,010,51,364.63754193999387,0.0
GA,200812,010,98,528.1831397594979,0.0
GA,200901,010,83,567.2115215133958,0.0
GA,200902,010,129,707.8665433335526,0.0
GA,200903,010,191,1007.1631425914452,0.0
GA,200904,010,180,924.5104230604841,0.0
GA,200905,010,116,695.8250374407397,0.0
GA,200906,010,268,1545.021562249148,0.0
GA,200907,010,169,1111.7030922733325,0.0
GA,200908,010,190,1262.5165610879583,0.0
GA,200909,010,227,1475.5575672352863,0.0
GA,200910,010,174,1044.3762743541893,0.0
GA,200911,010,169,1075.408638148709,0.0
GA,200912,010,290,1907.7267628308953,0.0
GA,201001,010,342,2083.7599445882174,0.0
GA,201002,010,126,789.6240248845909,0.0
GA,201003,010,69,364.1674739725692,0.0
GA,201004,010,82,420.04675906051494,0.0
GA,201005,010,50,256.1171812498277,0.0
GA,201006,010,57,449.8661800998702,0.0
GA,201007,010,159,857.358844334571,0.0
GA,201008,010,242,1481.6047915347326,0.0
GA,201009,010,214,1322.8126388668384,0.0
GA,201010,010,253,1564.5977618509094,0.0
GA,201011,010,297,1858.5934345338062,0.0
GA,201012,010,347,2191.837060018928,0.0
GA,201101,010,300,1891.6003906182343,0.0
GA,201102,010,263,1473.163027006388,0.0
GA,201103,010,394,2327.2909912572563,0.0
GA,201104,010,298,1789.0442953524464,0.0
GA,201105,010,288,1733.3757853752054,0.0
GA,201106,010,309,1740.6964167565488,0.0
GA,201107,010,277,1810.0116748591406,0.0
GA,201108,010,225,1379.8475118774852,0.0
GA,201109,010,215,1350.0609691043594,0.0
GA,201110,010,259,1948.7041141394657,0.0
GA,201111,010,328,2019.1898105304829,0.0
GA,201112,010,285,1664.1803246843774,0.0
GA,201201,010,188,1107.151695781914,0.0
GA,201202,010,105,688.7226448228406,0.0
GA,201203,010,127,817.8666299652238,0.0
GA,201204,010,100,643.0132574407103,0.0
GA,201205,010,126,833.587399655445,0.0
GA,201206,010,104,704.7180896152785,0.0
GA,201207,010,168,1112.0113664415226,0.0
GA,201208,010,129,791.4400023526877,0.0
GA,201209,010,142,912.4094934968791,0.0
GA,201210,010,91,675.9631512031641,0.0
GA,201211,010,89,327.8715230489039,0.0
GA,201212,010,85,292.0671152586469,0.0
GA,201301,010,110,343.2304950239378,0.0
GA,201302,010,56,160.78765996978558,0.0
GA,201303,010,127,406.88252581592485,0.0
GA,201304,010,25,64.45435694275812,0.0
GA,201305,010,41,136.74799843056562,0.0
GA,201306,010,146,500.5402984243912,0.0
GA,201307,010,260,808.1455315451072,0.0
GA,201308,010,185,548.7551518412153,0.0
GA,201309,010,263,767.9853698623529,0.0
GA,201310,010,339,1035.2516162340773,0.0
GA,201311,010,370,1236.0642283124537,0.0
GA,201312,010,261,929.9800952907514,0.0
GA,201401,010,225,668.7538942184747,0.0
GA,201402,010,277,859.244624101914,0.0
GA,201403,010,268,868.6528367974853,0.0
GA,201404,010,256,766.1788296731328,0.0
GA,201405,010,203,634.1384040325165,0.0
GA,201406,010,247,791.4532197590128,0.0
GA,201407,010,263,961.2992201007917,0.0
GA,201408,010,193,565.6045312078234,0.0
GA,201409,010,267,792.4723048403323,0.0
GA,201410,010,269,795.7954440118617,0.0
GA,201411,010,356,1125.8327759802607,0.0
GA,201412,010,361,1015.1141027508835,0.0
GA,201501,010,408,1060.0563534726693,0.0
GA,201502,010,301,261.34007517097916,0.0
GA,201503,010,338,-727.1469781895526,0.0
GA,201504,010,529,-821.8699612521204,0.0
GA,201505,010,475,-1013.980739201726,0.0
GA,201506,010,517,-891.8115967545403,0.0
GA,201507,010,564,-1228.6645866982174,0.0
GA,201508,010,381,-476.9663723327128,0.0
GA,201509,010,453,-781.6765817480891,0.0
GA,201510,010,416,-160.43080462723165,0.0
GA,201511,010,458,-667.4836242118458,0.0
GA,201512,010,488,-472.6792944198602,0.0
GA,201601,010,398,-762.4412212980916,0.0
GA,201602,010,376,-350.0193264442712,0.0
GA,201603,010,447,-250.5784207096532,0.0
GA,201604,010,463,-1005.9531075686173,0.0
GA,201605,010,375,-1053.538471710888,0.0
GA,201606,010,405,-700.7779523997048,0.0
GA,201607,010,377,-997.9561816799455,0.0
GA,201608,010,335,-243.98120579091025,0.0
GA,201609,010,325,-360.4903063864355,0.0
GA,201610,010,331,-661.223557661157,0.0
GA,201611,010,482,-889.3054625405726,0.0
GA,201612,010,1021,-2034.0861951726718,0.0
GA,201701,010,1642,-3934.8437348264433,0.0
GA,201702,010,664,-1448.1457741034565,0.0
GA,201703,010,451,-959.9825981328805,0.0
GA,201704,010,391,-694.2781421990328,0.0
GA,201705,010,443,-729.9117019667273,0.0
GA,201706,010,400,-589.496241006519,0.0
GA,201707,010,384,-421.13759423336757,0.0
GA,201708,010,378,-329.24565075459407,0.0
GA,201709,010,355,-450.6275412402124,0.0
GA,201710,010,343,-423.9944875037188,0.0
GA,201711,010,492,-835.7813385945731,0.0
GA,201712,010,414,-665.4863152486939,0.0
GA,201801,010,436,-611.9950882612113,0.0
GA,201802,010,450,-802.9515094807406,0.0
GA,201803,010,373,-335.1136359442212,0.0
GA,201804,010,284,-509.14268388352707,0.0
GA,201805,010,447,-746.9675500566877,0.0
GA,201806,010,412,-1103.7342578887544,0.0
GA,201807,010,373,-371.9863834184833,0.0
GA,201808,010,397,-363.5246246995025,0.0
GA,201809,010,323,83.3869472063852,0.0
GA,201810,010,505,-491.40918206045376,0.0
GA,201811,010,432,-165.30350910112207,0.0
GA,201812,010,255,-126.32874719495823,0.0
GA,201901,010,493,-552.7888318205557,0.0
GA,201902,010,343,-358.6026789258337,0.0
GA,201903,010,532,-934.287994748726,0.0
GA,201904,010,393,-536.461133428103,0.0
GA,201905,010,376,-345.59661413369815,0.0
GA,201906,010,340,-395.4306394289704,0.0
GA,200804,011,4,9.36575858591733,-0.4
GA,200809,011,1,6.08465608465608,-0.1
GA,200812,011,2,5.60747663551402,-0.2
GA,200902,011,1,3.50467289719626,-0.1
GA,200903,011,3,10.6529541399937,-0.30000000000000004
GA,200904,011,3,16.869183310676572,-0.30000000000000004
GA,200905,011,5,20.60853088609454,-0.5
GA,200906,011,4,22.468432035038358,-0.4
GA,200910,011,1,1.44404332129964,-0.1
GA,200912,011,2,10.12408347433729,-0.2
GA,201002,011,1,1.43540669856459,-0.1
GA,201010,011,1,4.66200466200466,-0.1
GA,201012,011,1,5.06224705458721,-0.1
GA,201101,011,1,6.37119113573407,-0.1
GA,201103,011,1,6.06060606060606,-0.1
GA,201104,011,1,1.77809388335704,-0.1
GA,201106,011,1,1.73913043478261,-0.1
GA,201107,011,1,3.71517027863777,-0.1
GA,201108,011,4,30.891292608604235,-0.4
GA,201109,011,4,19.05688037790887,-0.4
GA,201110,011,2,12.58207003309491,-0.2
GA,201111,011,2,14.33610185663116,-0.2
GA,201112,011,1,5.13784461152882,-0.1
GA,201201,011,1,3.16091954022989,-0.1
GA,201202,011,1,2.19514455151965,-0.1
GA,201203,011,2,6.57131193240841,-0.2
GA,201204,011,1,4.55764075067024,-0.1
GA,201206,011,2,8.45070422535212,-0.2
GA,201207,011,6,33.88969711756416,-0.6
GA,201209,011,1,4.77064220183486,-0.1
GA,201210,011,1,6.48148148148148,-0.1
GA,201307,011,4,9.36744228563925,-0.4
GA,201309,011,2,5.2910052910053,-0.2
GA,201310,011,2,7.01754385964912,-0.2
GA,201311,011,5,18.301154141440698,-0.5
GA,201312,011,5,26.123550716384578,-0.5
GA,201402,011,1,3.11284046692607,-0.1
GA,201403,011,1,1.24069478908189,-0.1
GA,201404,011,5,15.274310460840029,-0.5
GA,201405,011,4,7.55268336068301,-0.4
GA,201407,011,4,6.03274892839158,-0.4
GA,201411,011,4,6.91358024691356,-0.4
GA,201412,011,9,20.3762657392576,-0.8999999999999999
GA,201501,011,14,21.703305979301785,-1.4000000000000001
GA,201502,011,2,9.19722731986767,-0.2
GA,201503,011,5,-15.69425468869676,-0.5
GA,201504,011,4,-48.6627566821496,-0.4
GA,201505,011,5,-12.727848341580001,-0.5
GA,201506,011,1,-3.57142857142857,-0.1
GA,201507,011,24,-65.47235028987843,-2.400000000000001
GA,201508,011,3,0.4513755678950002,-0.30000000000000004
GA,201509,011,4,-13.87322208817272,-0.4
GA,201510,011,2,-2.8293906854047295,-0.2
GA,201511,011,1,-3.25406758448061,-0.1
GA,201512,011,9,-15.399537465848178,-0.8999999999999999
GA,201601,011,1,-8.83870967741932,-0.1
GA,201602,011,12,-0.6125446780036641,-1.2000000119209289
GA,201604,011,10,-67.30028668332136,-1.0
GA,201605,011,1,-7.38362760834671,-0.1
GA,201606,011,5,-24.337580743520682,-0.5
GA,201607,011,1,-2.82658517952636,-0.1
GA,201608,011,1,-1.30932896890344,-0.1
GA,201609,011,5,-26.59145790255762,-0.5
GA,201610,011,8,-49.90300000189114,-0.8
GA,201611,011,5,-21.772067221261963,-0.5
GA,201612,011,25,-73.76434622365274,-2.5
GA,201701,011,43,-156.33852315314743,-4.300000000000001
GA,201702,011,2,-11.98460412862244,-0.2
GA,201703,011,4,6.4127136290582705,-0.4
GA,201704,011,5,-19.97806451719703,-0.5
GA,201705,011,9,-24.615688241351442,-0.8999999999999999
GA,201706,011,15,-57.17359234096428,-1.5
GA,201707,011,15,-68.82252590296788,-1.5
GA,201708,011,8,12.826159012487901,-0.8
GA,201709,011,2,-10.64638783269962,-0.2
GA,201710,011,2,-13.36934503713708,-0.2
GA,201711,011,2,-14.41624365482232,-0.2
GA,201712,011,2,-7.082350018631219,-0.2
GA,201801,011,5,-9.4769051432331,-0.5
GA,201802,011,3,-1.32316128263202,-0.30000000000000004
GA,201803,011,1,-4.44444444444444,-0.1
GA,201804,011,1,-4.19753086419754,-0.1
GA,201805,011,2,-12.7984718242598,-0.2
GA,201806,011,2,-1.84049079754602,-0.2
GA,201807,011,2,-2.69814502529512,-0.2
GA,201808,011,2,-1.7351311542662802,-0.2
GA,201901,011,2,-7.52351097178684,-0.2
GA,201903,011,3,-14.44882886168233,-0.30000000000000004
GA,201905,011,1,-2.07253886010363,-0.1
GA,201906,011,3,-1.14795918367347,-0.30000000000000004
GA,200801,012,23,154.83601115238434,-9.200000000000003
GA,200802,012,33,145.89411701321654,-13.200000000000006
GA,200803,012,34,177.43174867267925,-13.600000000000007
GA,200804,012,9,72.26969586624818,-3.5999999999999996
GA,200805,012,5,16.36565068853717,-2.0
GA,200806,012,8,71.5779131760138,-3.1999999999999997
GA,200807,012,12,80.16452613642895,-4.800000000000001
GA,200808,012,4,25.855935548476708,-1.6
GA,200809,012,25,142.0376895582709,-10.000000000000004
GA,200810,012,5,33.2939020409587,-2.0
GA,200811,012,4,28.24496261317682,-1.6
GA,200812,012,9,49.22915635751137,-3.5999999999999996
GA,200901,012,13,78.19283985226848,-5.200000000000001
GA,200902,012,7,45.88321503617964,-2.8
GA,200903,012,38,205.7552802952194,-15.200000000000008
GA,200904,012,14,74.652968646187,-5.6000000000000005
GA,200905,012,28,168.16849167967322,-11.200000000000005
