ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
GG,200801,010,276,1650.4391610480077,0.0
GG,200802,010,276,1496.4314590990173,0.0
GG,200803,010,248,1339.0830410407261,0.0
GG,200804,010,392,2042.2617488624326,0.0
GG,200805,010,386,1967.3670863549612,0.0
GG,200806,010,195,1027.4381374414786,0.0
GG,200807,010,358,1719.762438343349,0.0
GG,200808,010,2352,10642.028678322946,0.0
GG,200809,010,759,3739.751345846302,0.0
GG,200810,010,550,2499.3159351712534,0.0
GG,200811,010,391,1871.326642057228,0.0
GG,200812,010,355,1908.7972390528835,0.0
GG,200901,010,362,1809.0243764665593,0.0
GG,200902,010,381,1971.8286982412183,0.0
GG,200903,010,411,2098.297911803457,0.0
GG,200904,010,556,2906.7611570885274,0.0
GG,200905,010,602,2968.0949716117784,0.0
GG,200906,010,344,1774.4945197830639,0.0
GG,200907,010,233,1192.6349468849307,0.0
GG,200908,010,639,3004.078974286886,0.0
GG,200909,010,592,3058.0356238356003,0.0
GG,200910,010,493,2679.8316769426538,0.0
GG,200911,010,384,1977.4595005710382,0.0
GG,200912,010,510,2637.273486278634,0.0
GG,201001,010,443,2304.286579465941,0.0
GG,201002,010,429,2363.4500872176573,0.0
GG,201003,010,135,742.5804955823869,0.0
GG,201004,010,218,1226.8732804802373,0.0
GG,201005,010,207,1228.0353466194686,0.0
GG,201006,010,118,605.3661285325257,0.0
GG,201007,010,256,1489.7184706420492,0.0
GG,201008,010,537,2882.628410623043,0.0
GG,201009,010,540,2948.7311713980926,0.0
GG,201010,010,454,2603.791861878701,0.0
GG,201011,010,562,2837.578400428825,0.0
GG,201012,010,418,2371.8961045553233,0.0
GG,201101,010,430,2403.462661747751,0.0
GG,201102,010,463,2675.8766779643097,0.0
GG,201103,010,463,2562.723696020782,0.0
GG,201104,010,521,2854.641909217736,0.0
GG,201105,010,426,2215.3264324156366,0.0
GG,201106,010,404,2073.2408063399257,0.0
GG,201107,010,479,2378.033962725962,0.0
GG,201108,010,485,2576.355117489727,0.0
GG,201109,010,431,2394.963566917325,0.0
