ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
GP,200801,010,2,7.30586840545347,0.0
GP,200804,010,1,10.3004291845494,0.0
GP,200807,010,1,1.33657351154313,0.0
GP,200808,010,2,7.23065798987708,0.0
GP,200901,010,4,11.7388151951695,0.0
GP,200902,010,143,422.40957847090067,0.0
GP,200903,010,29,143.79233462221748,0.0
GP,200904,010,2,2.552537830506258,0.0
GP,200906,010,20,82.78061690108714,0.0
GP,200907,010,1,5.29595015576324,0.0
GP,200910,010,3,9.89759601161275,0.0
GP,200912,010,1,3.16642120765832,0.0
GP,201001,010,7,27.866706893253202,0.0
GP,201002,010,2,4.36893203883496,0.0
GP,201008,010,5,23.516964156803002,0.0
GP,201009,010,1,5.46282245827011,0.0
GP,201101,010,8,30.30241543370514,0.0
GP,201102,010,1,5.35714285714286,0.0
GP,201104,010,4,20.158504036760277,0.0
GP,201106,010,1,4.66472303206997,0.0
GP,201108,010,4,10.35739121383413,0.0
GP,201110,010,1,6.3573883161512,0.0
GP,201202,010,1,4.79452054794521,0.0
GP,201205,010,1,6.05285592497869,0.0
GP,201206,010,10,51.533908027774544,0.0
GP,201208,010,23,108.51195522193362,0.0
GP,201210,010,1,2.01005025125628,0.0
GP,201301,010,2,4.31136872794409,0.0
GP,201302,010,5,17.92046144505162,0.0
GP,201307,010,6,18.359837894252884,0.0
GP,201309,010,3,9.6611208805688,0.0
GP,201311,010,1,2.65822784810127,0.0
GP,201312,010,4,11.13698246532017,0.0
GP,201401,010,3,4.61813562700521,0.0
GP,201402,010,1,1.21951219512195,0.0
GP,201404,010,2,3.54217677276874,0.0
GP,201405,010,1,2.15686274509804,0.0
GP,201407,010,3,10.69268829026937,0.0
GP,201409,010,6,13.935095396493551,0.0
GP,201410,010,7,9.667916555951571,0.0
GP,201411,010,2,8.09865433026135,0.0
GP,201502,010,3,6.73035228356224,0.0
GP,201503,010,6,-4.368076884355981,0.0
GP,201504,010,4,-12.213494093289498,0.0
GP,201505,010,8,9.559649027386111,0.0
GP,201506,010,3,-17.91830304643989,0.0
GP,201507,010,1,-6.25,0.0
