ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
GT,200801,010,112,413.8895163175463,0.0
GT,200802,010,85,352.6709311548092,0.0
GT,200803,010,101,439.7088966946903,0.0
GT,200804,010,76,280.563864570262,0.0
GT,200805,010,80,206.17605816915957,0.0
GT,200806,010,142,300.6820350169962,0.0
GT,200807,010,74,253.3173964673258,0.0
GT,200808,010,61,152.75443662337034,0.0
GT,200809,010,63,282.4016132284483,0.0
GT,200810,010,128,377.58819819004134,0.0
GT,200811,010,90,226.60427510798297,0.0
GT,200812,010,154,359.5516406364473,0.0
GT,200901,010,431,540.2621944007614,0.0
GT,200902,010,397,565.1817277228831,0.0
GT,200903,010,387,629.1693533572413,0.0
GT,200904,010,371,637.1763143983529,0.0
GT,200905,010,440,910.6239663487837,0.0
GT,200906,010,309,426.22768486729564,0.0
GT,200907,010,116,625.8534920860161,0.0
GT,200908,010,66,275.6764036540335,0.0
GT,200909,010,120,550.4331279046254,0.0
GT,200910,010,105,591.5891179168647,0.0
GT,200911,010,90,471.21731304830024,0.0
GT,200912,010,74,385.5116845971912,0.0
GT,201001,010,97,458.92048818707525,0.0
GT,201002,010,85,426.9546665797683,0.0
GT,201003,010,45,202.387345593294,0.0
GT,201004,010,40,212.38418304942243,0.0
GT,201005,010,54,235.98396402924894,0.0
GT,201006,010,60,286.36413421195084,0.0
GT,201007,010,31,173.8480555406986,0.0
GT,201008,010,62,322.1148453116818,0.0
GT,201009,010,197,717.0451082467255,0.0
GT,201010,010,176,1025.070962220662,0.0
GT,201011,010,81,451.9003891562822,0.0
GT,201012,010,104,488.96736582081826,0.0
GT,201101,010,66,318.49734966613465,0.0
GT,201102,010,71,366.8656148819242,0.0
GT,201103,010,123,700.8256304224244,0.0
GT,201104,010,119,525.6765011491575,0.0
GT,201105,010,136,552.1505451378156,0.0
GT,201106,010,57,310.0146062506734,0.0
GT,201107,010,72,374.95301234578227,0.0
GT,201108,010,143,743.3608037676258,0.0
GT,201109,010,138,663.1329592181938,0.0
GT,201110,010,61,302.6702443779613,0.0
GT,201111,010,109,572.9035767083794,0.0
GT,201112,010,54,296.0451490046034,0.0
GT,201201,010,97,468.60070708752374,0.0
GT,201202,010,141,718.234238775236,0.0
GT,201203,010,122,637.9894374497472,0.0
GT,201204,010,127,646.4441754718137,0.0
GT,201205,010,173,843.6122301795082,0.0
GT,201206,010,55,263.413555074554,0.0
GT,201207,010,96,532.0074014981487,0.0
GT,201208,010,123,673.7916336994992,0.0
GT,201209,010,137,664.7760997436422,0.0
GT,201210,010,142,830.9297978831589,0.0
GT,201211,010,209,383.0815821903759,0.0
GT,201212,010,427,729.8199595240882,0.0
GT,201301,010,88,188.26634856313865,0.0
GT,201302,010,114,204.27517580526842,0.0
GT,201303,010,156,312.5021397359638,0.0
GT,201304,010,69,123.89680098504253,0.0
GT,201305,010,159,333.036182828777,0.0
GT,201306,010,89,215.93537701190425,0.0
GT,201307,010,148,329.7937681508134,0.0
GT,201308,010,199,315.6144343044987,0.0
GT,201309,010,276,510.4000281389239,0.0
GT,201310,010,166,278.6750055927492,0.0
GT,201311,010,122,315.0965357295675,0.0
GT,201312,010,85,225.3200960623696,0.0
GT,201401,010,108,198.49360828897116,0.0
GT,201402,010,181,414.5782111458638,0.0
GT,201403,010,217,488.92423922151755,0.0
GT,201404,010,182,354.6964825244065,0.0
GT,201405,010,228,414.69424371913664,0.0
GT,201406,010,226,376.8754535578183,0.0
GT,201407,010,398,677.5355393661337,0.0
GT,201408,010,209,428.76138551276637,0.0
GT,201409,010,241,492.7198751199869,0.0
GT,201410,010,143,258.94673288668486,0.0
GT,201411,010,179,396.97226262991984,0.0
GT,201412,010,85,176.9750506543729,0.0
GT,201501,010,141,301.04918597568894,0.0
GT,201502,010,133,-69.85109849521695,0.0
GT,201503,010,270,-820.7364080031432,0.0
GT,201504,010,224,-831.8943359636528,0.0
GT,201505,010,228,-708.6329779927386,0.0
GT,201506,010,237,-840.98036764599,0.0
GT,201507,010,303,-926.2760275826746,0.0
GT,201508,010,441,-1723.8452145010283,0.0
GT,201509,010,452,-1856.0537951818262,0.0
GT,201510,010,351,-1271.2462413868013,0.0
GT,201511,010,234,-897.0414712170225,0.0
GT,201512,010,221,-807.4013902277336,0.0
GT,201601,010,285,-1243.5108338188033,0.0
GT,201602,010,210,-609.781706364246,0.0
GT,201603,010,319,-969.0530066309112,0.0
GT,201604,010,269,-743.7149757756204,0.0
GT,201605,010,269,-745.1547855356886,0.0
GT,201606,010,250,-614.8251436501969,0.0
GT,201607,010,228,-909.6794759910146,0.0
GT,201608,010,184,-558.731663403916,0.0
GT,201609,010,209,-595.0452048070802,0.0
GT,201610,010,174,-419.74346263388077,0.0
GT,201611,010,188,-454.1763899264931,0.0
GT,201612,010,248,-640.9938977116931,0.0
GT,201701,010,205,-492.47337499797584,0.0
GT,201702,010,232,-709.0827026885279,0.0
GT,201703,010,418,-2016.9864599349305,0.0
GT,201704,010,270,-678.7647861459859,0.0
GT,201705,010,193,-460.4747723250348,0.0
GT,201706,010,158,-382.72576472965403,0.0
GT,201707,010,207,-570.945377122436,0.0
GT,201708,010,267,-1005.4244969257028,0.0
GT,201709,010,393,-1391.7221025754639,0.0
GT,201710,010,195,-681.3114849185405,0.0
GT,201711,010,188,-547.2281263671322,0.0
GT,201712,010,280,-645.0439451977852,0.0
GT,201801,010,174,-451.67359785364135,0.0
GT,201802,010,272,-552.5900322879316,0.0
GT,201803,010,252,-485.17128185925617,0.0
GT,201804,010,231,-506.63664158835786,0.0
GT,201805,010,252,-620.6399794573167,0.0
GT,201806,010,697,-2922.1034231349076,0.0
GT,201807,010,285,-789.0761400399997,0.0
GT,201808,010,261,-743.7437521634356,0.0
GT,201809,010,452,-1461.1765040960936,0.0
GT,201810,010,540,-2101.0095853222633,0.0
GT,201811,010,226,-775.940628518271,0.0
GT,201812,010,582,-2061.5552752893923,0.0
GT,201901,010,395,-1556.6001370494166,0.0
GT,201902,010,239,-571.6661337261916,0.0
GT,201903,010,320,-1145.7063725403436,0.0
GT,201904,010,306,-879.837393064541,0.0
GT,201905,010,337,-1193.8887078197301,0.0
GT,201906,010,427,-1208.8945744005493,0.0
GT,200801,011,3,16.9942132120107,-0.30000000000000004
GT,200803,011,1,3.17460317460317,-0.1
GT,200804,011,1,3.70675956484537,-0.1
GT,200805,011,1,3.18793036426725,-0.1
GT,200806,011,4,23.68222980962263,-0.4
GT,200808,011,4,11.81684557985464,-0.4
GT,200809,011,2,7.1078445321184,-0.2
GT,200810,011,1,2.48119015047879,-0.1
GT,200903,011,1,4.27698574338086,-0.1
GT,200905,011,4,10.53647690489764,-0.4
GT,200909,011,9,28.83253828662122,-0.8999999999999999
GT,200910,011,1,3.21910695742471,-0.1
GT,200912,011,4,22.62516944241608,-0.4
GT,201001,011,1,2.61747899643,-0.1
GT,201002,011,9,29.967997534366337,-0.8999999999999999
GT,201010,011,3,6.8647070645676305,-0.30000000000000004
GT,201011,011,1,0.444444444444444,-0.1
GT,201012,011,2,7.801102977382399,-0.2
GT,201101,011,1,4.8582995951417,-0.1
GT,201103,011,2,9.82470742649648,-0.2
GT,201107,011,1,2.13114754098361,-0.1
GT,201108,011,6,27.98927076932966,-0.6
GT,201112,011,1,6.51629072681704,-0.1
GT,201201,011,6,30.39905235898543,-0.6
GT,201202,011,3,15.08297668345624,-0.30000000000000004
GT,201203,011,1,4.25531914893617,-0.1
GT,201205,011,10,54.86858175983703,-0.9999999999999999
GT,201211,011,1,2.72904483430799,-0.1
GT,201212,011,20,19.41899769095851,-2.0000000000000004
GT,201301,011,1,3.09278350515464,-0.1
GT,201304,011,1,0.677200902934537,-0.1
GT,201305,011,1,2.15311004784689,-0.1
GT,201307,011,10,2.1380425320233813,-0.9999999999999999
GT,201308,011,22,5.5007542577710975,-2.2000000000000006
GT,201311,011,19,29.93255293762962,-1.9000000000000004
GT,201401,011,1,3.13182811361981,-0.1
GT,201402,011,6,12.524498251010941,-0.6
GT,201403,011,1,3.56587436689574,-0.1
GT,201405,011,15,21.56058032409909,-1.5000000000000002
GT,201406,011,5,5.3367666221017345,-0.5
GT,201407,011,2,3.43402529229301,-0.2
GT,201409,011,4,9.374300812966732,-0.4
GT,201410,011,1,1.1844331641286,-0.1
GT,201411,011,2,6.379915641653829,-0.2
GT,201501,011,2,4.56874285472329,-0.2
GT,201503,011,5,-29.35852610172149,-0.5
GT,201504,011,6,-26.155155587505963,-0.6
GT,201505,011,4,-6.427719685496569,-0.4
GT,201506,011,30,-179.724574977719,-3.000000000000001
GT,201507,011,9,-30.33420357324471,-0.8999999999999999
GT,201508,011,13,-51.7705054203678,-1.3
GT,201509,011,8,-31.244000716116588,-0.7999999999999999
GT,201510,011,2,-7.90450267977012,-0.2
GT,201511,011,2,-6.92984822039996,-0.2
GT,201512,011,6,-4.34380896945979,-0.6
GT,201601,011,7,-30.50459785637181,-0.7
GT,201602,011,4,-18.12134143841342,-0.40000000149011616
GT,201603,011,2,-2.75562001450326,-0.2
GT,201604,011,3,-6.62482325668196,-0.30000000000000004
GT,201605,011,3,-9.81675392670156,-0.30000000000000004
GT,201606,011,5,-8.373991112916588,-0.5
GT,201608,011,1,-4.99108734402852,-0.1
GT,201609,011,2,-3.12037732481319,-0.2
GT,201610,011,1,-8.97130242825607,-0.1
GT,201611,011,3,-21.301666903684527,-0.30000000000000004
GT,201612,011,4,-13.89427549262292,-0.4
GT,201701,011,1,-6.95970695970696,-0.1
GT,201702,011,4,-19.21625515025875,-0.4
GT,201703,011,12,-71.31820683792432,-1.2
GT,201704,011,26,-143.33792917401675,-2.6000000000000005
GT,201705,011,4,-21.93036787664234,-0.4
GT,201706,011,2,-12.140325271059211,-0.2
GT,201707,011,4,-22.01233365431402,-0.4
GT,201708,011,7,-18.728724567540333,-0.7000000000000001
GT,201709,011,2,-6.9802731411229,-0.2
GT,201710,011,2,-8.9041518752894,-0.2
GT,201711,011,4,-16.5255098891763,-0.4
GT,201712,011,3,-14.659685863874339,-0.30000000000000004
GT,201801,011,3,-19.772273913200898,-0.30000000000000004
GT,201803,011,2,-18.4549356223175,-0.2
GT,201804,011,6,6.722044142494051,-0.6000000000000001
GT,201805,011,5,-16.26693330225203,-0.5
GT,201806,011,9,-36.05793914214301,-0.9
GT,201807,011,6,-17.59976730366046,-0.6
GT,201808,011,3,-0.6361943548928402,-0.30000000000000004
GT,201809,011,28,-99.86198421600818,-2.8000000000000003
GT,201810,011,5,-20.7030061955397,-0.5
GT,201811,011,11,-45.65565485545806,-1.1
GT,201812,011,26,-131.91824650688312,-2.5999999999999996
GT,201901,011,10,-48.31563303304017,-1.0
GT,201902,011,3,-11.294789120788511,-0.30000000000000004
GT,201903,011,7,-42.11544358173634,-0.7
GT,201904,011,9,-36.17588343202002,-0.9
GT,201905,011,25,-143.06448211617433,-2.5000000000000004
GT,201906,011,12,-38.39206256771953,-1.2
GT,200801,012,7,52.85060449093694,-2.8
GT,200802,012,9,62.15107741119326,-3.5999999999999996
GT,200803,012,11,53.842705359102155,-4.3999999999999995
GT,200804,012,4,20.63118055785572,-1.6
GT,200805,012,3,15.615029994421299,-1.2000000000000002
GT,200806,012,1,6.99588477366255,-0.4
GT,200807,012,2,8.292811433212961,-0.8
GT,200808,012,5,9.26655109162205,-2.0
GT,200809,012,2,9.65038841203466,-0.8
GT,200810,012,4,10.802419802419799,-1.6
GT,200811,012,4,12.7235650051817,-1.6
GT,200812,012,8,42.13532287831352,-3.1999999999999997
GT,200901,012,5,34.55995922331266,-2.0
GT,200902,012,8,52.416514533686005,-3.1999999999999997
GT,200903,012,11,55.086593687137025,-4.3999999999999995
GT,200904,012,47,228.8570854974856,-18.799999999999997
GT,200905,012,22,103.02100935973165,-8.800000000000002
GT,200906,012,18,76.4520131723167,-7.200000000000002
GT,200907,012,16,81.66916720340656,-6.4
GT,200908,012,13,77.7896419306583,-5.2
GT,200909,012,42,190.44093233995437,-16.800000000000004
GT,200910,012,23,185.87013104000854,-9.200000000000003
GT,200912,012,9,48.868539919155666,-3.5999999999999996
GT,201001,012,20,106.79782138216578,-8.000000000000002
GT,201002,012,6,45.678822847711984,-2.4
GT,201003,012,2,10.0,-0.8
GT,201004,012,9,42.24671575420503,-3.5999999999999996
GT,201005,012,18,47.283041660344125,-7.200000000000002
GT,201006,012,13,52.31800639398685,-5.2
GT,201007,012,8,55.41157695894575,-3.1999999999999997
GT,201008,012,1,4.86641221374046,-0.4
GT,201009,012,34,121.44104468276595,-13.600000000000007
GT,201010,012,20,123.76579758745773,-8.000000000000002
GT,201011,012,15,79.77354489428309,-6.000000000000001
GT,201012,012,13,61.92573086354016,-5.2
GT,201101,012,16,64.03192227091583,-6.400000000000001
GT,201102,012,5,12.704923599320882,-2.0
GT,201103,012,24,107.03172119414558,-9.600000000000003
GT,201104,012,6,36.48101713619494,-2.4
GT,201105,012,27,85.86529913127701,-10.800000000000004
GT,201106,012,11,58.862522983351,-4.3999999999999995
GT,201107,012,11,47.8094534005331,-4.3999999999999995
GT,201108,012,16,74.35461247072475,-6.400000000000001
GT,201109,012,30,152.53108518705056,-12.000000000000005
GT,201110,012,15,62.430824495517285,-6.000000000000001
GT,201111,012,7,41.12687182014751,-2.8
GT,201112,012,2,15.676347226578251,-0.8
GT,201201,012,15,93.56655059422235,-6.000000000000001
GT,201202,012,5,29.904212668108514,-2.0
GT,201203,012,14,85.28091113083183,-5.6000000000000005
GT,201204,012,1,4.28051001821494,-0.4
GT,201205,012,15,80.92085747353924,-6.000000000000001
GT,201206,012,7,34.977865739900956,-2.8
GT,201207,012,8,52.238094440691505,-3.1999999999999997
GT,201208,012,8,52.99313891218213,-3.1999999999999997
GT,201209,012,8,31.37413481238495,-3.1999999999999997
GT,201210,012,11,49.835992458819184,-4.3999999999999995
GT,201211,012,20,49.603437542902064,-8.000000000000002
GT,201212,012,57,96.14483632776023,-22.799999999999994
GT,201301,012,13,45.940251468814495,-5.199999999999999
GT,201302,012,27,41.9271996162601,-10.800000000000006
GT,201303,012,8,26.275490705647883,-3.1999999999999997
GT,201304,012,14,30.688464242725875,-5.6000000000000005
GT,201305,012,12,28.82037696428164,-4.8
GT,201306,012,33,53.99270825744504,-13.200000000000005
GT,201307,012,7,17.44347380820272,-2.8
GT,201308,012,19,50.870876224429814,-7.600000000000002
GT,201309,012,31,46.96517083425004,-12.400000000000006
GT,201310,012,23,53.699879122212124,-9.200000000000003
GT,201311,012,21,54.1625195757029,-8.400000000000002
GT,201312,012,2,5.75555737169009,-0.8
GT,201401,012,14,28.08745039427784,-5.6000000000000005
GT,201402,012,20,71.3215078382156,-8.0
GT,201403,012,4,11.59452368056826,-1.6
GT,201404,012,24,44.71530609877725,-9.600000000000003
GT,201405,012,22,52.5551233502344,-8.800000000000004
GT,201406,012,35,58.45769153683,-14.000000000000007
GT,201407,012,52,90.26762958097,-20.79999999999999
GT,201408,012,32,48.85528558153218,-12.800000000000006
GT,201409,012,25,56.860877672473556,-10.000000000000004
GT,201410,012,36,78.41443925222647,-14.40000000000001
GT,201411,012,25,72.97123179005037,-10.000000000000004
GT,201412,012,11,38.06032188121974,-4.3999999999999995
GT,201501,012,9,16.72000275049772,-3.5999999999999996
GT,201502,012,31,14.574024741866285,-12.400000000000006
GT,201503,012,49,-110.48806795624319,-19.599999999999998
GT,201504,012,24,-107.36977880427024,-9.600000000000003
GT,201505,012,24,-76.32934570946139,-9.600000000000003
GT,201506,012,38,-78.2406626258162,-15.200000000000006
GT,201507,012,47,-212.30324139757894,-18.800000000000004
GT,201508,012,53,-202.1708688978916,-21.199999999999992
GT,201509,012,93,-423.33980501037075,-37.19999999999995
