ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
HM,201309,010,2,3.606084071854,0.0
HM,201308,012,2,5.15697028223676,-0.8
HM,201308,020,1,2.95774647887324,3.0
HM,201309,020,1,2.31578947368421,3.0
HM,201309,040,2,2.73037542662116,2.0
HM,201308,042,1,2.95774647887324,1.9
HM,201308,043,1,2.95774647887324,2.8
HM,201309,090,1,1.36518771331058,-2.0
HM,201403,120,1,3.53618421052632,-4.0
HM,201308,160,1,3.1044776119403,-4.0
HM,201308,173,1,3.1044776119403,-5.0
HM,201302,190,1,1.53429602888087,-10.0
HM,201309,193,2,1.648351648351648,-20.0
