ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
JA,201505,---,3,-11.52542372881356,
JA,200801,010,1092,5621.425128268752,0.0
JA,200802,010,1413,6925.466354146884,0.0
JA,200803,010,1161,5826.157251276722,0.0
JA,200804,010,1074,5351.647126245634,0.0
JA,200805,010,1401,7879.83629992083,0.0
JA,200806,010,1577,7604.129388011622,0.0
JA,200807,010,1218,6602.21274605151,0.0
JA,200808,010,844,4008.2104164407638,0.0
JA,200809,010,804,4300.896692166407,0.0
JA,200810,010,1321,7341.140614747623,0.0
JA,200811,010,1108,5448.008654599742,0.0
JA,200812,010,1102,5428.190320633022,0.0
JA,200901,010,1899,9305.96758445982,0.0
JA,200902,010,1785,8755.952097658013,0.0
JA,200903,010,1782,9385.08281716466,0.0
JA,200904,010,1836,9871.288404213577,0.0
JA,200905,010,2059,10447.828599141809,0.0
JA,200906,010,1461,7550.3321009278825,0.0
JA,200907,010,1315,7022.53674773061,0.0
JA,200908,010,1806,10100.284566469378,0.0
JA,200909,010,1969,12075.391806227313,0.0
JA,200910,010,2006,11539.91143437269,0.0
JA,200911,010,1984,10997.399259539834,0.0
JA,200912,010,2182,12301.588792504452,0.0
JA,201001,010,2168,11833.961598261529,0.0
JA,201002,010,2376,12555.73290520722,0.0
JA,201003,010,677,3513.381725868144,0.0
JA,201004,010,1144,6097.938414970633,0.0
JA,201005,010,978,5345.059862774429,0.0
JA,201006,010,872,4944.227935517335,0.0
JA,201007,010,1129,6030.529314143659,0.0
JA,201008,010,2277,12873.216064099845,0.0
JA,201009,010,2672,14066.758443773764,0.0
JA,201010,010,2186,12593.378007523223,0.0
JA,201011,010,2455,13714.69464353641,0.0
JA,201012,010,2193,12312.117316723921,0.0
JA,201101,010,1633,9223.163643891327,0.0
JA,201102,010,1637,9192.21473149982,0.0
JA,201103,010,9874,45047.52929331419,0.0
JA,201104,010,4187,20319.924873575674,0.0
JA,201105,010,1934,9901.76811901311,0.0
JA,201106,010,1818,9742.88033843773,0.0
JA,201107,010,2079,10655.078305232346,0.0
JA,201108,010,2261,12112.72348721484,0.0
JA,201109,010,1980,10363.993290585115,0.0
JA,201110,010,1687,8791.805273279404,0.0
JA,201111,010,2072,11247.853140144485,0.0
JA,201112,010,1861,9887.124630730625,0.0
JA,201201,010,1855,9867.73880690384,0.0
JA,201202,010,2162,11726.790405262707,0.0
JA,201203,010,2272,12661.933287750267,0.0
JA,201204,010,2210,11855.112477934976,0.0
JA,201205,010,2122,11326.37519649778,0.0
JA,201206,010,1928,10557.074204105611,0.0
JA,201207,010,2267,12532.68359797513,0.0
JA,201208,010,2249,11313.189296575694,0.0
JA,201209,010,2711,14014.712436453468,0.0
JA,201210,010,2339,13218.988508752473,0.0
JA,201211,010,1971,5580.205576222066,0.0
JA,201212,010,2063,5107.765348756147,0.0
JA,201301,010,2140,4647.825188052384,0.0
JA,201302,010,1827,4264.108116658776,0.0
JA,201303,010,1750,4433.516103956993,0.0
JA,201304,010,991,2416.990317233565,0.0
JA,201305,010,938,2237.7488523336683,0.0
JA,201306,010,1400,3607.821300988742,0.0
JA,201307,010,2363,5872.9054120529345,0.0
JA,201308,010,2583,5786.011707317175,0.0
JA,201309,010,2688,6203.7613647447815,0.0
JA,201310,010,2756,6791.798081718209,0.0
JA,201311,010,2796,6748.593184316036,0.0
JA,201312,010,2407,6062.847967874834,0.0
JA,201401,010,2374,5860.985212092045,0.0
JA,201402,010,2608,6248.638301519956,0.0
JA,201403,010,2944,6463.245818279836,0.0
JA,201404,010,2958,7178.859220754526,0.0
JA,201405,010,2229,5472.450524027022,0.0
JA,201406,010,2336,5545.205470626486,0.0
JA,201407,010,2870,7012.389809313559,0.0
JA,201408,010,2868,6576.535851125599,0.0
JA,201409,010,2733,6770.549148215187,0.0
JA,201410,010,2661,6733.4576722651145,0.0
JA,201411,010,2707,6703.480773678833,0.0
JA,201412,010,2290,5628.760200136979,0.0
JA,201501,010,3027,6966.89175218211,0.0
JA,201502,010,2961,2810.033134557408,0.0
JA,201503,010,4473,-5415.75859312383,0.0
JA,201504,010,4521,-5370.312930324987,0.0
JA,201505,010,3532,-3541.9601872510875,0.0
JA,201506,010,3557,-4068.6477580808605,0.0
JA,201507,010,4276,-5688.258634366749,0.0
JA,201508,010,4991,-10064.754908737556,0.0
JA,201509,010,3884,-4223.525324613415,0.0
JA,201510,010,3923,-2701.047387734892,0.0
JA,201511,010,3441,-2601.743640399439,0.0
JA,201512,010,3962,-4437.150293813872,0.0
JA,201601,010,3473,-3775.1214163516047,0.0
JA,201602,010,3458,-4511.3740502292485,0.0
JA,201603,010,3339,-3697.9229050251743,0.0
JA,201604,010,4374,-7185.909929407132,0.0
JA,201605,010,4833,-6746.437780246123,0.0
JA,201606,010,3789,-5688.71662053836,0.0
JA,201607,010,3892,-7489.243365235541,0.0
JA,201608,010,4295,-6631.449488819338,0.0
JA,201609,010,3750,-4085.386207655745,0.0
JA,201610,010,4003,-3164.8337478313306,0.0
JA,201611,010,4138,-3470.5630662907556,0.0
JA,201612,010,4223,-5622.771299271517,0.0
JA,201701,010,3731,-3307.7525519003884,0.0
JA,201702,010,4110,-4982.85478857244,0.0
JA,201703,010,4086,-5411.341244200308,0.0
JA,201704,010,3519,-4242.364135441187,0.0
JA,201705,010,3596,-3308.2976644738746,0.0
JA,201706,010,3378,-4864.649379474827,0.0
JA,201707,010,3421,-4674.4422655932185,0.0
JA,201708,010,3571,-6234.473573457593,0.0
JA,201709,010,3758,-5094.476784722231,0.0
JA,201710,010,3436,-3869.918309176252,0.0
JA,201711,010,4045,-6271.067300533673,0.0
JA,201712,010,2963,-3477.4986846118495,0.0
JA,201801,010,3422,-4372.702498484667,0.0
JA,201802,010,2812,-2699.2638605752254,0.0
JA,201803,010,3329,-3350.373818211096,0.0
JA,201804,010,3011,-3549.156783021071,0.0
JA,201805,010,3181,-2252.6678844823855,0.0
JA,201806,010,3337,-5035.734640307426,0.0
JA,201807,010,3190,-4438.96334942636,0.0
JA,201808,010,2977,-3085.9712055253103,0.0
JA,201809,010,3048,-3488.156360739945,0.0
JA,201810,010,3456,-1720.8820679862747,0.0
JA,201811,010,3357,-3611.0558765441738,0.0
JA,201812,010,2913,-4051.2385238762563,0.0
JA,201901,010,3077,-4363.6227530904525,0.0
JA,201902,010,2469,-2411.2325845870237,0.0
JA,201903,010,2735,-2222.363261273424,0.0
JA,201904,010,3165,-3954.333562888869,0.0
JA,201905,010,3461,-3267.7720984413236,0.0
JA,201906,010,4034,-5622.705949032162,0.0
JA,200801,011,31,164.32735630599043,-3.1000000000000014
JA,200802,011,21,70.23819627702291,-2.1000000000000005
JA,200803,011,52,213.18957659241076,-5.199999999999998
JA,200804,011,38,207.13555090229244,-3.800000000000002
JA,200805,011,25,90.38944904353751,-2.500000000000001
JA,200806,011,62,219.4954785381302,-6.199999999999995
JA,200807,011,33,170.58997858598568,-3.3000000000000016
JA,200808,011,41,216.67385592049683,-4.100000000000001
JA,200809,011,23,106.39583474795258,-2.3000000000000007
JA,200810,011,41,187.58276900833798,-4.100000000000002
JA,200811,011,47,197.20394805000151,-4.7
JA,200812,011,22,88.93315603861889,-2.2000000000000006
JA,200901,011,64,255.94979559674013,-6.399999999999996
JA,200902,011,54,268.0330402682397,-5.3999999999999995
JA,200903,011,41,183.22258867308858,-4.100000000000001
JA,200904,011,51,226.65153216776025,-5.099999999999999
JA,200905,011,31,137.04776777355627,-3.1000000000000014
JA,200906,011,49,241.5713156836963,-4.8999999999999995
JA,200907,011,26,122.46900901615878,-2.600000000000001
JA,200908,011,50,243.4789520956167,-4.999999999999998
JA,200909,011,28,165.6407616537874,-2.800000000000001
JA,200910,011,44,229.91764136637468,-4.4
JA,200911,011,54,170.64412709026922,-5.399999999999997
JA,200912,011,82,386.4601570057712,-8.199999999999994
JA,201001,011,49,243.1688379938916,-4.8999999999999995
JA,201002,011,64,324.23405925655294,-6.399999999999995
JA,201003,011,20,90.53727211928799,-2.0000000000000004
JA,201004,011,19,110.1654035436065,-1.9000000000000006
JA,201005,011,32,183.1080976621981,-3.2000000000000015
JA,201006,011,12,70.16587760855644,-1.2000000000000002
JA,201007,011,21,86.60029913390504,-2.1000000000000005
JA,201008,011,47,233.46645180575186,-4.700000000000001
JA,201009,011,47,228.9158896055743,-4.699999999999999
JA,201010,011,31,149.6800110118921,-3.1000000000000014
JA,201011,011,45,211.19960182364483,-4.5
JA,201012,011,40,197.3402242977547,-4.000000000000002
JA,201101,011,55,260.6744352819822,-5.499999999999998
JA,201102,011,41,211.7188220207104,-4.100000000000001
JA,201103,011,150,676.271718815019,-14.999999999999979
JA,201104,011,52,243.20531454392798,-5.199999999999999
JA,201105,011,52,245.38776162053765,-5.2
JA,201106,011,28,140.1091481069784,-2.800000000000001
JA,201107,011,47,190.6565466569058,-4.7
JA,201108,011,34,165.9342873247279,-3.4000000000000017
JA,201109,011,38,168.8609768706513,-3.800000000000002
JA,201110,011,35,189.45946633369272,-3.5000000000000013
JA,201111,011,65,309.8183947375767,-6.499999999999996
JA,201112,011,42,227.8768532163293,-4.200000000000002
JA,201201,011,82,335.93314384115524,-8.199999999999992
JA,201202,011,52,290.0728311624337,-5.199999999999998
JA,201203,011,50,264.99124533183584,-4.999999999999999
JA,201204,011,79,385.6981416009165,-7.899999999999991
JA,201205,011,53,216.9072653430112,-5.299999999999999
JA,201206,011,61,319.74653384079903,-6.099999999999996
JA,201207,011,24,117.45376022710599,-2.400000000000001
JA,201208,011,61,268.4199319797432,-6.099999999999995
JA,201209,011,60,240.79458006257732,-5.9999999999999964
JA,201210,011,54,285.24280561366885,-5.399999999999997
JA,201211,011,11,29.490354431542926,-1.0999999999999999
JA,201212,011,32,58.44978093787366,-3.2000000000000015
JA,201301,011,70,121.03788613076006,-6.9999999999999964
JA,201302,011,59,96.21099100720033,-5.899999999999996
JA,201303,011,29,55.32984335192407,-2.9000000000000012
JA,201304,011,29,63.99358390893569,-2.9000000000000012
JA,201305,011,44,81.96457233421938,-4.400000000000001
JA,201306,011,34,96.6792386338166,-3.4000000000000017
JA,201307,011,46,124.33815314617509,-4.6
JA,201308,011,74,157.49622057654585,-7.399999999999993
JA,201309,011,53,93.01745218764795,-5.299999999999999
JA,201310,011,53,111.98718507964266,-5.299999999999998
JA,201311,011,40,68.13407664126282,-4.000000000000002
JA,201312,011,29,54.12028656315613,-2.9000000000000012
JA,201401,011,39,70.0570274173117,-3.900000000000002
JA,201402,011,71,133.24788794672878,-7.0999999999999925
JA,201403,011,58,121.34763937223713,-5.799999999999996
JA,201404,011,93,225.34684972851096,-9.299999999999988
JA,201405,011,29,69.2118787391202,-2.9000000000000012
JA,201406,011,46,101.40848389645821,-4.6000000000000005
JA,201407,011,86,179.01985892153382,-8.599999999999993
JA,201408,011,36,58.48833783473065,-3.600000000000002
JA,201409,011,65,123.67588905746145,-6.499999999999996
JA,201410,011,54,101.03800235393241,-5.399999999999997
JA,201411,011,37,56.986314599512646,-3.7000000000000024
JA,201412,011,58,110.32759413480804,-5.799999999999997
JA,201501,011,213,393.00986292692687,-21.300000000000004
JA,201502,011,85,78.41935107702024,-8.499999999999991
JA,201503,011,129,-391.44422682627527,-12.899999999999979
JA,201504,011,61,-151.13270808421564,-6.099999999999998
JA,201505,011,71,-151.91566271912157,-7.099999999999993
JA,201506,011,79,-217.51078786091853,-7.8999999999999915
JA,201507,011,129,-439.7347573971616,-12.89999999999998
JA,201508,011,134,-391.27653535169463,-13.399999999999975
JA,201509,011,73,-96.82563147888486,-7.299999999999993
JA,201510,011,94,-321.422261604044,-9.399999999999988
JA,201511,011,73,-162.83130921517056,-7.299999999999994
JA,201512,011,84,-244.18096235452433,-8.399999999999993
JA,201601,011,71,-124.69902608432837,-7.0999999999999925
JA,201602,011,94,-183.70690961545623,-9.400000044703477
JA,201603,011,115,-228.262277765067,-11.49999999999998
JA,201604,011,112,-299.22629892200507,-11.199999999999985
JA,201605,011,100,-230.60523254669832,-9.999999999999988
JA,201606,011,106,-275.39328375066725,-10.6
JA,201607,011,80,-226.39236464961192,-8.0
JA,201608,011,115,-391.6562953781586,-11.500000000000002
JA,201609,011,55,-174.02119468978032,-5.5
JA,201610,011,104,-329.94109826092546,-10.399999999999999
JA,201611,011,85,-233.2694723500205,-8.499999999999998
JA,201612,011,80,-139.64376371587514,-7.999999999999999
JA,201701,011,91,-174.02007344180356,-9.099999999999998
JA,201702,011,90,-249.56095798946967,-9.000000000000002
JA,201703,011,103,-183.58700598705963,-10.299999999999999
JA,201704,011,79,-237.29015609532655,-7.899999999999999
JA,201705,011,86,-171.9905117078749,-8.6
JA,201706,011,102,-346.57236479247433,-10.199999999999998
JA,201707,011,87,-251.23156696491853,-8.700000000000003
JA,201708,011,78,-261.43758966466,-7.800000000000001
JA,201709,011,83,-118.99481512849786,-8.300000000000002
JA,201710,011,98,-242.18052116353607,-9.8
