ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
KQ,200808,010,1,7.32758620689655,0.0
KQ,200901,010,12,85.64386517874891,0.0
KQ,201505,010,2,-4.15973377703826,0.0
KQ,201605,020,1,1.40845070422535,3.0
KQ,201710,020,1,1.01522842639594,3.0
KQ,201011,040,1,6.99790062981106,1.0
KQ,200901,042,1,3.14569536423841,1.9
KQ,201505,042,2,-4.15973377703826,3.8
KQ,200901,043,1,3.14569536423841,2.8
KQ,201505,043,2,-4.15973377703826,5.6
KQ,201407,051,1,1.80412371134021,3.4
KQ,201503,071,1,-4.85714285714285,7.4
KQ,201505,080,1,-2.07986688851913,5.0
KQ,200901,120,1,7.5187969924812,-4.0
