ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
KV,200801,010,54,273.7410276187471,0.0
KV,200802,010,78,434.107392542142,0.0
KV,200803,010,55,272.1827425554567,0.0
KV,200804,010,31,158.2117273901232,0.0
KV,200805,010,43,248.40573307320548,0.0
KV,200806,010,31,141.617602523353,0.0
KV,200807,010,38,186.0316273179711,0.0
KV,200808,010,32,166.85518901485122,0.0
KV,200809,010,20,127.21163906109346,0.0
KV,200810,010,49,227.06311644267356,0.0
KV,200811,010,29,164.8211534409026,0.0
KV,200812,010,31,136.62311812494914,0.0
KV,200901,010,23,117.53589514823545,0.0
KV,200902,010,26,144.5928671882676,0.0
KV,200903,010,36,243.29767764560097,0.0
KV,200904,010,36,185.63962199536385,0.0
KV,200905,010,37,188.9685631757634,0.0
KV,200906,010,28,154.848028841847,0.0
KV,200907,010,40,196.91790392848105,0.0
KV,200908,010,53,300.04081887450184,0.0
KV,200909,010,51,286.0456360495585,0.0
KV,200910,010,83,472.68709441059576,0.0
KV,200911,010,57,377.786400941994,0.0
KV,200912,010,90,416.42751761132,0.0
KV,201001,010,79,460.67333757838446,0.0
KV,201002,010,25,148.8718692362453,0.0
KV,201003,010,52,396.4361826461755,0.0
KV,201004,010,104,746.5591792753687,0.0
KV,201005,010,63,328.0427714451217,0.0
KV,201006,010,11,60.140459938919655,0.0
KV,201007,010,52,290.7189420673677,0.0
KV,201008,010,40,252.88645865227392,0.0
KV,201009,010,86,603.022721590518,0.0
KV,201010,010,72,487.8804800814635,0.0
KV,201011,010,121,815.620924280354,0.0
KV,201012,010,62,285.79296103674494,0.0
KV,201101,010,61,324.4166641066489,0.0
KV,201102,010,66,409.6601398442631,0.0
KV,201103,010,55,290.3103555667337,0.0
KV,201104,010,32,201.93311730808887,0.0
KV,201105,010,75,414.00366276200526,0.0
KV,201106,010,95,522.3931148707708,0.0
KV,201107,010,50,265.38475122459755,0.0
KV,201108,010,82,394.8728469868024,0.0
KV,201109,010,90,470.7127323537166,0.0
KV,201110,010,65,374.1566581945289,0.0
KV,201111,010,59,341.37920665086,0.0
KV,201112,010,68,316.54937723893994,0.0
KV,201201,010,72,355.1838197317909,0.0
KV,201202,010,115,657.2338234635713,0.0
KV,201203,010,85,393.25803132046065,0.0
KV,201204,010,75,307.353951279065,0.0
KV,201205,010,88,448.16996901327684,0.0
KV,201206,010,67,366.4349440933866,0.0
KV,201207,010,57,337.4990315998472,0.0
KV,201208,010,39,212.0305111584269,0.0
KV,201209,010,67,371.8449048741027,0.0
KV,201210,010,75,438.4719135730319,0.0
KV,201211,010,111,347.22057595852516,0.0
KV,201212,010,115,351.7834193260254,0.0
KV,201301,010,74,168.4020802729842,0.0
KV,201302,010,94,201.1281129383403,0.0
KV,201303,010,100,265.0801194462776,0.0
KV,201304,010,76,181.63409330499567,0.0
KV,201305,010,45,119.83676972424159,0.0
KV,201306,010,76,205.6879896834565,0.0
KV,201307,010,92,240.9279073648207,0.0
KV,201308,010,158,411.6182847934992,0.0
KV,201309,010,110,269.93649847582225,0.0
KV,201310,010,151,296.50238180929097,0.0
KV,201311,010,165,386.24125882254145,0.0
KV,201312,010,116,292.68702823681184,0.0
KV,201401,010,107,261.0657279706427,0.0
KV,201402,010,87,202.97489773762558,0.0
KV,201403,010,233,492.5631278436826,0.0
KV,201404,010,130,329.8752351909239,0.0
KV,201405,010,60,131.8125061012703,0.0
KV,201406,010,144,318.62667325557584,0.0
KV,201407,010,73,74.83735911023189,0.0
KV,201408,010,109,259.56020193620793,0.0
KV,201409,010,96,191.8107166469613,0.0
KV,201410,010,87,170.4212400931621,0.0
KV,201411,010,77,183.06159897554744,0.0
KV,201412,010,77,119.44628068001539,0.0
KV,201501,010,84,178.97751195491358,0.0
KV,201502,010,111,-21.53851637450439,0.0
KV,201503,010,93,-201.1890567492702,0.0
KV,201504,010,134,-337.45022471437557,0.0
KV,201505,010,175,-529.8986491979803,0.0
KV,201506,010,155,-350.4887057946955,0.0
KV,201507,010,131,-400.531437784316,0.0
KV,201508,010,167,-398.0649687548982,0.0
KV,201509,010,157,-354.4846749566745,0.0
KV,201510,010,360,-560.1104927885059,0.0
KV,201511,010,181,-523.6487665420656,0.0
KV,201512,010,182,-455.84334230075484,0.0
KV,201601,010,152,-600.4834591575842,0.0
KV,201602,010,136,-504.9013810372617,0.0
KV,201603,010,102,-334.02122730856377,0.0
KV,201604,010,123,-237.65398397330412,0.0
KV,201605,010,134,-242.90519495345418,0.0
KV,201606,010,117,-269.87189184847136,0.0
KV,201607,010,137,-468.18337012455396,0.0
KV,201608,010,132,-436.08990758963864,0.0
KV,201609,010,170,-491.2477074250248,0.0
KV,201610,010,113,-297.52467057102007,0.0
KV,201611,010,122,-481.9550994942382,0.0
KV,201612,010,64,-184.48865049181248,0.0
KV,201701,010,177,-525.7062677633307,0.0
KV,201702,010,158,-259.61191132028245,0.0
KV,201703,010,214,-487.132557552233,0.0
KV,201704,010,166,-555.6674377499398,0.0
KV,201705,010,111,-242.11484952036716,0.0
KV,201706,010,89,-192.75587378096805,0.0
KV,201707,010,76,-63.02297818136655,0.0
KV,201708,010,96,-244.5719382266175,0.0
KV,201709,010,81,-96.80170438280118,0.0
KV,201710,010,127,-219.69311781072577,0.0
KV,201711,010,166,-453.33912519302123,0.0
KV,201712,010,76,-156.02198635532537,0.0
KV,201801,010,185,-635.2597435711286,0.0
KV,201802,010,136,-151.73070508207022,0.0
KV,201803,010,179,-404.3266598114865,0.0
KV,201804,010,153,-336.2778353730173,0.0
KV,201805,010,146,-203.66384337069428,0.0
KV,201806,010,104,-240.77128299146648,0.0
KV,201807,010,98,-150.65280392868195,0.0
KV,201808,010,105,-158.42579647480517,0.0
KV,201809,010,136,-262.6160392542736,0.0
KV,201810,010,123,-164.0837092303069,0.0
KV,201811,010,138,-275.1686502311426,0.0
KV,201812,010,226,-477.0157355049103,0.0
KV,201901,010,91,-267.87397450267605,0.0
KV,201902,010,96,-292.2186467867129,0.0
KV,201903,010,101,-257.0830912642772,0.0
KV,201904,010,90,-286.50645002671234,0.0
KV,201905,010,143,-502.22833186681237,0.0
KV,201906,010,69,-167.53694344579682,0.0
KV,200802,011,1,3.79637618636756,-0.1
KV,200804,011,2,13.63636363636364,-0.2
KV,200808,011,3,18.68131868131869,-0.30000000000000004
KV,200812,011,1,4.82206677751658,-0.1
KV,200904,011,1,6.25,-0.1
KV,200911,011,2,10.78657132468792,-0.2
KV,200912,011,2,3.3484148733039003,-0.2
KV,201001,011,2,8.71558517365503,-0.2
KV,201004,011,3,17.15169080661874,-0.30000000000000004
KV,201005,011,3,11.28589842199721,-0.30000000000000004
KV,201007,011,1,6.62251655629139,-0.1
