ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
MH,200801,010,14,80.44496267264711,0.0
MH,200802,010,10,51.9386622244718,0.0
MH,200803,010,15,67.8931886039215,0.0
MH,200804,010,15,72.55031777065363,0.0
MH,200805,010,29,157.6884310260399,0.0
MH,200806,010,30,142.83873149779512,0.0
MH,200807,010,21,126.58756558341618,0.0
MH,200808,010,5,34.147235644967736,0.0
MH,200809,010,9,47.53453975078677,0.0
MH,200810,010,24,97.73744965287484,0.0
MH,200811,010,24,125.45686981268445,0.0
MH,200812,010,30,120.25546823434917,0.0
MH,200901,010,38,158.59753346527896,0.0
MH,200902,010,41,207.37220351911304,0.0
MH,200903,010,32,155.58395843874146,0.0
MH,200904,010,21,82.65822883008425,0.0
MH,200905,010,42,217.53855375931408,0.0
MH,200906,010,77,390.0903303556027,0.0
MH,200907,010,46,206.51938334253936,0.0
MH,200908,010,41,220.26064790206377,0.0
MH,200909,010,35,185.92527771020625,0.0
MH,200910,010,83,385.7166240890252,0.0
MH,200911,010,42,218.10816087817915,0.0
MH,200912,010,54,254.6949958794228,0.0
MH,201001,010,53,249.14591030664874,0.0
MH,201002,010,45,279.9895715575735,0.0
MH,201003,010,10,73.72877728097319,0.0
MH,201004,010,16,78.7260821584948,0.0
MH,201005,010,26,122.72871666256117,0.0
MH,201006,010,31,132.5901797985075,0.0
MH,201007,010,32,130.3198456671251,0.0
MH,201008,010,78,370.6978039458763,0.0
MH,201009,010,104,505.2403579676157,0.0
MH,201010,010,82,395.72713171934464,0.0
MH,201011,010,85,412.38295730706733,0.0
MH,201012,010,87,373.8561439748632,0.0
MH,201101,010,135,632.132806600135,0.0
MH,201102,010,95,502.9290813990229,0.0
MH,201103,010,100,495.83968447486893,0.0
MH,201104,010,98,468.2370816001132,0.0
MH,201105,010,56,308.5530815852536,0.0
MH,201106,010,75,330.5213568494304,0.0
MH,201107,010,79,381.61638709241424,0.0
MH,201108,010,87,455.62449725300377,0.0
MH,201109,010,75,394.76439315959595,0.0
MH,201110,010,54,256.3937094755396,0.0
MH,201111,010,72,370.45281779976125,0.0
MH,201112,010,51,185.04428374157166,0.0
MH,201201,010,75,401.1802393854602,0.0
MH,201202,010,110,661.9613109089387,0.0
MH,201203,010,144,615.8853446788451,0.0
MH,201204,010,90,403.42387002010355,0.0
MH,201205,010,135,672.0903241218476,0.0
MH,201206,010,109,551.2468982808388,0.0
MH,201207,010,2,5.45454545454546,0.0
MH,201208,010,4,35.19893483709272,0.0
MH,201209,010,1,10.6481481481481,0.0
MH,201210,010,11,48.503838385002084,0.0
MH,201211,010,2,6.27691569228923,0.0
MH,201212,010,3,10.424807158087809,0.0
MH,201301,010,3,1.7072729663970498,0.0
MH,201307,010,9,18.77398271347714,0.0
MH,201308,010,6,16.093659278170026,0.0
MH,201309,010,23,44.835525610328325,0.0
MH,201310,010,8,15.495956781165878,0.0
