ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
MK,200801,010,111,606.9349809801743,0.0
MK,200802,010,102,590.4957829768684,0.0
MK,200803,010,144,878.4586507513741,0.0
MK,200804,010,110,626.0935148380363,0.0
MK,200805,010,108,571.9443915107236,0.0
MK,200806,010,213,915.2433922037638,0.0
MK,200807,010,60,331.0954271402269,0.0
MK,200808,010,72,408.5292560284509,0.0
MK,200809,010,75,398.61972789055005,0.0
MK,200810,010,131,800.3790254397987,0.0
MK,200811,010,101,658.8554646270601,0.0
MK,200812,010,83,449.5124807598645,0.0
MK,200901,010,107,554.141922091092,0.0
MK,200902,010,122,731.1368838671389,0.0
MK,200903,010,190,1107.0838966824601,0.0
MK,200904,010,155,884.3457682463911,0.0
MK,200905,010,140,837.4291644036794,0.0
MK,200906,010,122,648.6831627844283,0.0
MK,200907,010,109,653.120018964548,0.0
MK,200908,010,123,767.6998758138074,0.0
MK,200909,010,179,926.4839149883773,0.0
MK,200910,010,138,923.4187376477919,0.0
MK,200911,010,121,741.6082924667177,0.0
MK,200912,010,112,636.8705025736053,0.0
MK,201001,010,112,694.3626806719662,0.0
MK,201002,010,72,437.05977826537435,0.0
MK,201003,010,38,203.5362871869007,0.0
MK,201004,010,70,405.02727294384783,0.0
MK,201005,010,85,509.46372673180264,0.0
MK,201006,010,51,263.75607853146755,0.0
MK,201007,010,62,383.1908718551151,0.0
MK,201008,010,99,575.4073301011092,0.0
MK,201009,010,85,397.57692919244033,0.0
MK,201010,010,68,446.27183404414626,0.0
MK,201011,010,116,552.6596248878699,0.0
MK,201012,010,89,493.7604353785268,0.0
MK,201101,010,87,480.0327368339787,0.0
MK,201102,010,101,553.8775710256788,0.0
MK,201103,010,117,664.7220819064705,0.0
MK,201104,010,64,355.94041687819794,0.0
MK,201105,010,61,368.37278499844643,0.0
MK,201106,010,118,681.7985851291528,0.0
MK,201107,010,95,586.5539678373183,0.0
MK,201108,010,110,758.7308518511823,0.0
MK,201109,010,89,618.935407899848,0.0
MK,201110,010,174,1047.8207416695782,0.0
MK,201111,010,111,700.7338381073679,0.0
MK,201112,010,79,486.6367341267723,0.0
MK,201201,010,126,770.3099259573349,0.0
MK,201202,010,130,764.3324418870669,0.0
MK,201203,010,103,651.9123671245435,0.0
MK,201204,010,182,788.0543403378737,0.0
MK,201205,010,195,839.0104526713424,0.0
MK,201206,010,133,789.8287704731946,0.0
MK,201207,010,110,709.6798022720984,0.0
MK,201208,010,98,549.5594409624974,0.0
MK,201209,010,102,650.5674188540565,0.0
MK,201210,010,73,425.1955796621705,0.0
MK,201211,010,107,320.0535016170949,0.0
MK,201212,010,74,212.85669861128724,0.0
MK,201301,010,129,384.23308261346426,0.0
MK,201302,010,120,347.5992881060859,0.0
MK,201303,010,128,285.14456938054224,0.0
MK,201304,010,6,9.188103947938217,0.0
MK,201305,010,9,26.644205634163832,0.0
MK,201306,010,84,202.46238765348153,0.0
MK,201307,010,160,470.7522175344706,0.0
MK,201308,010,179,514.375053773033,0.0
MK,201309,010,107,282.63347165241856,0.0
MK,201310,010,138,414.51126887443235,0.0
MK,201311,010,149,382.856006794015,0.0
MK,201312,010,224,501.13746550075405,0.0
MK,201401,010,190,527.6157415497338,0.0
MK,201402,010,166,416.3730833742102,0.0
MK,201403,010,99,265.7280880839222,0.0
MK,201404,010,171,436.1100114993043,0.0
MK,201405,010,159,478.4814953924143,0.0
MK,201406,010,120,313.92540579072323,0.0
MK,201407,010,199,434.80745386109595,0.0
MK,201408,010,162,457.39414053040986,0.0
MK,201409,010,187,383.0191177065457,0.0
MK,201410,010,198,439.4862597791946,0.0
MK,201411,010,118,243.4589838598133,0.0
MK,201412,010,153,339.91082233654254,0.0
MK,201501,010,133,325.11211819302304,0.0
MK,201502,010,175,35.81844118923202,0.0
MK,201503,010,264,-303.20454820235324,0.0
MK,201504,010,277,-689.2907711278098,0.0
MK,201505,010,627,-3429.5300921680737,0.0
MK,201506,010,244,-413.89674582575327,0.0
MK,201507,010,202,-416.18423282949936,0.0
MK,201508,010,469,-2206.095998862555,0.0
MK,201509,010,305,-970.6008316204974,0.0
MK,201510,010,214,-468.4211907763382,0.0
MK,201511,010,346,-1208.8267250858128,0.0
MK,201512,010,215,-629.0202122296466,0.0
MK,201601,010,217,-380.73110246117443,0.0
MK,201602,010,489,-2062.9818699783905,0.0
MK,201603,010,669,-3377.822809754285,0.0
MK,201604,010,522,-2672.278580300603,0.0
MK,201605,010,314,-990.5226449829839,0.0
MK,201606,010,168,-299.7859527565071,0.0
MK,201607,010,149,-385.8509328224401,0.0
MK,201608,010,307,-1025.3239787076234,0.0
MK,201609,010,250,-420.31807903382867,0.0
MK,201610,010,200,-130.57650441560034,0.0
MK,201611,010,287,-445.2463138527017,0.0
MK,201612,010,352,-650.0111118487545,0.0
MK,201701,010,323,-620.5331326691152,0.0
MK,201702,010,381,-419.32141766705547,0.0
MK,201703,010,341,-704.121165074338,0.0
MK,201704,010,341,-870.5299798197827,0.0
MK,201705,010,220,-549.2361052658432,0.0
MK,201706,010,213,-378.51847726390224,0.0
MK,201707,010,158,-127.29198350575567,0.0
MK,201708,010,195,-302.8447375334941,0.0
MK,201709,010,139,-197.8105118860283,0.0
MK,201710,010,128,-147.4170596602574,0.0
MK,201711,010,151,-196.55339360478683,0.0
MK,201712,010,173,-357.53875064842214,0.0
MK,201801,010,315,-312.263240411404,0.0
MK,201802,010,300,-367.00558018901296,0.0
MK,201803,010,234,-373.50896432343876,0.0
MK,201804,010,165,-250.98482102092353,0.0
MK,201805,010,235,-217.66089304588158,0.0
MK,201806,010,341,-277.69301115383,0.0
MK,201807,010,229,-67.66104197931294,0.0
MK,201808,010,117,-98.22381454126476,0.0
MK,201809,010,314,-10.516313014569683,0.0
MK,201810,010,322,-408.66669774672664,0.0
MK,201811,010,211,-589.8290772126957,0.0
MK,201812,010,83,-85.52858534609854,0.0
MK,201901,010,325,-94.86497478115514,0.0
MK,201902,010,324,-411.24285258861653,0.0
MK,201903,010,145,-264.3106431108124,0.0
MK,201904,010,204,-191.25339121650728,0.0
MK,201905,010,227,5.115880633237026,0.0
MK,201906,010,167,-135.90903629240344,0.0
MK,200801,011,1,6.52173913043478,-0.1
