ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
MX,200801,010,1015,3413.8088612641427,0.0
MX,200802,010,925,3282.636998304531,0.0
MX,200803,010,797,3297.378848793409,0.0
MX,200804,010,1024,4187.06362775976,0.0
MX,200805,010,829,3199.4715310490546,0.0
MX,200806,010,986,3441.003323210021,0.0
MX,200807,010,1066,4113.312506085898,0.0
MX,200808,010,842,3371.0576077712653,0.0
MX,200809,010,727,2721.0686149433013,0.0
MX,200810,010,1111,4059.652428686801,0.0
MX,200811,010,995,3610.61177669573,0.0
MX,200812,010,1192,3891.018985286565,0.0
MX,200901,010,1774,4945.038171947884,0.0
MX,200902,010,1411,4266.170787546489,0.0
MX,200903,010,1716,6217.246003621196,0.0
MX,200904,010,2652,11376.203427256052,0.0
MX,200905,010,2748,11123.067134290408,0.0
MX,200906,010,1491,5442.258082214893,0.0
MX,200907,010,839,3967.909089079682,0.0
MX,200908,010,1169,5695.9500587872735,0.0
MX,200909,010,1418,6315.712178140392,0.0
MX,200910,010,1151,5913.695432446374,0.0
MX,200911,010,905,4655.25456315034,0.0
MX,200912,010,1191,6477.28789582585,0.0
MX,201001,010,1156,5853.732979380712,0.0
MX,201002,010,938,4858.077825110224,0.0
MX,201003,010,372,1607.317492359847,0.0
MX,201004,010,849,3907.404897793319,0.0
MX,201005,010,674,3309.4722394686573,0.0
MX,201006,010,685,2902.1441180125553,0.0
MX,201007,010,1084,4815.565407985846,0.0
MX,201008,010,2286,10375.59436650338,0.0
MX,201009,010,2254,9984.864182971907,0.0
MX,201010,010,1813,8139.159180901866,0.0
MX,201011,010,2000,9085.416846582108,0.0
MX,201012,010,2076,10017.224611911779,0.0
MX,201101,010,1266,5910.499369048129,0.0
MX,201102,010,1370,6651.409623317368,0.0
MX,201103,010,1537,7697.259907690195,0.0
MX,201104,010,1627,7557.824273145928,0.0
MX,201105,010,1509,7636.209774018651,0.0
MX,201106,010,1459,7342.950588930638,0.0
MX,201107,010,1475,7213.494652676686,0.0
MX,201108,010,1748,8253.897896424163,0.0
MX,201109,010,1502,6751.056665693487,0.0
MX,201110,010,1393,6933.202914212678,0.0
MX,201111,010,1307,6273.961624273377,0.0
MX,201112,010,923,4783.621863968265,0.0
MX,201201,010,1284,6111.71865384411,0.0
MX,201202,010,1796,8892.931060265551,0.0
MX,201203,010,1754,8941.779266762265,0.0
MX,201204,010,1697,8485.789833771641,0.0
MX,201205,010,1872,9491.31115948131,0.0
MX,201206,010,2064,10735.742205803515,0.0
MX,201207,010,1651,9227.463664029092,0.0
MX,201208,010,1465,7495.006435480611,0.0
MX,201209,010,1599,7982.2177194737105,0.0
MX,201210,010,1302,7011.405923253776,0.0
MX,201211,010,1334,3395.8019359420987,0.0
MX,201212,010,1220,2686.285099307181,0.0
MX,201301,010,1208,2557.9814087128275,0.0
MX,201302,010,1715,3368.582940956063,0.0
MX,201303,010,1424,3203.0651649561423,0.0
MX,201304,010,568,1277.9043426604467,0.0
MX,201305,010,752,1601.779646627428,0.0
MX,201306,010,1058,2345.166691362969,0.0
MX,201307,010,2082,4746.627173177829,0.0
MX,201308,010,2348,5268.12526201268,0.0
MX,201309,010,2046,4445.459515240564,0.0
MX,201310,010,1998,4669.2770591746885,0.0
MX,201311,010,1643,3641.1574900505875,0.0
MX,201312,010,1409,3344.7418803482815,0.0
MX,201401,010,1566,3389.269451540841,0.0
MX,201402,010,2246,5035.530326685173,0.0
MX,201403,010,1677,3825.795956818292,0.0
MX,201404,010,1730,4078.6965341991768,0.0
MX,201405,010,1639,3534.1932994818926,0.0
MX,201406,010,1344,2651.7328122878935,0.0
MX,201407,010,2101,3991.607580983462,0.0
MX,201408,010,1542,3263.985553762755,0.0
MX,201409,010,2001,4187.523847318999,0.0
MX,201410,010,2690,5033.42812061253,0.0
MX,201411,010,2680,5030.6439268028,0.0
MX,201412,010,1993,4143.2260766012405,0.0
MX,201501,010,2039,3912.236483965436,0.0
MX,201502,010,2054,-966.3584291293862,0.0
