ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
NC,200801,010,1,5.88235294117647,0.0
NC,200802,010,6,29.871729994939603,0.0
NC,200803,010,2,16.76550531257724,0.0
NC,200804,010,1,2.05479452054794,0.0
NC,200805,010,3,19.62284196547145,0.0
NC,200806,010,2,10.57937208422646,0.0
NC,200809,010,2,8.37558703935256,0.0
NC,200810,010,1,6.87022900763359,0.0
NC,200811,010,16,169.4253746559317,0.0
NC,200812,010,1,0.164744645799012,0.0
NC,200901,010,2,13.98601398601398,0.0
NC,200905,010,2,9.89834422502351,0.0
NC,200906,010,3,26.216359884096676,0.0
NC,200907,010,8,41.658044153402315,0.0
NC,200908,010,39,240.54656523506182,0.0
NC,200909,010,4,21.77160154164534,0.0
NC,200910,010,19,83.28082693486147,0.0
NC,200911,010,5,34.36246059684473,0.0
NC,200912,010,2,16.15833874107722,0.0
NC,201001,010,1,5.75916230366492,0.0
NC,201004,010,4,26.48297983245696,0.0
NC,201005,010,2,11.33457494515689,0.0
NC,201006,010,1,8.08080808080808,0.0
NC,201007,010,2,4.911013286351061,0.0
NC,201008,010,15,55.924270293283364,0.0
NC,201009,010,2,6.93405846363018,0.0
NC,201010,010,1,5.70570570570571,0.0
NC,201011,010,10,55.718743921057566,0.0
NC,201012,010,2,14.298060160973261,0.0
NC,201101,010,5,33.48800575617771,0.0
NC,201102,010,2,16.14010989010989,0.0
NC,201103,010,5,28.853358321212205,0.0
NC,201105,010,5,36.49749483808094,0.0
NC,201106,010,1,3.32594235033259,0.0
NC,201107,010,3,20.598073506551177,0.0
NC,201108,010,17,108.54461579880962,0.0
NC,201110,010,2,6.5491218630575405,0.0
NC,201111,010,2,11.53493489822116,0.0
NC,201112,010,1,4.41441441441441,0.0
NC,201201,010,1,4.93827160493827,0.0
NC,201202,010,12,67.89716479561802,0.0
NC,201203,010,6,31.565155727420507,0.0
NC,201204,010,1,7.9136690647482,0.0
NC,201205,010,4,31.499486419214552,0.0
NC,201206,010,7,36.04251994994125,0.0
NC,201208,010,8,71.06648215907208,0.0
NC,201209,010,3,17.39926739926744,0.0
NC,201210,010,2,25.432873890224187,0.0
NC,201211,010,5,11.561235623652681,0.0
NC,201212,010,7,5.063463127979253,0.0
NC,201301,010,7,8.21802296047953,0.0
NC,201302,010,7,2.7978343848843528,0.0
NC,201303,010,9,9.431993700434287,0.0
NC,201305,010,2,4.04367952620413,0.0
NC,201306,010,11,32.09979900920664,0.0
NC,201307,010,2,8.12743823146944,0.0
NC,201309,010,1,4.89236790606654,0.0
NC,201310,010,7,5.790014382576532,0.0
NC,201311,010,3,5.221293975007363,0.0
NC,201312,010,6,24.18417388108014,0.0
NC,201401,010,5,18.2193425705061,0.0
NC,201402,010,2,3.7272504180387296,0.0
NC,201403,010,10,18.918818029446044,0.0
NC,201404,010,3,-6.12403305072997,0.0
NC,201405,010,10,25.945069742413647,0.0
NC,201406,010,1,3.02466744003286,0.0
NC,201407,010,7,14.162531036061473,0.0
NC,201408,010,5,19.7022046382628,0.0
NC,201409,010,2,4.4780421123710195,0.0
NC,201410,010,14,-14.588811479380185,0.0
NC,201411,010,5,8.43796178683807,0.0
NC,201412,010,4,16.90118366804098,0.0
NC,201501,010,1,1.64383561643836,0.0
NC,201502,010,8,16.20395891091776,0.0
NC,201503,010,31,-92.7361616638116,0.0
NC,201504,010,15,-14.029181908533213,0.0
NC,201505,010,34,-122.08653651464523,0.0
NC,201506,010,9,-5.092285292617898,0.0
NC,201507,010,7,-3.63269001465694,0.0
NC,201508,010,7,-21.341865166923654,0.0
NC,201509,010,5,13.98088474180885,0.0
NC,201510,010,7,-32.08726564174816,0.0
NC,201511,010,12,-44.87694439513653,0.0
NC,201512,010,20,8.41742745281269,0.0
NC,201601,010,12,-21.560264929367627,0.0
NC,201602,010,14,-36.233169487521145,0.0
NC,201603,010,13,-21.452631453014344,0.0
NC,201604,010,19,-46.35094113516369,0.0
NC,201605,010,10,8.832329991809008,0.0
NC,201606,010,20,-105.80605704651686,0.0
NC,201607,010,7,-12.7373219490839,0.0
NC,201608,010,9,8.741547912106089,0.0
NC,201609,010,37,-75.66139428393046,0.0
NC,201610,010,18,-14.442725849484614,0.0
NC,201611,010,19,-65.65825915919591,0.0
NC,201612,010,12,6.728798612517483,0.0
NC,201701,010,4,-15.061490557216821,0.0
NC,201702,010,23,-20.500829817567578,0.0
