ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
NI,200801,010,876,4734.298974109464,0.0
NI,200802,010,782,4494.560045614111,0.0
NI,200803,010,751,3875.2151381774,0.0
NI,200804,010,739,3921.0627831175016,0.0
NI,200805,010,1019,5062.9583879392585,0.0
NI,200806,010,896,4657.149484795587,0.0
NI,200807,010,899,4576.447923857113,0.0
NI,200808,010,728,3698.3692491457377,0.0
NI,200809,010,798,3970.5235009923963,0.0
NI,200810,010,818,4338.416270464507,0.0
NI,200811,010,985,5054.438553404223,0.0
NI,200812,010,1159,6641.41905934789,0.0
NI,200901,010,2360,13237.123093560982,0.0
NI,200902,010,2103,11994.467333569044,0.0
NI,200903,010,2627,15370.208920405168,0.0
NI,200904,010,2806,16464.80158781069,0.0
NI,200905,010,3194,17979.162152200184,0.0
NI,200906,010,2598,15466.162150899638,0.0
NI,200907,010,2148,11397.499918253094,0.0
NI,200908,010,3773,21280.942862321164,0.0
NI,200909,010,3085,19329.330946442336,0.0
NI,200910,010,3300,20485.750034363547,0.0
NI,200911,010,2390,14766.844691706907,0.0
NI,200912,010,4597,24644.472072475593,0.0
NI,201001,010,5265,27773.57633331759,0.0
NI,201002,010,3494,20741.04253188773,0.0
NI,201003,010,1092,5704.59146073962,0.0
NI,201004,010,1479,8554.412910478715,0.0
NI,201005,010,1133,6654.05082056941,0.0
NI,201006,010,793,4987.267960108083,0.0
NI,201007,010,1162,7012.52006520061,0.0
NI,201008,010,3475,21649.048322760544,0.0
NI,201009,010,2860,17165.303606100406,0.0
NI,201010,010,2789,16569.546269937153,0.0
NI,201011,010,3338,20294.373971151213,0.0
NI,201012,010,3799,21787.111472768484,0.0
NI,201101,010,3589,20624.31247561152,0.0
NI,201102,010,2966,17778.153185121126,0.0
NI,201103,010,4094,24712.212803105027,0.0
NI,201104,010,3699,21673.604491922895,0.0
NI,201105,010,2557,15824.189252401493,0.0
NI,201106,010,3046,18075.706463324903,0.0
NI,201107,010,3937,22495.76981501353,0.0
NI,201108,010,4763,28670.118538372637,0.0
NI,201109,010,3696,21582.06820099318,0.0
NI,201110,010,3433,19657.63752921106,0.0
NI,201111,010,4291,25739.24482802431,0.0
NI,201112,010,3329,17896.80397315172,0.0
NI,201201,010,4232,20536.402019203222,0.0
NI,201202,010,4739,26115.044369378415,0.0
NI,201203,010,5289,29135.919482082783,0.0
NI,201204,010,5079,28154.470315530052,0.0
NI,201205,010,4782,27566.04424751617,0.0
NI,201206,010,4141,22612.381335376012,0.0
NI,201207,010,4623,27068.440092664954,0.0
NI,201208,010,4129,24348.66205301541,0.0
NI,201209,010,4086,24880.458160458333,0.0
NI,201210,010,4662,27020.07820059655,0.0
NI,201211,010,4969,15585.3627311828,0.0
NI,201212,010,4306,11740.84968905149,0.0
NI,201301,010,3971,10560.842601940072,0.0
NI,201302,010,3677,9850.365665106345,0.0
NI,201303,010,4965,14676.640086076792,0.0
NI,201304,010,1100,2822.8669124631347,0.0
NI,201305,010,1276,2902.8797706217447,0.0
NI,201306,010,3156,8487.11826570757,0.0
NI,201307,010,6140,17279.600134238008,0.0
NI,201308,010,6281,17488.25589044551,0.0
NI,201309,010,6851,18472.670496695613,0.0
NI,201310,010,6946,19194.364044642076,0.0
NI,201311,010,6190,16808.999755473902,0.0
NI,201312,010,5483,15332.45155080468,0.0
NI,201401,010,4743,12635.487367621825,0.0
NI,201402,010,6086,15108.706339371573,0.0
NI,201403,010,6078,14339.254971312886,0.0
NI,201404,010,7293,18088.772128648117,0.0
NI,201405,010,9649,23556.694678801163,0.0
NI,201406,010,7265,20383.49384715734,0.0
NI,201407,010,7606,20354.64307036619,0.0
NI,201408,010,7660,20668.080954067653,0.0
NI,201409,010,10313,28000.675451772364,0.0
NI,201410,010,10344,31138.968463673926,0.0
NI,201411,010,11374,30482.798979898846,0.0
NI,201412,010,9890,28317.164153576792,0.0
NI,201501,010,12280,32411.614572082828,0.0
NI,201502,010,12510,3442.047419272783,0.0
NI,201503,010,16001,-32276.986623913897,0.0
NI,201504,010,13464,-22146.07272727846,0.0
NI,201505,010,12201,-24210.5808161763,0.0
NI,201506,010,12512,-27501.474778852513,0.0
NI,201507,010,15043,-40864.50530886279,0.0
NI,201508,010,13876,-29200.56909914628,0.0
NI,201509,010,14189,-29266.7380124778,0.0
NI,201510,010,13133,-30460.006566909153,0.0
NI,201511,010,12370,-24953.221464889542,0.0
NI,201512,010,13367,-34221.196621659336,0.0
NI,201601,010,13299,-32165.642264759896,0.0
NI,201602,010,13291,-30746.680265020776,0.0
NI,201603,010,13434,-31713.56588202571,0.0
NI,201604,010,14098,-35789.68779428764,0.0
NI,201605,010,16803,-38458.32809197437,0.0
NI,201606,010,15769,-40467.67180227435,0.0
NI,201607,010,15859,-37048.37499270322,0.0
NI,201608,010,16998,-39447.688580813425,0.0
NI,201609,010,14558,-32127.453232048872,0.0
NI,201610,010,15477,-32287.963689880395,0.0
NI,201611,010,15252,-32496.077001460686,0.0
NI,201612,010,13713,-28066.473342147237,0.0
NI,201701,010,15761,-38359.56562649841,0.0
NI,201702,010,14113,-27952.362618443385,0.0
NI,201703,010,16031,-33174.57502534388,0.0
NI,201704,010,14128,-34057.355047666446,0.0
NI,201705,010,15588,-32014.836594591903,0.0
NI,201706,010,14792,-33089.882718010726,0.0
NI,201707,010,15265,-27098.90535448635,0.0
NI,201708,010,14084,-30868.154795166676,0.0
NI,201709,010,12888,-27468.25255468038,0.0
NI,201710,010,14238,-26838.739090816383,0.0
NI,201711,010,14057,-21111.888991223947,0.0
NI,201712,010,12346,-19963.49144742217,0.0
NI,201801,010,15573,-41002.9195576539,0.0
NI,201802,010,15981,-37704.969261950406,0.0
NI,201803,010,17109,-35092.10493844601,0.0
NI,201804,010,14444,-32856.86188084577,0.0
NI,201805,010,15787,-32994.151065145714,0.0
NI,201806,010,12870,-26262.94701808322,0.0
NI,201807,010,15426,-31907.169248124934,0.0
NI,201808,010,15716,-26757.886564699256,0.0
NI,201809,010,12852,-20800.193041263803,0.0
NI,201810,010,12614,-19633.20435373905,0.0
NI,201811,010,12282,-24390.71884970024,0.0
NI,201812,010,11149,-21067.13408527096,0.0
NI,201901,010,12298,-22917.35661726634,0.0
NI,201902,010,12266,-22123.404386002414,0.0
NI,201903,010,12402,-22740.713023293647,0.0
