ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
NR,200801,010,5,43.157715260017035,0.0
NR,200802,010,5,18.04799010347762,0.0
NR,200803,010,1,2.56410256410256,0.0
NR,200804,010,14,89.32291928195517,0.0
NR,200805,010,1,2.8322440087146,0.0
NR,200807,010,1,3.31384015594542,0.0
NR,200810,010,1,0.537634408602151,0.0
NR,200811,010,1,3.41880341880342,0.0
NR,200901,010,1,8.43139984143506,0.0
NR,200902,010,1,10.7954545454545,0.0
NR,200903,010,6,24.961735245318103,0.0
NR,200904,010,1,4.6551724137931,0.0
NR,200906,010,1,6.45161290322581,0.0
NR,200907,010,1,9.38775510204082,0.0
NR,200908,010,2,10.42183622828784,0.0
NR,200909,010,7,40.24680998761314,0.0
NR,200910,010,7,38.83956833572993,0.0
NR,200911,010,4,24.30930442370551,0.0
NR,200912,010,13,112.03565090161555,0.0
NR,201001,010,1,5.86206896551724,0.0
NR,201003,010,1,6.94698354661792,0.0
NR,201005,010,6,33.517562468810254,0.0
NR,201007,010,14,55.14527483884389,0.0
NR,201008,010,28,147.26338167640682,0.0
NR,201009,010,1,7.61847220762845,0.0
NR,201010,010,2,11.69543472991749,0.0
NR,201011,010,5,20.293972507601776,0.0
NR,201012,010,9,60.30038973978451,0.0
NR,201102,010,4,14.72766122766124,0.0
NR,201104,010,15,78.44332150535625,0.0
NR,201105,010,16,59.613962804745974,0.0
NR,201106,010,31,136.6629714880009,0.0
NR,201107,010,8,46.74950306640645,0.0
NR,201108,010,29,134.24653588654394,0.0
NR,201109,010,77,420.4763178376139,0.0
NR,201110,010,12,66.07424202977543,0.0
NR,201111,010,2,11.35496458608727,0.0
NR,201112,010,13,76.13470501267194,0.0
NR,201201,010,14,65.2214961994768,0.0
NR,201202,010,10,52.57310562149363,0.0
NR,201203,010,4,10.249466089889049,0.0
NR,201204,010,3,19.032367634161613,0.0
NR,201205,010,2,9.3816631130064,0.0
NR,201206,010,29,150.0693711917813,0.0
NR,201207,010,10,41.65137619019377,0.0
NR,201208,010,98,448.05368892895285,0.0
NR,201209,010,86,447.2544916703103,0.0
NR,201210,010,39,146.83001305891972,0.0
NR,201211,010,87,151.21838100176942,0.0
NR,201212,010,40,96.15111613684294,0.0
NR,201301,010,4,6.53203353665792,0.0
NR,201302,010,25,28.821369465352245,0.0
NR,201303,010,10,28.01608772519166,0.0
NR,201304,010,15,20.667977996723085,0.0
NR,201305,010,3,4.98550724637681,0.0
NR,201306,010,12,13.799016143032567,0.0
NR,201307,010,91,149.1485233171414,0.0
NR,201308,010,92,183.65020842425994,0.0
NR,201309,010,36,82.22220952927172,0.0
NR,201310,010,50,91.93454993915226,0.0
NR,201311,010,65,115.49324590751209,0.0
NR,201312,010,25,36.40997251232794,0.0
NR,201401,010,41,82.01134756898637,0.0
NR,201402,010,44,92.25084959046181,0.0
NR,201403,010,23,62.108511388953325,0.0
NR,201404,010,47,108.13352454420765,0.0
NR,201405,010,38,75.3747788665583,0.0
NR,201406,010,36,57.508199148225515,0.0
NR,201407,010,21,46.10847169025304,0.0
NR,201408,010,58,99.47906331840015,0.0
NR,201409,010,71,138.23463602916695,0.0
NR,201410,010,47,96.39405332015625,0.0
NR,201411,010,55,122.68011147757191,0.0
NR,201412,010,30,57.7648971673446,0.0
NR,201501,010,26,45.10966568124046,0.0
NR,201502,010,57,-40.405985350482126,0.0
NR,201503,010,85,-506.81415936292376,0.0
NR,201504,010,66,-318.21144764252944,0.0
NR,201505,010,88,-410.41474713967455,0.0
NR,201506,010,115,-650.3577011613307,0.0
NR,201507,010,62,-222.63513254408687,0.0
NR,201508,010,84,-439.6090059250778,0.0
NR,201509,010,132,-529.2961991499698,0.0
NR,201510,010,276,-1265.7774366672018,0.0
NR,201511,010,50,-166.0167019879387,0.0
NR,201512,010,18,-45.66730966665509,0.0
NR,201601,010,45,-212.99032945562908,0.0
NR,201602,010,295,-1095.2095527682018,0.0
NR,201603,010,55,-177.73271799908835,0.0
NR,201604,010,134,-503.2172975926894,0.0
NR,201605,010,151,-773.4088903814318,0.0
NR,201606,010,48,-113.59184793699063,0.0
NR,201607,010,36,-133.9716260042297,0.0
NR,201608,010,261,-1300.5566972587142,0.0
NR,201609,010,88,-366.5649535856279,0.0
NR,201610,010,147,-720.7940159404924,0.0
NR,201611,010,168,-727.1964142483697,0.0
NR,201612,010,42,-172.07404573055146,0.0
NR,201701,010,58,-238.05991956289444,0.0
NR,201702,010,144,-555.2290994160433,0.0
NR,201703,010,46,-158.36783596851134,0.0
NR,201704,010,31,-104.89979696345581,0.0
NR,201705,010,32,-108.89878531685474,0.0
NR,201706,010,30,-135.74941779500887,0.0
NR,201707,010,67,-241.54109375969608,0.0
NR,201708,010,73,-337.51426190140853,0.0
NR,201709,010,42,-97.7227855057753,0.0
NR,201710,010,70,-337.25599608788355,0.0
NR,201711,010,74,-325.93605820139953,0.0
NR,201712,010,19,-26.250097868122808,0.0
NR,201801,010,24,-80.3630139620191,0.0
NR,201802,010,41,-152.5696959438072,0.0
NR,201803,010,29,-157.05282959656878,0.0
NR,201804,010,38,-134.72465307374222,0.0
NR,201805,010,54,-266.81705954491656,0.0
NR,201806,010,36,-149.57514805252063,0.0
NR,201807,010,68,-278.2551699397076,0.0
NR,201808,010,116,-439.14548001858583,0.0
NR,201809,010,207,-662.3546295583643,0.0
NR,201810,010,239,-833.9788057857417,0.0
NR,201811,010,107,-320.64489590137936,0.0
NR,201812,010,49,-186.75929542075835,0.0
NR,201901,010,24,-67.48198233827917,0.0
NR,201902,010,153,-634.4904259269382,0.0
NR,201903,010,32,-72.23879582161398,0.0
NR,201904,010,16,-44.3530138199604,0.0
NR,201905,010,41,-171.7464384665015,0.0
NR,201906,010,38,-136.8218897249423,0.0
NR,200904,011,2,9.96845425867508,-0.2
NR,200910,011,1,3.7037037037037,-0.1
NR,201012,011,1,6.84713375796178,-0.1
NR,201105,011,3,11.00233349637238,-0.30000000000000004
NR,201109,011,5,28.87156419516429,-0.5
NR,201112,011,3,11.32075471698114,-0.30000000000000004
NR,201208,011,5,38.76067504748423,-0.5
NR,201209,011,7,35.76734754706373,-0.7
NR,201210,011,1,4.38095238095238,-0.1
NR,201307,011,4,4.007438519976848,-0.4
NR,201309,011,1,2.5531914893617,-0.1
NR,201310,011,1,2.52696827476377,-0.1
NR,201311,011,6,13.18732292006785,-0.6
NR,201312,011,1,3.47815745447354,-0.1
NR,201401,011,4,3.525201766407796,-0.4
NR,201402,011,3,4.25283922176744,-0.30000000000000004
NR,201404,011,1,2.0501138952164,-0.1
NR,201405,011,2,5.31364698031364,-0.2
NR,201406,011,2,2.524981586378368,-0.2
NR,201407,011,2,2.37429814186019,-0.2
NR,201408,011,1,1.5625,-0.1
NR,201409,011,7,16.35943479933176,-0.7
NR,201411,011,2,3.0188679245283,-0.2
NR,201412,011,4,13.31837419731466,-0.4
NR,201501,011,3,3.9893711082265604,-0.30000000000000004
NR,201502,011,2,0.6972726058368,-0.2
NR,201503,011,4,-17.27455330732264,-0.4
NR,201504,011,4,-13.40774652512188,-0.4
NR,201506,011,6,-30.47530548077727,-0.6
NR,201507,011,1,-4.71976401179941,-0.1
NR,201510,011,19,-107.70050266774322,-1.9000000000000006
NR,201511,011,7,-44.862195576256475,-0.7
NR,201601,011,1,-11.875,-0.1
NR,201602,011,26,-91.84411917120094,-2.6000000074505816
NR,201603,011,8,-46.388486337224464,-0.7999999999999999
NR,201604,011,1,-2.9789260837086,-0.1
NR,201605,011,3,-19.1103991735162,-0.30000000000000004
NR,201606,011,1,-0.84566596194503,-0.1
NR,201608,011,5,-20.219294095418498,-0.5
NR,201609,011,6,-38.41325969979001,-0.6
NR,201611,011,11,-52.43146166936269,-1.1
NR,201612,011,1,0.86862106406081,-0.1
NR,201701,011,6,-8.7153204621371,-0.6
NR,201702,011,5,-6.00444152403695,-0.5
NR,201703,011,2,-4.07239819004526,-0.2
NR,201704,011,4,-38.64345362910636,-0.4
NR,201708,011,3,-9.32381821362758,-0.30000000000000004
NR,201710,011,3,-6.892576212883711,-0.30000000000000004
NR,201802,011,1,-0.58675607711651,-0.1
NR,201805,011,6,-40.20515268357464,-0.6000000000000001
NR,201808,011,4,-19.903046091163212,-0.4
NR,201809,011,28,-99.60332862480732,-2.8000000000000007
NR,201810,011,6,-28.832028962177347,-0.6000000000000001
NR,201901,011,1,-4.3918918918919,-0.1
NR,201902,011,1,-2.32558139534883,-0.1
NR,201904,011,3,-10.53519818855338,-0.30000000000000004
NR,201905,011,3,-22.03389830508474,-0.30000000000000004
NR,201906,011,1,1.52671755725191,-0.1
NR,200802,012,2,8.65915558291184,-0.8
NR,200803,012,3,13.5217342732552,-1.2000000000000002
NR,200810,012,1,3.6697247706422,-0.4
NR,200901,012,2,13.12217194570136,-0.8
NR,200902,012,1,6.43776824034335,-0.4
NR,200904,012,2,6.7618415227977,-0.8
NR,200906,012,1,8.03630814977112,-0.4
NR,200908,012,2,6.38977635782748,-0.8
NR,200909,012,1,6.35313531353135,-0.4
NR,200910,012,4,16.91501669796921,-1.6
NR,201003,012,1,9.26553672316384,-0.4
NR,201004,012,1,4.58715596330275,-0.4
NR,201005,012,2,10.9746363542459,-0.8
NR,201007,012,10,32.12145699020942,-3.9999999999999996
NR,201008,012,5,27.638513481643642,-2.0
NR,201009,012,2,14.305711404134481,-0.8
NR,201010,012,1,3.9215810879512,-0.4
NR,201011,012,2,13.5933250512037,-0.8
NR,201012,012,3,12.269433465085639,-1.2000000000000002
NR,201104,012,1,4.05117270788913,-0.4
NR,201105,012,3,28.122818109417075,-1.2000000000000002
NR,201106,012,8,34.68262737721606,-3.1999999999999997
NR,201107,012,4,24.411656311188178,-1.6
NR,201108,012,4,18.15324805645404,-1.6
NR,201109,012,62,321.60682482875364,-24.799999999999986
NR,201110,012,3,13.895337008548971,-1.2000000000000002
NR,201111,012,5,25.192867362109233,-2.0
NR,201112,012,3,18.56336473983533,-1.2000000000000002
NR,201201,012,7,38.59469903362848,-2.8
NR,201202,012,2,10.033548148814571,-0.8
NR,201204,012,1,10.7142857142857,-0.4
NR,201206,012,9,47.10517145617444,-3.5999999999999996
NR,201207,012,1,5.00481231953802,-0.4
NR,201208,012,24,111.8523718211858,-9.600000000000003
NR,201209,012,29,153.86387698306785,-11.600000000000007
NR,201210,012,35,157.073232114192,-14.000000000000007
NR,201211,012,44,92.78256432555408,-17.6
NR,201212,012,4,11.06121690422202,-1.6
NR,201302,012,2,2.6904679106096,-0.8
NR,201303,012,2,5.58911647481662,-0.8
NR,201304,012,3,4.42681284991646,-1.2000000000000002
NR,201305,012,4,4.914894116542239,-1.6
NR,201306,012,2,2.855453624054678,-0.8
NR,201307,012,15,19.980702399085505,-6.000000000000001
NR,201308,012,15,32.0943203445559,-6.000000000000001
NR,201309,012,5,10.82998602632963,-2.0
NR,201310,012,6,9.817284691444739,-2.4
NR,201311,012,22,54.479869149746996,-8.800000000000002
NR,201312,012,4,6.7848332916700205,-1.6
NR,201401,012,15,27.13238623061878,-6.000000000000001
NR,201402,012,26,62.72199282566275,-10.400000000000004
NR,201403,012,2,9.321805826549149,-0.8
NR,201404,012,6,13.158344237524231,-2.4
NR,201405,012,10,29.740910415326056,-3.9999999999999996
NR,201406,012,5,8.16368298550588,-2.0
NR,201407,012,15,36.51076692870737,-6.000000000000001
NR,201408,012,24,23.884779467987688,-9.600000000000003
NR,201409,012,14,23.565391252190828,-5.6000000000000005
NR,201410,012,11,28.137408306087192,-4.3999999999999995
NR,201411,012,3,10.05791879263468,-1.2000000000000002
NR,201412,012,2,1.5,-0.8
NR,201501,012,9,18.67310250172408,-3.5999999999999996
NR,201502,012,11,-55.80279369734085,-4.4000000059604645
NR,201503,012,15,-71.34545963737106,-6.000000000000001
NR,201504,012,25,-112.84940042686404,-10.000000000000004
NR,201505,012,34,-180.92586477317727,-13.600000000000007
NR,201506,012,42,-211.15021645259873,-16.800000000000004
NR,201507,012,37,-191.84006733885704,-14.800000000000008
NR,201508,012,24,-137.2657464764713,-9.600000000000003
NR,201509,012,68,-293.7481485015431,-27.199999999999974
NR,201510,012,81,-441.4922555470339,-32.39999999999997
NR,201511,012,27,-154.33752933080834,-10.800000000000004
NR,201512,012,7,-9.61794115157665,-2.8
NR,201601,012,16,-66.66167203888375,-6.400000000000001
NR,201602,012,71,-300.1614091100822,-28.40000008344647
NR,201603,012,10,-41.578102454615696,-3.9999999999999996
NR,201604,012,54,-180.47405254014836,-21.59999999999999
NR,201605,012,58,-319.97123846407817,-23.19999999999999
NR,201606,012,6,-29.99902941048614,-2.4
NR,201607,012,13,-56.10526091034933,-5.200000000000001
NR,201608,012,64,-304.79556798916707,-25.599999999999994
NR,201609,012,37,-140.01148279344682,-14.800000000000004
NR,201610,012,32,-194.54686175590373,-12.800000000000002
NR,201611,012,52,-171.95928697610427,-20.800000000000004
NR,201612,012,16,-65.80993652352583,-6.3999999999999995
NR,201701,012,18,-48.048614063726134,-7.2
NR,201702,012,13,-31.208346088013812,-5.2
NR,201703,012,5,-17.46966793627466,-2.0
NR,201704,012,16,-57.37291650103061,-6.4
NR,201705,012,7,-30.847367599668182,-2.8
NR,201706,012,12,-57.60548659463922,-4.8
NR,201707,012,21,-93.2489090330283,-8.4
NR,201708,012,14,-106.1578697677248,-5.6
NR,201709,012,2,-8.275076381337051,-0.8
