ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
NZ,201104,---,1,9.67741935483871,0.0
NZ,200801,010,610,4237.840057651754,0.0
NZ,200802,010,750,4605.796963941067,0.0
NZ,200803,010,498,3320.5848000138267,0.0
NZ,200804,010,852,5488.390571158631,0.0
NZ,200805,010,985,6282.926776992932,0.0
NZ,200806,010,576,3697.991109194899,0.0
NZ,200807,010,528,3345.026522001795,0.0
NZ,200808,010,458,2929.0583292665356,0.0
NZ,200809,010,365,2038.6120908762157,0.0
NZ,200810,010,490,3040.423607242409,0.0
NZ,200811,010,549,3482.191199509892,0.0
NZ,200812,010,561,3288.9532596653594,0.0
NZ,200901,010,740,4241.72629435747,0.0
NZ,200902,010,632,3924.492164207926,0.0
NZ,200903,010,628,3775.8463739895847,0.0
NZ,200904,010,727,4474.62256357251,0.0
NZ,200905,010,949,5566.672365601985,0.0
NZ,200906,010,855,4963.32931056701,0.0
NZ,200907,010,674,4358.128461922128,0.0
NZ,200908,010,1377,8621.053332250434,0.0
NZ,200909,010,1488,8870.188978102717,0.0
NZ,200910,010,1231,7494.862680769801,0.0
NZ,200911,010,986,6156.9224104084315,0.0
NZ,200912,010,921,5615.406112390375,0.0
NZ,201001,010,1115,6641.113626042898,0.0
NZ,201002,010,1219,7235.550811087666,0.0
NZ,201003,010,301,1819.7858059564865,0.0
NZ,201004,010,618,3876.719168022614,0.0
NZ,201005,010,483,2659.676148220666,0.0
NZ,201006,010,401,2435.3862449428707,0.0
NZ,201007,010,431,2680.0905761784484,0.0
NZ,201008,010,1340,8603.075537955332,0.0
NZ,201009,010,1617,9364.410103382454,0.0
NZ,201010,010,872,5466.122999696934,0.0
NZ,201011,010,1693,10483.64787403134,0.0
NZ,201012,010,1221,7635.553848210095,0.0
NZ,201101,010,812,4808.182905371278,0.0
NZ,201102,010,1704,9947.871802833344,0.0
NZ,201103,010,1322,8319.810007527689,0.0
NZ,201104,010,1123,7239.675801906719,0.0
NZ,201105,010,1039,6562.574469143979,0.0
NZ,201106,010,1138,6323.623865423234,0.0
NZ,201107,010,1305,8465.700802054635,0.0
NZ,201108,010,1130,7349.668801719206,0.0
NZ,201109,010,1049,6756.678042199986,0.0
NZ,201110,010,879,5086.112317717972,0.0
NZ,201111,010,749,4977.526821919094,0.0
NZ,201112,010,682,3493.9753072285753,0.0
NZ,201201,010,920,5534.756139702735,0.0
NZ,201202,010,1449,9127.190278653172,0.0
NZ,201203,010,1729,10381.793370590058,0.0
NZ,201204,010,1323,8614.443834525735,0.0
NZ,201205,010,1754,11131.372742200521,0.0
NZ,201206,010,1456,8728.563691855721,0.0
NZ,201207,010,1627,10467.515272223254,0.0
NZ,201208,010,1635,10493.682225154806,0.0
NZ,201209,010,1100,7652.178319899231,0.0
NZ,201210,010,594,3885.524967902094,0.0
NZ,201211,010,755,2147.998025977804,0.0
NZ,201212,010,590,1468.0991420857295,0.0
NZ,201301,010,519,1246.780661190364,0.0
NZ,201302,010,632,1488.2073645038386,0.0
NZ,201303,010,614,1584.3964388035447,0.0
NZ,201304,010,438,1209.8302888710607,0.0
NZ,201305,010,541,1263.3089324864686,0.0
NZ,201306,010,952,2313.7328453431005,0.0
NZ,201307,010,1700,4470.761747055649,0.0
NZ,201308,010,1894,4894.369884955004,0.0
NZ,201309,010,1523,4039.5084066619393,0.0
NZ,201310,010,1543,4116.770241796129,0.0
NZ,201311,010,1630,4176.744572619835,0.0
NZ,201312,010,1251,3388.0215141831186,0.0
NZ,201401,010,972,2342.5018292729274,0.0
NZ,201402,010,1486,3744.510020405269,0.0
NZ,201403,010,1761,4248.758429139842,0.0
NZ,201404,010,1553,4162.824172126562,0.0
NZ,201405,010,1455,3759.019755767248,0.0
NZ,201406,010,1413,3745.1125658725205,0.0
NZ,201407,010,1784,4778.391062349348,0.0
NZ,201408,010,1698,4434.078519189323,0.0
NZ,201409,010,1908,4898.789073535964,0.0
NZ,201410,010,1942,5258.027207206178,0.0
NZ,201411,010,2051,5188.943796765256,0.0
NZ,201412,010,1526,3908.1535566444204,0.0
NZ,201501,010,1453,3576.608826527903,0.0
NZ,201502,010,2002,1860.0423247795857,0.0
NZ,201503,010,2408,-3596.815888531944,0.0
NZ,201504,010,2208,-2442.4142253032373,0.0
NZ,201505,010,2130,-1976.353843466344,0.0
NZ,201506,010,2359,-3258.292640873267,0.0
NZ,201507,010,2667,-3741.4003106436326,0.0
NZ,201508,010,2369,-2801.0172128871836,0.0
NZ,201509,010,2612,-2919.5073973290905,0.0
NZ,201510,010,2411,-2769.139794025799,0.0
NZ,201511,010,2447,-2583.6030026215403,0.0
NZ,201512,010,1941,-2145.186762733322,0.0
NZ,201601,010,1818,-1804.6781874334768,0.0
NZ,201602,010,2420,-3090.8753501111655,0.0
NZ,201603,010,2231,-2661.3040885410446,0.0
NZ,201604,010,2339,-2759.5788084313376,0.0
NZ,201605,010,2269,-2710.560014893696,0.0
NZ,201606,010,2030,-2451.519361260645,0.0
NZ,201607,010,2061,-1695.8129547996668,0.0
NZ,201608,010,2323,-2661.5116572944316,0.0
NZ,201609,010,2417,-2991.964233649483,0.0
NZ,201610,010,2374,-2973.184201269211,0.0
NZ,201611,010,2681,-3845.9644583865493,0.0
NZ,201612,010,2014,-1703.5649811626192,0.0
NZ,201701,010,1800,-1838.6148954224846,0.0
NZ,201702,010,2318,-2863.358481829916,0.0
NZ,201703,010,2331,-2863.068292849935,0.0
NZ,201704,010,1763,-1968.4934660889153,0.0
NZ,201705,010,1937,-1547.4760387055442,0.0
NZ,201706,010,1869,-2020.4620684795273,0.0
NZ,201707,010,1925,-1929.1722620334212,0.0
NZ,201708,010,2282,-2113.069692381915,0.0
NZ,201709,010,2120,-2037.9784745987272,0.0
NZ,201710,010,2322,-1538.1472638834286,0.0
NZ,201711,010,2170,-2432.789564323851,0.0
NZ,201712,010,1790,-2080.2916637932626,0.0
NZ,201801,010,1685,-1999.6801431558401,0.0
NZ,201802,010,2193,-3049.487592266823,0.0
NZ,201803,010,2442,-3382.4184517880785,0.0
NZ,201804,010,1927,-2114.803232335839,0.0
NZ,201805,010,2379,-2463.3484151790167,0.0
NZ,201806,010,1980,-1210.292529302272,0.0
NZ,201807,010,2249,-2299.309751934888,0.0
NZ,201808,010,2802,-3147.2519785199297,0.0
NZ,201809,010,2823,-2933.659942558724,0.0
NZ,201810,010,2543,-2486.8191624993383,0.0
NZ,201811,010,2399,-2237.51236499197,0.0
NZ,201812,010,1902,-2111.4351016217975,0.0
NZ,201901,010,1844,-2948.5202683996868,0.0
NZ,201902,010,2062,-2404.020903363443,0.0
NZ,201903,010,5684,-20811.08426276695,0.0
NZ,201904,010,2910,-7361.997961741992,0.0
NZ,201905,010,2766,-3753.413136085026,0.0
NZ,201906,010,2254,-3565.1940951172933,0.0
NZ,200801,011,25,198.3183744677655,-2.500000000000001
NZ,200802,011,22,142.0051342264499,-2.2000000000000006
NZ,200803,011,17,116.21545653157801,-1.7000000000000004
NZ,200804,011,22,129.4806146059044,-2.200000000000001
