ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
PA,200801,010,39,48.89961148722812,0.0
PA,200802,010,91,230.40539082397277,0.0
PA,200803,010,76,142.6117370631784,0.0
PA,200804,010,209,773.9594010669481,0.0
PA,200805,010,49,134.05871497199553,0.0
PA,200806,010,87,221.24598623765516,0.0
PA,200807,010,83,204.50206361067183,0.0
PA,200808,010,120,498.4103362329491,0.0
PA,200809,010,119,446.8975619962281,0.0
PA,200810,010,167,367.7219226701368,0.0
PA,200811,010,121,236.54277733535662,0.0
PA,200812,010,211,293.0110217713546,0.0
PA,200901,010,534,604.066982942299,0.0
PA,200902,010,396,358.6515646602263,0.0
PA,200903,010,384,351.16437495446957,0.0
PA,200904,010,484,1052.3378659494767,0.0
PA,200905,010,471,538.8174988843047,0.0
PA,200906,010,400,594.8950565699079,0.0
PA,200907,010,31,149.45100932433462,0.0
PA,200908,010,92,489.4622088147496,0.0
PA,200909,010,92,208.6729989346138,0.0
PA,200910,010,23,104.86359149198469,0.0
PA,200911,010,85,370.8723737202061,0.0
PA,200912,010,45,238.00807436459118,0.0
PA,201001,010,36,184.0121159526569,0.0
PA,201002,010,45,151.49493644816744,0.0
PA,201003,010,12,46.681889660006505,0.0
PA,201004,010,27,125.36883886404108,0.0
PA,201005,010,16,79.67398063234099,0.0
PA,201006,010,20,105.81851061134542,0.0
PA,201007,010,18,125.38602790135226,0.0
PA,201008,010,111,430.4025653824538,0.0
PA,201009,010,36,194.43162221632826,0.0
PA,201010,010,63,314.7035167478807,0.0
PA,201011,010,61,307.02726934967137,0.0
PA,201012,010,68,376.164067717023,0.0
PA,201101,010,41,267.43469062748153,0.0
PA,201102,010,16,98.71960303860949,0.0
PA,201103,010,43,266.2013772677299,0.0
PA,201104,010,113,515.1703966249319,0.0
PA,201105,010,12,78.37660398099854,0.0
PA,201106,010,21,97.38356591457456,0.0
PA,201107,010,22,114.61643516896541,0.0
PA,201108,010,18,98.9510101630737,0.0
PA,201109,010,20,88.9977606274823,0.0
PA,201110,010,48,217.06870601903066,0.0
PA,201111,010,20,96.83313353158437,0.0
PA,201112,010,25,130.9244999993187,0.0
PA,201201,010,10,56.99540006386249,0.0
PA,201202,010,32,170.46845182482173,0.0
PA,201203,010,19,90.93414581529467,0.0
PA,201204,010,25,104.31375515963192,0.0
PA,201205,010,33,143.81762993919148,0.0
PA,201206,010,312,1452.9747527959676,0.0
PA,201207,010,126,667.0312245176149,0.0
PA,201208,010,56,318.46320116281186,0.0
PA,201209,010,57,281.033534391993,0.0
PA,201210,010,57,289.929304188011,0.0
PA,201211,010,33,111.81757879356378,0.0
PA,201212,010,51,101.40201384987334,0.0
PA,201301,010,21,52.91261506336708,0.0
PA,201302,010,62,123.70749429895226,0.0
PA,201303,010,29,74.53569467000337,0.0
PA,201304,010,15,39.246154748386026,0.0
PA,201305,010,15,32.41285931361405,0.0
PA,201306,010,50,100.01829797187722,0.0
PA,201307,010,36,78.90820431740758,0.0
PA,201308,010,68,143.17148450991502,0.0
PA,201309,010,33,75.07588295986501,0.0
PA,201310,010,27,62.488744991598104,0.0
PA,201311,010,39,101.5486861329886,0.0
PA,201312,010,27,58.51616789056196,0.0
PA,201401,010,32,83.22460295042025,0.0
PA,201402,010,23,41.844220043166644,0.0
PA,201403,010,52,97.15863357047957,0.0
PA,201404,010,43,83.07135057991427,0.0
PA,201405,010,46,99.70274676878257,0.0
PA,201406,010,62,96.34782647986718,0.0
PA,201407,010,86,143.48001237619874,0.0
PA,201408,010,44,77.5583818713459,0.0
PA,201409,010,113,238.42665525055128,0.0
PA,201410,010,100,186.78105990407306,0.0
PA,201411,010,50,108.4885785804918,0.0
PA,201412,010,40,98.81633895242172,0.0
PA,201501,010,58,110.28183227335181,0.0
PA,201502,010,61,89.70694754206255,0.0
PA,201503,010,87,-200.48922622195752,0.0
PA,201504,010,40,-106.50217223482633,0.0
PA,201505,010,93,-386.1388419462213,0.0
PA,201506,010,66,-131.94366529685152,0.0
PA,201507,010,404,-553.092763716457,0.0
PA,201508,010,196,-724.5025857081275,0.0
PA,201509,010,68,-116.41091968560791,0.0
PA,201510,010,69,-161.9173726007543,0.0
PA,201511,010,101,-340.30267007109177,0.0
PA,201512,010,85,-214.33801846561724,0.0
PA,201601,010,60,-108.21818585078721,0.0
PA,201602,010,98,-127.26791369897136,0.0
PA,201603,010,87,-152.52917343699286,0.0
PA,201604,010,67,-114.07109134825728,0.0
PA,201605,010,105,-170.69498277953582,0.0
PA,201606,010,83,-73.17032612014034,0.0
PA,201607,010,68,-173.83103908028073,0.0
PA,201608,010,91,-208.0876344233263,0.0
PA,201609,010,47,-129.95072944048522,0.0
PA,201610,010,92,-120.42592580343775,0.0
PA,201611,010,39,-48.01770501719352,0.0
PA,201612,010,42,-25.31288755830413,0.0
PA,201701,010,83,-132.77455907618054,0.0
PA,201702,010,88,-44.55416845542665,0.0
PA,201703,010,44,-113.65839734275843,0.0
PA,201704,010,134,-498.5666126084198,0.0
PA,201705,010,73,-120.02867022599918,0.0
PA,201706,010,26,-67.13982539643078,0.0
PA,201707,010,51,-24.448912994039876,0.0
PA,201708,010,59,-80.35250927578808,0.0
PA,201709,010,36,-50.128685939563525,0.0
PA,201710,010,31,-41.109344393614364,0.0
PA,201711,010,59,-185.21338258345193,0.0
PA,201712,010,61,-217.78397340108972,0.0
PA,201801,010,47,-63.9497808490699,0.0
PA,201802,010,40,-76.18489501017342,0.0
PA,201803,010,58,-105.63220741040365,0.0
PA,201804,010,90,-109.35810127645055,0.0
PA,201805,010,97,14.116024178687745,0.0
PA,201806,010,55,-39.09612535325279,0.0
PA,201807,010,86,-222.85523083585915,0.0
PA,201808,010,82,-59.79966616261059,0.0
PA,201809,010,145,-125.48059346469356,0.0
PA,201810,010,35,50.34215705115359,0.0
PA,201811,010,47,-74.14692706059719,0.0
PA,201812,010,46,-153.99098694030306,0.0
PA,201901,010,29,-60.774923846134904,0.0
PA,201902,010,51,-139.033356700145,0.0
PA,201903,010,50,-15.599900082561527,0.0
PA,201904,010,48,-109.64100770438979,0.0
PA,201905,010,49,-26.822418956130406,0.0
PA,201906,010,49,-119.2687483115919,0.0
PA,200809,011,1,6.62251655629139,-0.1
PA,200904,011,5,23.92984774815507,-0.5
PA,200908,011,4,17.07904164800717,-0.4
PA,200911,011,9,24.19100099013451,-0.8999999999999999
PA,200912,011,3,9.10081887103929,-0.30000000000000004
PA,201003,011,1,5.84851390220518,-0.1
PA,201005,011,1,4.25155004428698,-0.1
PA,201008,011,1,4.41304609794306,-0.1
PA,201010,011,2,8.91505466778806,-0.2
PA,201109,011,1,3.47322720694645,-0.1
PA,201110,011,6,23.79377926332402,-0.6
PA,201205,011,1,2.91594937894911,-0.1
PA,201206,011,5,20.54691796272763,-0.5
PA,201207,011,1,6.88924218335983,-0.1
PA,201208,011,1,6.51128375878653,-0.1
PA,201210,011,4,15.00869576888465,-0.4
PA,201212,011,2,3.14806549280996,-0.2
PA,201301,011,1,3.56294536817102,-0.1
PA,201303,011,2,2.13333333333334,-0.2
PA,201401,011,1,0.366300366300366,-0.1
PA,201407,011,1,2.3121387283237,-0.1
PA,201409,011,2,1.938960911676736,-0.2
PA,201412,011,4,9.39952124365739,-0.4
PA,201501,011,1,1.59045725646123,-0.1
PA,201503,011,1,-5.3061224489796,-0.1
PA,201504,011,21,-55.604926977488866,-2.1000000000000005
PA,201505,011,2,-13.74722838137472,-0.2
PA,201506,011,3,-15.679442508710789,-0.30000000000000004
PA,201507,011,4,-2.51852535330763,-0.4
PA,201508,011,1,-5.89970501474926,-0.1
PA,201510,011,6,-30.22744964093458,-0.6
PA,201511,011,3,-14.366207698169418,-0.30000000000000004
PA,201512,011,2,-11.9652986319653,-0.2
PA,201609,011,3,-23.7222521957015,-0.30000000000000004
PA,201610,011,3,-2.01342281879193,-0.30000000000000004
PA,201612,011,20,-93.9179676169347,-2.0
PA,201706,011,1,0.14880952380953,-0.1
PA,201805,011,1,-0.65616797900262,-0.1
PA,201806,011,1,-6.45161290322581,-0.1
PA,201809,011,1,-3.75,-0.1
PA,201810,011,1,-3.06674684305472,-0.1
PA,201811,011,1,-3.06788511749347,-0.1
PA,201901,011,2,-9.31734413484285,-0.2
PA,201902,011,1,-0.77745383867833,-0.1
PA,201903,011,1,-0.77745383867833,-0.1
PA,201904,011,3,-11.8713445335131,-0.30000000000000004
PA,200801,012,1,4.25478404721452,-0.4
PA,200804,012,17,91.78685592796916,-6.800000000000001
PA,200805,012,1,5.46350201522615,-0.4
PA,200807,012,4,14.3291767027489,-1.6
PA,200808,012,11,59.255409461093855,-4.3999999999999995
PA,200809,012,8,43.07605108089161,-3.1999999999999997
PA,200810,012,13,53.71506452226527,-5.2
PA,200812,012,1,6.45454863663411,-0.4
PA,200901,012,4,16.19271217662914,-1.6
PA,200902,012,3,11.423437643669361,-1.2000000000000002
PA,200904,012,8,29.698950380218623,-3.1999999999999997
PA,200905,012,4,24.207630113856112,-1.6
PA,200906,012,1,9.25363592776091,-0.4
PA,200907,012,3,15.1473978202426,-1.2000000000000002
PA,200908,012,6,27.103892628816812,-2.4
PA,200909,012,2,14.40677966101694,-0.8
PA,200910,012,2,10.11184257096341,-0.8
PA,200911,012,6,20.53569709310612,-2.4
PA,200912,012,13,69.38872307529309,-5.199999999999999
PA,201001,012,3,19.89603357249221,-1.2000000000000002
PA,201002,012,1,1.82370820668693,-0.4
PA,201008,012,3,20.35992230746966,-1.2000000000000002
PA,201009,012,2,6.73737929654275,-0.8
PA,201010,012,11,58.62145209443,-4.3999999999999995
PA,201011,012,4,26.26332492528713,-1.6
PA,201012,012,1,4.60829493087558,-0.4
PA,201101,012,5,21.411716278246065,-2.0
PA,201102,012,2,13.5417439703154,-0.8
PA,201103,012,2,11.36505113383726,-0.8
PA,201105,012,2,16.47058823529412,-0.8
PA,201106,012,3,13.22286204361676,-1.2000000000000002
PA,201107,012,5,20.90913293899068,-2.0
PA,201108,012,1,6.34920634920635,-0.4
PA,201109,012,3,11.869504005603659,-1.2000000000000002
PA,201110,012,3,15.7302508440263,-1.2000000000000002
PA,201111,012,6,33.076409964891546,-2.4
PA,201112,012,6,39.20069986717404,-2.4
PA,201201,012,1,3.22003577817531,-0.4
PA,201202,012,4,23.84416890775474,-1.6
PA,201203,012,3,9.40336262682923,-1.2000000000000002
PA,201204,012,4,28.62638182520311,-1.6
PA,201206,012,59,302.7789743740434,-23.59999999999999
PA,201207,012,27,142.5747419810177,-10.800000000000004
PA,201208,012,6,41.03821236303881,-2.4
PA,201209,012,2,14.74487485180695,-0.8
PA,201210,012,1,4.54545454545455,-0.4
PA,201211,012,1,2.80612244897959,-0.4
PA,201212,012,7,12.75658270155702,-2.8
PA,201301,012,1,0.984682713347921,-0.4
PA,201302,012,5,17.64423624683394,-2.0
PA,201304,012,2,4.5234774523477395,-0.8
PA,201305,012,1,4.88721804511278,-0.4
PA,201306,012,4,4.929321353191835,-1.6
PA,201307,012,6,3.207331042382588,-2.4
PA,201308,012,6,16.95885606657026,-2.4
PA,201309,012,4,7.554584460408879,-1.6
PA,201311,012,1,2.5,-0.4
PA,201312,012,9,22.496687192094388,-3.5999999999999996
PA,201401,012,2,5.6600242567326795,-0.8
PA,201402,012,2,2.66666666666666,-0.8
PA,201403,012,10,27.623559457153892,-3.9999999999999996
PA,201404,012,4,4.9797230418850305,-1.6
PA,201405,012,4,9.57363615687078,-1.6
PA,201406,012,10,14.872878315908496,-3.9999999999999996
PA,201407,012,25,49.71668283338506,-10.000000000000004
PA,201408,012,6,10.043331842928723,-2.4
PA,201409,012,28,65.2873246304412,-11.200000000000005
PA,201410,012,24,35.45388713804005,-9.600000000000003
PA,201411,012,8,16.53897565262234,-3.1999999999999997
PA,201412,012,5,14.82258962138563,-2.0
PA,201501,012,15,27.11323609797052,-6.000000000000002
PA,201502,012,5,9.539581829487041,-2.0
