ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
RO,200801,010,90,504.03197480269387,0.0
RO,200802,010,189,1038.0171778700146,0.0
RO,200803,010,169,995.5427815616074,0.0
RO,200804,010,246,1388.7835857842308,0.0
RO,200805,010,132,735.874051116982,0.0
RO,200806,010,122,536.5333073599212,0.0
RO,200807,010,77,441.9115397779622,0.0
RO,200808,010,68,330.08516209948397,0.0
RO,200809,010,49,238.13214255502075,0.0
RO,200810,010,63,316.0660609428152,0.0
RO,200811,010,104,519.4442748362931,0.0
RO,200812,010,91,483.21289823905795,0.0
RO,200901,010,328,1170.3035673932948,0.0
RO,200902,010,318,1573.9886172980782,0.0
RO,200903,010,391,2003.743897926745,0.0
RO,200904,010,382,1828.5229185725786,0.0
RO,200905,010,325,1736.2321053568387,0.0
RO,200906,010,214,926.8577599281282,0.0
RO,200907,010,218,1177.8534145319982,0.0
RO,200908,010,319,1544.5791264022398,0.0
RO,200909,010,368,2018.510551015314,0.0
RO,200910,010,457,2703.0990419802524,0.0
RO,200911,010,313,1650.0275926576794,0.0
RO,200912,010,433,2484.273689400195,0.0
RO,201001,010,268,1350.05835731293,0.0
RO,201002,010,368,1896.024088991052,0.0
RO,201003,010,108,538.8539883757577,0.0
RO,201004,010,238,1233.1802083338696,0.0
RO,201005,010,141,694.9268215144402,0.0
RO,201006,010,162,849.3351703977772,0.0
RO,201007,010,234,1156.1695090276285,0.0
RO,201008,010,447,2000.1436586470227,0.0
RO,201009,010,368,1997.1099934208605,0.0
RO,201010,010,321,1542.9912948139918,0.0
RO,201011,010,261,1524.8573307074473,0.0
RO,201012,010,284,1503.4629392796217,0.0
RO,201101,010,235,1398.3826356093039,0.0
RO,201102,010,239,1249.9278571571376,0.0
RO,201103,010,306,1519.2283271164606,0.0
RO,201104,010,242,1343.3193658942216,0.0
RO,201105,010,245,1386.5976875900017,0.0
RO,201106,010,233,1293.1588105958533,0.0
RO,201107,010,366,1700.2428370939915,0.0
RO,201108,010,228,1072.3252347634718,0.0
RO,201109,010,281,1565.484926390575,0.0
RO,201110,010,280,1590.111511238898,0.0
RO,201111,010,271,1432.4597991992953,0.0
RO,201112,010,182,975.8784237434471,0.0
RO,201201,010,341,1647.559187368418,0.0
RO,201202,010,420,2267.896835359149,0.0
RO,201203,010,294,1512.735964978382,0.0
RO,201204,010,290,1620.158101664626,0.0
RO,201205,010,288,1618.2959656905987,0.0
RO,201206,010,364,1961.9461169663082,0.0
RO,201207,010,493,2717.5186743753284,0.0
RO,201208,010,312,1635.4528418328507,0.0
RO,201209,010,201,1175.8356233828652,0.0
RO,201210,010,274,1524.607141923879,0.0
RO,201211,010,234,657.2956457056615,0.0
RO,201212,010,220,612.1395131179664,0.0
RO,201301,010,224,523.6963966640523,0.0
RO,201302,010,290,561.0564818377276,0.0
RO,201303,010,278,648.8573990805917,0.0
RO,201304,010,48,120.9321742462464,0.0
RO,201305,010,71,177.89751312089163,0.0
RO,201306,010,226,602.8961819675709,0.0
RO,201307,010,409,986.5072871187559,0.0
RO,201308,010,377,978.5544983029048,0.0
RO,201309,010,545,1444.7636656139232,0.0
RO,201310,010,508,1259.9977404173403,0.0
