ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
TE,201709,010,4,7.28622810070773,0.0
TE,201709,013,3,5.511080171713649,1.2000000000000002
TE,201602,042,1,-4.30340576171875,1.899999976158142
TE,201610,042,1,-3.17796610169492,1.9
TE,201602,043,1,-4.30340576171875,2.799999952316284
TE,201002,046,8,46.41638225255975,56.0
TE,200912,057,1,4.98220640569395,8.0
TE,201809,073,1,-5.49645390070922,7.4
TE,201610,084,1,-3.17796610169492,7.0
TE,201502,090,2,4.62962962962962,-4.0
TE,201610,100,1,-3.17796610169492,-5.0
TE,200909,141,1,4.06091370558376,-6.5
TE,201602,192,1,-4.30340576171875,-9.5
