ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
UK,201404,---,1,4.95049504950495,
UK,201502,---,2,3.55239786856128,
UK,201708,---,2,-12.9496402877698,
UK,201906,---,1,-5.38461538461539,
UK,200801,010,4583,25205.022481011707,0.0
UK,200802,010,5156,28638.958992321273,0.0
UK,200803,010,4160,22748.89400349319,0.0
UK,200804,010,3981,22536.49980800862,0.0
UK,200805,010,4412,24828.90939933084,0.0
UK,200806,010,5013,28287.363385791778,0.0
UK,200807,010,4970,27830.30877924467,0.0
UK,200808,010,3617,20166.956991077415,0.0
UK,200809,010,3344,19493.471395191056,0.0
UK,200810,010,4779,27456.49261647294,0.0
UK,200811,010,4802,27342.17277217986,0.0
UK,200812,010,4583,26042.522100716105,0.0
UK,200901,010,6102,35108.87864697888,0.0
UK,200902,010,5726,31269.628659672228,0.0
UK,200903,010,5897,33304.446937127366,0.0
UK,200904,010,5868,32349.76643977137,0.0
UK,200905,010,6306,34763.81806639048,0.0
UK,200906,010,6619,36284.03300810369,0.0
UK,200907,010,6014,33302.99288551404,0.0
UK,200908,010,7492,42531.82076931033,0.0
UK,200909,010,7851,44809.56836091331,0.0
UK,200910,010,7253,41406.34237124323,0.0
UK,200911,010,6470,37488.96694229818,0.0
UK,200912,010,7417,41527.12615956416,0.0
UK,201001,010,8346,46339.38527061624,0.0
UK,201002,010,6889,39026.62849209072,0.0
UK,201003,010,2119,12154.143551317607,0.0
UK,201004,010,3740,20658.94581993715,0.0
UK,201005,010,3237,18850.254621091106,0.0
UK,201006,010,2608,14661.38280075391,0.0
UK,201007,010,3841,22233.228411154138,0.0
UK,201008,010,6583,38574.49522270863,0.0
UK,201009,010,7815,46748.519918631144,0.0
UK,201010,010,6157,36154.96852410035,0.0
UK,201011,010,7280,43949.245573202985,0.0
UK,201012,010,7971,43753.51427544491,0.0
UK,201101,010,6246,36074.057886289535,0.0
UK,201102,010,6441,37149.52779762553,0.0
UK,201103,010,7483,43165.144793201995,0.0
UK,201104,010,6757,40929.991474784736,0.0
UK,201105,010,5834,34370.63155188288,0.0
UK,201106,010,6043,35456.14073545632,0.0
UK,201107,010,8511,45125.34364105162,0.0
UK,201108,010,7256,39140.29086623877,0.0
UK,201109,010,6490,37547.190705758425,0.0
UK,201110,010,5451,31675.106265057428,0.0
UK,201111,010,5702,32058.214786919754,0.0
UK,201112,010,4718,26783.876870095275,0.0
UK,201201,010,6027,34807.965999196196,0.0
UK,201202,010,8495,47499.19118869487,0.0
UK,201203,010,8733,48382.15981417862,0.0
UK,201204,010,7806,42869.30580278175,0.0
UK,201205,010,8096,45506.20979009529,0.0
UK,201206,010,7145,43019.42843338105,0.0
UK,201207,010,7559,45857.09403389973,0.0
UK,201208,010,6786,40853.62489857941,0.0
UK,201209,010,7165,42222.55845203237,0.0
UK,201210,010,7158,43074.82767386595,0.0
UK,201211,010,7265,20434.768737741328,0.0
UK,201212,010,6994,18206.56451409669,0.0
UK,201301,010,7398,17615.70375674763,0.0
UK,201302,010,6517,16079.642916448413,0.0
UK,201303,010,7646,19175.79820865614,0.0
UK,201304,010,4656,11391.61671535,0.0
UK,201305,010,5347,12252.408311775825,0.0
UK,201306,010,7212,17880.835977032035,0.0
UK,201307,010,11007,29003.332212460893,0.0
UK,201308,010,11807,28008.40681426936,0.0
UK,201309,010,11330,27554.87445888897,0.0
UK,201310,010,11781,30319.473950366504,0.0
UK,201311,010,11830,29705.49633721791,0.0
UK,201312,010,9239,23372.432138822955,0.0
UK,201401,010,8270,20580.776916018418,0.0
UK,201402,010,10130,25304.65077013908,0.0
UK,201403,010,10324,24887.313604368916,0.0
UK,201404,010,10487,25324.473673664306,0.0
