ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
WA,200801,010,190,930.75431453064,0.0
WA,200802,010,259,1332.2138584709123,0.0
WA,200803,010,201,1062.6305218372734,0.0
WA,200804,010,175,923.3224449970584,0.0
WA,200805,010,241,1215.2856563273772,0.0
WA,200806,010,204,944.9636325386147,0.0
WA,200807,010,294,1520.2676668737747,0.0
WA,200808,010,181,902.3084565600805,0.0
WA,200809,010,153,727.353740364128,0.0
WA,200810,010,257,1428.4813251430446,0.0
WA,200811,010,223,1157.0483935354075,0.0
WA,200812,010,103,590.2903807509508,0.0
WA,200901,010,200,980.640852076633,0.0
WA,200902,010,246,1188.3584208835593,0.0
WA,200903,010,218,1136.7609104849305,0.0
WA,200904,010,179,1118.5597046478208,0.0
WA,200905,010,196,1115.0613992275546,0.0
WA,200906,010,254,1394.9223475336566,0.0
WA,200907,010,204,1151.6522395446186,0.0
WA,200908,010,292,1737.383125313126,0.0
WA,200909,010,252,1493.9436178241117,0.0
WA,200910,010,323,1851.3909689354073,0.0
WA,200911,010,331,1982.6231451674043,0.0
WA,200912,010,170,1021.3487551248046,0.0
WA,201001,010,159,868.7762905299214,0.0
WA,201002,010,257,1249.8103179401007,0.0
WA,201003,010,89,495.4336407293837,0.0
WA,201004,010,145,828.3713051296371,0.0
WA,201005,010,96,573.3373111858022,0.0
WA,201006,010,82,413.38829732354924,0.0
WA,201007,010,130,687.4542243274431,0.0
WA,201008,010,301,1695.4598612158188,0.0
WA,201009,010,267,1512.9918514527326,0.0
WA,201010,010,283,1668.531047924439,0.0
WA,201011,010,359,1782.829523853454,0.0
WA,201012,010,174,971.5831625705288,0.0
WA,201101,010,257,1219.2260209750057,0.0
WA,201102,010,214,1170.2913831643198,0.0
WA,201103,010,293,1506.4687511713144,0.0
WA,201104,010,274,1541.7199800180797,0.0
WA,201105,010,351,1952.0078670809326,0.0
WA,201106,010,302,1485.8061837663756,0.0
WA,201107,010,416,2129.6461828558836,0.0
WA,201108,010,379,1894.3795600058415,0.0
WA,201109,010,380,1932.9112956530255,0.0
WA,201110,010,311,1595.033732919331,0.0
WA,201111,010,362,1922.650794038541,0.0
WA,201112,010,194,1027.7354595869765,0.0
WA,201201,010,266,1327.9750046472882,0.0
WA,201202,010,276,1440.6810604276013,0.0
WA,201203,010,357,1857.8158264302383,0.0
WA,201204,010,218,1249.8528041080715,0.0
WA,201205,010,305,1628.930020064007,0.0
WA,201206,010,275,1481.7595889932265,0.0
WA,201207,010,307,1800.3935459847605,0.0
WA,201208,010,290,1680.0079750190544,0.0
WA,201209,010,297,1749.6207815676896,0.0
WA,201210,010,351,1948.758636815098,0.0
WA,201211,010,237,613.3253456306657,0.0
WA,201212,010,157,388.6665904424376,0.0
WA,201301,010,180,383.31426757655646,0.0
WA,201302,010,263,590.9445025728808,0.0
WA,201303,010,276,579.9550970294385,0.0
WA,201304,010,57,110.74492884306214,0.0
WA,201305,010,62,140.00476469654035,0.0
WA,201306,010,261,655.8025650212701,0.0
WA,201307,010,311,721.891333734129,0.0
WA,201308,010,339,786.72159842169,0.0
WA,201309,010,479,1018.5109915785795,0.0
WA,201310,010,531,1252.322608703784,0.0
WA,201311,010,507,1084.1892073394126,0.0
WA,201312,010,296,554.0049397043172,0.0
WA,201401,010,248,508.8110917098727,0.0
WA,201402,010,430,879.5946636398771,0.0
WA,201403,010,439,911.4250475586458,0.0
WA,201404,010,468,985.0082566950323,0.0
WA,201405,010,400,873.111767137624,0.0
WA,201406,010,422,863.6906580446505,0.0
WA,201407,010,393,870.7207347600344,0.0
WA,201408,010,330,826.1224872345128,0.0
WA,201409,010,417,1000.9942902678785,0.0
WA,201410,010,566,1325.6748333552127,0.0
WA,201411,010,556,1407.8402181746333,0.0
WA,201412,010,336,785.3865931521511,0.0
WA,201501,010,374,723.2868664450532,0.0
WA,201502,010,495,-121.96607643261066,0.0
WA,201503,010,710,-1208.3470060347097,0.0
WA,201504,010,674,-1416.937089855177,0.0
WA,201505,010,832,-2267.245896685729,0.0
WA,201506,010,711,-1493.4620212079194,0.0
WA,201507,010,739,-1813.1581705402943,0.0
WA,201508,010,655,-1479.8637507760038,0.0
WA,201509,010,620,-1599.8414574526712,0.0
WA,201510,010,650,-1565.3156274603548,0.0
WA,201511,010,646,-1192.4908865108923,0.0
WA,201512,010,370,-942.6699025640371,0.0
WA,201601,010,498,-1343.1507758946445,0.0
WA,201602,010,645,-1423.9545843196224,0.0
WA,201603,010,545,-1243.047600373665,0.0
WA,201604,010,549,-1127.2132901845569,0.0
WA,201605,010,447,-582.1266866445573,0.0
WA,201606,010,585,-1170.5702120681703,0.0
WA,201607,010,449,-989.9900071612883,0.0
WA,201608,010,459,-1073.7539724178282,0.0
WA,201609,010,455,-878.5940662258124,0.0
WA,201610,010,496,-764.1733912131222,0.0
WA,201611,010,440,-963.224930642773,0.0
WA,201612,010,362,-827.7826740045359,0.0
WA,201701,010,388,-1047.519285710711,0.0
WA,201702,010,369,-715.8722964598559,0.0
WA,201703,010,377,-833.6540169462443,0.0
WA,201704,010,336,-451.94402689313097,0.0
WA,201705,010,376,-549.09079237599,0.0
WA,201706,010,480,-1064.9529892172786,0.0
WA,201707,010,401,-643.1337031333037,0.0
WA,201708,010,425,-866.8951492677451,0.0
WA,201709,010,444,-439.0499539459949,0.0
WA,201710,010,602,-1088.5588465784215,0.0
WA,201711,010,508,-521.1999610204132,0.0
WA,201712,010,343,-168.56326148689575,0.0
WA,201801,010,598,-1126.8927182423179,0.0
WA,201802,010,516,-1110.4001797462938,0.0
WA,201803,010,472,-712.7137828254024,0.0
WA,201804,010,439,-929.891031577988,0.0
WA,201805,010,499,-701.6987337170086,0.0
WA,201806,010,505,-1026.6334755862026,0.0
WA,201807,010,544,-1012.5244079890185,0.0
WA,201808,010,428,-933.1985682262211,0.0
WA,201809,010,441,-1043.1427794039812,0.0
WA,201810,010,587,-1515.7626553266819,0.0
WA,201811,010,579,-1332.218516638189,0.0
WA,201812,010,283,-369.3010228377247,0.0
WA,201901,010,459,-778.9206068173185,0.0
WA,201902,010,448,-1022.643612540257,0.0
WA,201903,010,474,-842.6540344660444,0.0
WA,201904,010,465,-1291.2892865448666,0.0
WA,201905,010,488,-865.530208553231,0.0
WA,201906,010,474,-915.5925082358083,0.0
