ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
WE,200801,010,227,983.2634253927507,0.0
WE,200802,010,177,780.7660108678979,0.0
WE,200803,010,247,1106.1503023769872,0.0
WE,200804,010,187,933.1184266584721,0.0
WE,200805,010,215,1158.4715703394843,0.0
WE,200806,010,238,1127.8193757313384,0.0
WE,200807,010,299,1322.058432457162,0.0
WE,200808,010,247,1097.8300421934414,0.0
WE,200809,010,136,616.4074547447836,0.0
WE,200810,010,160,758.727485382153,0.0
WE,200811,010,202,1050.0775785392104,0.0
WE,200812,010,337,1791.018363175963,0.0
WE,200901,010,378,1830.3165879631908,0.0
WE,200902,010,229,1278.0597005671825,0.0
WE,200903,010,232,1195.7352465810527,0.0
WE,200904,010,221,1116.6851017008184,0.0
WE,200905,010,340,1738.956283251784,0.0
WE,200906,010,470,2474.3602732246036,0.0
WE,200907,010,318,1693.3462161699097,0.0
WE,200908,010,421,2442.365719600633,0.0
WE,200909,010,402,2208.8492683744316,0.0
WE,200910,010,260,1333.5343160648986,0.0
WE,200911,010,339,1857.3207975796724,0.0
WE,200912,010,415,1981.2478569145317,0.0
WE,201001,010,259,1351.0962414266007,0.0
WE,201002,010,306,1298.226037220433,0.0
WE,201003,010,128,574.8316426850271,0.0
WE,201004,010,164,830.8949098473703,0.0
WE,201005,010,130,628.1382936048241,0.0
WE,201006,010,86,428.06229039166493,0.0
WE,201007,010,138,677.751339879512,0.0
WE,201008,010,369,1839.0032068370715,0.0
WE,201009,010,482,2520.4330080401387,0.0
WE,201010,010,314,1614.2976946464662,0.0
WE,201011,010,293,1544.5744041952262,0.0
WE,201012,010,381,2021.717435398295,0.0
WE,201101,010,396,1629.409053632043,0.0
WE,201102,010,251,1347.5729697505376,0.0
WE,201103,010,458,2202.438994636445,0.0
WE,201104,010,336,1681.5189021651959,0.0
WE,201105,010,434,2652.2437952762316,0.0
WE,201106,010,246,1232.0265416733046,0.0
WE,201107,010,254,1291.739178392096,0.0
WE,201108,010,244,1175.8137731255201,0.0
WE,201109,010,594,3145.76534308525,0.0
WE,201110,010,320,1848.3402648041401,0.0
WE,201111,010,226,1073.6201254037983,0.0
WE,201112,010,248,1198.5489938523929,0.0
WE,201201,010,278,1268.8485518021391,0.0
WE,201202,010,399,1882.4299487213043,0.0
WE,201203,010,292,1468.2158117095375,0.0
WE,201204,010,422,1933.0681211395702,0.0
WE,201205,010,347,1689.7197785139867,0.0
WE,201206,010,297,1469.1626198531067,0.0
WE,201207,010,377,1935.0312839545488,0.0
WE,201208,010,221,1059.383940852407,0.0
WE,201209,010,271,1271.3961054914455,0.0
WE,201210,010,259,1238.4118129690842,0.0
WE,201211,010,365,933.8368171696467,0.0
WE,201212,010,442,1287.5504416943036,0.0
WE,201301,010,328,766.571706879549,0.0
WE,201302,010,264,502.2171746593375,0.0
WE,201303,010,336,807.0404770459126,0.0
WE,201304,010,106,246.72800830639574,0.0
WE,201305,010,81,204.74098847645934,0.0
WE,201306,010,159,349.11281738332315,0.0
WE,201307,010,334,761.2066732862164,0.0
WE,201308,010,288,694.4820341652736,0.0
WE,201309,010,173,328.92331797906854,0.0
WE,201310,010,265,576.7699370517377,0.0
WE,201311,010,333,574.3598715135905,0.0
WE,201312,010,372,1010.1573445687263,0.0
WE,201401,010,464,1076.4363259058616,0.0
WE,201402,010,309,680.9481964636219,0.0
WE,201403,010,296,602.3130235746822,0.0
WE,201404,010,365,810.6490496022149,0.0
WE,201405,010,397,1029.2651969983726,0.0
WE,201406,010,528,955.3309268353956,0.0
WE,201407,010,659,1068.1992718410934,0.0
WE,201408,010,441,817.12596450623,0.0
WE,201409,010,371,669.8769095848891,0.0
WE,201410,010,408,743.8636363859947,0.0
WE,201411,010,429,699.4007031215997,0.0
WE,201412,010,513,952.2110635765748,0.0
WE,201501,010,374,619.2828102348881,0.0
WE,201502,010,338,-713.0388190292589,0.0
WE,201503,010,492,-1544.7030060935642,0.0
WE,201504,010,446,-1851.4513147282312,0.0
WE,201505,010,456,-1737.5460109243656,0.0
WE,201506,010,431,-1651.1717347640242,0.0
WE,201507,010,573,-2816.5452141676283,0.0
WE,201508,010,673,-3710.6418764270456,0.0
WE,201509,010,408,-1551.3127799213642,0.0
WE,201510,010,716,-4330.429766643983,0.0
WE,201511,010,538,-2820.000675725376,0.0
WE,201512,010,533,-2279.7652643526903,0.0
WE,201601,010,604,-2845.229830843219,0.0
WE,201602,010,697,-3643.631385901693,0.0
WE,201603,010,583,-2659.524486267978,0.0
WE,201604,010,454,-1846.7143069987326,0.0
WE,201605,010,443,-1675.50267316175,0.0
WE,201606,010,442,-1859.7344635165277,0.0
WE,201607,010,384,-1605.4565734064788,0.0
WE,201608,010,455,-1875.8452786430444,0.0
WE,201609,010,397,-1242.0135881749954,0.0
WE,201610,010,531,-1338.3968074486338,0.0
WE,201611,010,540,-1560.8854527378699,0.0
WE,201612,010,860,-1748.1489349580306,0.0
WE,201701,010,803,-2050.8964529027226,0.0
WE,201702,010,712,-2065.1741451029443,0.0
WE,201703,010,533,-1739.9901177853158,0.0
