ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount,tonecount,goldstein
WF,201208,010,1,8.93854748603352,0.0
WF,201304,010,1,1.35004821600771,0.0
WF,201307,010,2,5.65610859728506,0.0
WF,201308,010,1,1.30549306056583,0.0
WF,201509,010,2,0.74074074074074,0.0
WF,201608,010,5,8.1081081081081,0.0
WF,201802,010,1,3.44827586206897,0.0
WF,201307,018,1,2.34741784037559,3.4
WF,201307,020,1,3.57142857142857,3.0
WF,201308,020,1,1.30549306056583,3.0
WF,201512,020,1,-1.19760479041916,3.0
WF,200807,033,1,4.94117647058823,5.2
WF,201307,033,2,5.65610859728506,10.4
WF,201303,040,1,2.0,1.0
WF,201608,040,2,3.24324324324324,2.0
WF,201208,042,1,9.12106135986733,1.9
WF,201704,042,1,-4.60829493087558,1.9
WF,201208,043,1,9.12106135986733,2.8
WF,201704,043,1,-4.60829493087558,2.8
WF,201301,046,2,7.50213128729752,14.0
WF,201608,046,4,6.48648648648648,28.0
WF,201509,051,1,0.37037037037037,3.4
WF,201709,051,3,5.06329113924051,10.2
WF,201308,052,1,1.30549306056583,3.5
WF,201308,081,1,1.30549306056583,5.0
WF,201208,090,1,9.12106135986733,-2.0
WF,201301,100,1,3.75106564364876,-5.0
WF,201307,111,1,2.06043956043956,-2.0
WF,201303,120,1,2.0,-4.0
WF,201307,122,2,4.46511627906976,-8.0
WF,201302,130,3,7.71028037383176,-13.200000000000001
WF,201307,173,2,3.41235648388334,-10.0
WF,201503,173,2,-25.5813953488372,-10.0
WF,201407,190,1,1.21212121212121,-10.0
